"id","old_prov_code","province_code","active","name"
"config_province_8_id",,"008","t","DAVAO DEL NORTE"
"config_province_9_id",,"009","t","CEBU"
"config_province_1_id","\0E","001","t","COTABATO"
"config_province_2_id","\0G","002","t","DAVAO DEL SUR"
"config_province_3_id","\0D","003","t","MAGUINDANAO"
"config_province_4_id","\0F","004","t","NORTH COTABATO"
"config_province_5_id","\0A","005","t","SARANGANI PROVINCE"
"config_province_6_id","\0B","006","t","SOUTH COTABATO"
"config_province_7_id","\0C","007","t","SULTAN KUDARAT"
"config_province_10_id",,"010","t","MISAMIS ORIENTAL"
"config_province_11_id",,"011","t","BUKIDNON"
"config_province_12_id",,"012","t","DAVAO ORIENTAL"
"config_province_13_id",,"013","t","SURIGAO DEL SUR"
"config_province_14_id",,"014","t","COMPOSTELA VALLEY"
"config_province_15_id",,"015","t","NORTHERN MINDANAO"
"config_province_16_id",,"016","t","LANAO DEL SUR"
"config_province_18_id",,"017","t","DAVAO CITY"
"config_province_19_id",,"018","t","LANAO DEL NORTE"
"config_province_20_id",,"019","t","DAVAO OCCIDENTAL"
"config_province_21_id",,"020","t","NCR - NATIONAL CAPITAL REGION (2ND DISTRICT"
