code,name,partner_id:id,area_id:id,is_branch,abbreviation,currency_id:id,parent_id:id,active,id
,"ARKCLICK TECHNOLOGY, INC.",res_partner_bu000015id,,False,ARKCLICK,base.PHP,base.main_company,false,res_company_bu000015id
,AXZEEN SECURITY AGENCY,res_partner_bu000018id,,False,ASA,base.PHP,base.main_company,false,res_company_bu000018id
,CHIU KIM ENTERPRISES INC.,res_partner_bu000002id,,False,CKEI,base.PHP,base.main_company,false,res_company_bu000002id
,CK UNIVERSAL GROUP MANAGEMENT CORPORATION,res_partner_bu000011id,,False,CKUGMC,base.PHP,base.main_company,false,res_company_bu000011id
,JOINT VENTURE COOP.,res_partner_bu000005id,,False,ADC,base.PHP,base.main_company,false,res_company_bu000005id
,MARIA VICTORIA C. TAN HR-B,res_partner_bu000009id,,False,MVCTHR-B,base.PHP,base.main_company,false,res_company_bu000009id
,PRIORITY SECURITY AGENCY,res_partner_bu000013id,,False,PSA,base.PHP,base.main_company,false,res_company_bu000013id
,VIAJERO MOTORSALES INC.,res_partner_bu000004id,,False,VMI,base.PHP,base.main_company,false,res_company_bu000004id
,4M RESOURCES ADVANCED TECHNOLOGIES CORPORATION,res_partner_bu000021id,,False,4MRATCO,base.PHP,base.main_company,true,res_company_bu000021id
,ARGO SECURITY AND INVESTIGATION AGENCY,res_partner_bu000022id,,False,AGAIA,base.PHP,base.main_company,true,res_company_bu000022id
,AUBERON SOLUTIONS INC.,res_partner_bu000020id,,False,ASI,base.PHP,base.main_company,true,res_company_bu000020id
,BIOCIELO REALTY AND DEVELOPMENT CORP.,res_partner_bu000010id,,False,BRADC,base.PHP,base.main_company,true,res_company_bu000010id
,"CHIU BUN GIM UNIVERSAL HOLDING, INC.",res_partner_bu000008id,,False,CBG UHI,base.PHP,base.main_company,true,res_company_bu000008id
,COMMUNITY ACCESS FOR RESOURCES ON ENTREPRENEURSHIP,res_partner_bu000014id,,False,CARE,base.PHP,base.main_company,true,res_company_bu000014id
,EASY PAY FINANCE CORPORATION,res_partner_bu000006id,,False,EPFC,base.PHP,base.main_company,true,res_company_bu000006id
,HAPPY LIVING REALTY & DEVELOPMENT CORPORATION,res_partner_bu000007id,,False,HLRDC,base.PHP,base.main_company,true,res_company_bu000007id
,"HONDA SOCSARGEN, INC.",res_partner_bu000003id,,False,HSI,base.PHP,base.main_company,true,res_company_bu000003id
,MARBEL UNIVERSAL TRADING INC.,res_partner_bu000001id,,False,MUTI,base.PHP,base.main_company,true,res_company_bu000001id
,PHOENIX UNIVERSAL MEGA GAS STATION,res_partner_bu000017id,,False,PHOENIX,base.PHP,base.main_company,true,res_company_bu000017id
,RURAL BANK OF NORALA,res_partner_bu000016id,,False,RBN,base.PHP,base.main_company,true,res_company_bu000016id
,"SPECIALIST SECURITY AND INVESTIGATION AGENCY, INC.",res_partner_bu000019id,,False,SSAIAI,base.PHP,base.main_company,true,res_company_bu000019id
,SUPREME INVESTIGATIVE AND SECURITY AGENCY,res_partner_bu000012id,,False,SIASA,base.PHP,base.main_company,true,res_company_bu000012id
,ARKCLICK DAVAO DEL SUR AREAS,res_partner_15000004id,,true,,base.PHP,res_company_bu000015id,false,res_company_branch_15000004id
,ASA AGDAO-M,res_partner_18000006id,,true,,base.PHP,res_company_bu000018id,false,res_company_branch_18000006id
,ASA BUHANGIN,res_partner_18000011id,,true,,base.PHP,res_company_bu000018id,false,res_company_branch_18000011id
,ASA BUHANGIN - M,res_partner_18000012id,,true,,base.PHP,res_company_bu000018id,false,res_company_branch_18000012id
,ASA CAGAYAN DE ORO-M,res_partner_18000009id,,true,,base.PHP,res_company_bu000018id,false,res_company_branch_18000009id
