id,name
"employee_conf_seminar_""twogether,together""(synergyindiversity)id","""TWOGETHER, TOGETHER"" (SYNERGY IN DIVERSITY)"
employee_conf_seminar_10thfederationofbookloversclubconventionid,10TH FEDERATION OF BOOK LOVERS CLUB CONVENTION
employee_conf_seminar_10thpmapsummitid,10TH PMAP SUMMIT
employee_conf_seminar_12thameregionalmarketingid,12TH AME REGIONAL MARKETING
employee_conf_seminar_14thnationalyouthcongressid,14TH NATIONAL YOUTH CONGRESS
employee_conf_seminar_16thannualconvention-iligancityid,16TH ANNUAL CONVENTION-ILIGAN CITY
employee_conf_seminar_1stinter-schoolstudentleadershipsummitid,1ST INTER-SCHOOL STUDENT LEADERSHIP SUMMIT
employee_conf_seminar_20thmindanaobusinessconferenceid,20TH MINDANAO BUSINESS CONFERENCE
employee_conf_seminar_2ndglobalbusinessconferenceid,2ND GLOBAL BUSINESS CONFERENCE
employee_conf_seminar_2ndglobalbusinessconferencemindanaoid,2ND GLOBAL BUSINESS CONFERENCE MINDANAO
employee_conf_seminar_2ndhrcongressid,2ND HR CONGRESS
employee_conf_seminar_2ndmindanaotechsummitid,2ND MINDANAO TECH SUMMIT
employee_conf_seminar_3rdmayamodelingid,3RD MAYA MODELING
employee_conf_seminar_3rdpsitsconventionid,3RD PSITS CONVENTION
employee_conf_seminar_4thcaragabusinessconferenceid,4TH CARAGA BUSINESS CONFERENCE
employee_conf_seminar_5monthsdrivingcourseid,5 MONTHS DRIVING COURSE
employee_conf_seminar_5monthsweldingcourseid,5 MONTHS WELDING COURSE
employee_conf_seminar_5'sandrecordmanagementid,5'S AND RECORD MANAGEMENT
employee_conf_seminar_5'sofgoodhousekeeping&recordsmanagementid,5'S OF GOOD HOUSEKEEPING & RECORDS MANAGEMENT
employee_conf_seminar_5'sofgoodhousekeepingandrecordsmanagementid,5'S OF GOOD HOUSEKEEPING AND RECORDS MANAGEMENT
employee_conf_seminar_5sid,5S
employee_conf_seminar_5sofgoodhousekeepingid,5S OF GOOD HOUSE KEEPING
employee_conf_seminar_5sthegoodpracticeonhousekeepingid,5S THE GOOD PRACTICE ON HOUSEKEEPING
employee_conf_seminar_5strainingcourseid,5S TRAINING COURSE
employee_conf_seminar_6thconferenceofaspiringmarketingprofessionalid,6TH CONFERENCE OF ASPIRING MARKETING PROFESSIONAL
employee_conf_seminar_6thpsitsregionalconventionid,6TH PSITS REGIONAL CONVENTION
