id,name,noofyears
employee_education_course_architecturaldraftingid,ARCHITECTURAL DRAFTING,3.00
employee_education_course_associateinautomotivetechnologyid,ASSOCIATE IN AUTOMOTIVE TECHNOLOGY,2.00
employee_education_course_associateincomputerstudiesid,ASSOCIATE IN COMPUTER STUDIES,2.00
employee_education_course_associateincomputertechnologyid,ASSOCIATE IN COMPUTER TECHNOLOGY,2.00
employee_education_course_associateinhotelandrestaurantmanagementid,ASSOCIATE IN HOTEL AND RESTAURANT MANAGEMENT,2.00
employee_education_course_associateinindustrialtechnologyid,ASSOCIATE IN INDUSTRIAL TECHNOLOGY,2.00
employee_education_course_associateininformationtechnologyid,ASSOCIATE IN INFORMATION TECHNOLOGY,2.00
employee_education_course_associateinmarinetransportationid,ASSOCIATE IN MARINE TRANSPORTATION,2.00
employee_education_course_associateinnursingaideid,ASSOCIATE IN NURSING AIDE,2.00
employee_education_course_associateinofficeadministrationid,ASSOCIATE IN OFFICE ADMINISTRATION,2.00
employee_education_course_autodieselmechanicid,AUTO DIESEL MECHANIC,2.00
employee_education_course_automotivedieseltechnologyid,AUTOMOTIVE DIESEL TECHNOLOGY,2.00
employee_education_course_automotivemechanicid,AUTOMOTIVE MECHANIC,2.00
employee_education_course_automotiveservicingid,AUTOMOTIVE SERVICING,2.00
employee_education_course_automotiveservicingnciid,AUTOMOTIVE SERVICING NC I,1.00
employee_education_course_automotiveservicingnciiid,AUTOMOTIVE SERVICING NC II,2.00
employee_education_course_automotivetechnicianid,AUTOMOTIVE TECHNICIAN,1.00
employee_education_course_automotivetechnologyid,AUTOMOTIVE TECHNOLOGY,1.00
employee_education_course_bachelorinagriculturaltechnologyid,BACHELOR IN AGRICULTURAL TECHNOLOGY,4.00
employee_education_course_bachelorinelementaryeducationid,BACHELOR IN ELEMENTARY EDUCATION,4.00
employee_education_course_bachelorinmedicallaboratoryscienceid,BACHELOR IN MEDICAL LABORATORY SCIENCE,4.00
employee_education_course_bachelorinscienceinengineeringtechnologyid,BACHELOR IN SCIENCE IN ENGINEERING TECHNOLOGY,4.00
employee_education_course_bachelorinscienceinpublicadministratioid,BACHELOR IN SCIENCE IN PUBLIC ADMINISTRATIO,4.00
employee_education_course_bachelorintechnologyeducationid,BACHELOR IN TECHNOLOGY EDUCATION,4.00
employee_education_course_bachelorintheologyid,BACHELOR IN THEOLOGY,4.00
employee_education_course_bachelorofaccountingtechnologyid,BACHELOR OF ACCOUNTING TECHNOLOGY,4.00
employee_education_course_bachelorofagriculturaltechnologyid,BACHELOR OF AGRICULTURAL TECHNOLOGY,4.00
employee_education_course_bachelorofagroforestryandtechnologyid,BACHELOR OF AGRO FORESTRY AND TECHNOLOGY,4.00
employee_education_course_bachelorofartsid,BACHELOR OF ARTS,4.00
employee_education_course_bachelorofartsandscienceid,BACHELOR OF ARTS AND SCIENCE,4.00
employee_education_course_bachelorofartsineconomicsid,BACHELOR OF ARTS IN ECONOMICS,4.00
employee_education_course_bachelorofartsineducationid,BACHELOR OF ARTS IN EDUCATION,4.00
employee_education_course_bachelorofartsinlawenforcementandpublicsafetyid,BACHELOR OF ARTS IN LAW ENFORCEMENT AND PUBLIC SAFETY,4.00
employee_education_course_bachelorofartsinmasscommunicationid,BACHELOR OF ARTS IN MASS COMMUNICATION,4.00
employee_education_course_bachelorofartsinphilosophyid,BACHELOR OF ARTS IN PHILOSOPHY,4.00
employee_education_course_bachelorofartsinpoliticalscienceid,BACHELOR OF ARTS IN POLITICAL SCIENCE,4.00
employee_education_course_bachelorofartsinpsychologyid,BACHELOR OF ARTS IN PSYCHOLOGY,4.00
employee_education_course_bachelorofartsinsociologyid,BACHELOR OF ARTS IN SOCIOLOGY,4.00
employee_education_course_bachelorofbusinessmanagementid,BACHELOR OF BUSINESS MANAGEMENT,4.00
employee_education_course_bachelorofchristianeducationid,BACHELOR OF CHRISTIAN EDUCATION,4.00
employee_education_course_bachelorofcsienceinnursingid,BACHELOR OF CSIENCE IN NURSING,4.00
employee_education_course_bachelorofindustrialtechnologyid,BACHELOR OF INDUSTRIAL TECHNOLOGY,2.00
employee_education_course_bacheloroflawid,BACHELOR OF LAW,4.00
employee_education_course_bacheloroflawsid,BACHELOR OF LAWS,4.00
employee_education_course_bachelorofscienceid,BACHELOR OF SCIENCE,4.00
employee_education_course_bachelorofscienceandtechnologyid,BACHELOR OF SCIENCE AND TECHNOLOGY,4.00
employee_education_course_bachelorofscienceinagriculturalbusinessmanagementid,BACHELOR OF SCIENCE IN  AGRICULTURAL BUSINESS MANAGEMENT,4.00
employee_education_course_bachelorofscienceinaccntng&finmngtid,BACHELOR OF SCIENCE IN ACCNTNG & FIN MNGT,4.00
employee_education_course_bachelorofscienceinaccountancyid,BACHELOR OF SCIENCE IN ACCOUNTANCY,5.00
employee_education_course_bachelorofscienceinaccountingandfinancialmanagementid,BACHELOR OF SCIENCE IN ACCOUNTING AND FINANCIAL MANAGEMENT,5.00
employee_education_course_bachelorofscienceinaccountingtechnologyid,BACHELOR OF SCIENCE IN ACCOUNTING TECHNOLOGY,4.00
employee_education_course_bachelorofscienceinaeronauticaleng'gid,BACHELOR OF SCIENCE IN AERONAUTICAL ENG'G,4.00
employee_education_course_bachelorofscienceinagriengineeringid,BACHELOR OF SCIENCE IN AGRI ENGINEERING,4.00
employee_education_course_bachelorofscienceinagribusinessid,BACHELOR OF SCIENCE IN AGRIBUSINESS,4.00
employee_education_course_bachelorofscienceinagribusinessmngtid,BACHELOR OF SCIENCE IN AGRIBUSINESS MNGT.,4.00
employee_education_course_bachelorofscienceinagriculturaleconomicsid,BACHELOR OF SCIENCE IN AGRICULTURAL ECONOMICS,4.00
employee_education_course_bachelorofscienceinagriculturaltechnologyid,BACHELOR OF SCIENCE IN AGRICULTURAL TECHNOLOGY,4.00
employee_education_course_bachelorofscienceinagricultureid,BACHELOR OF SCIENCE IN AGRICULTURE,4.00
employee_education_course_bachelorofscienceinagroforestryid,BACHELOR OF SCIENCE IN AGROFORESTRY,4.00
employee_education_course_bachelorofscienceinagronomyid,BACHELOR OF SCIENCE IN AGRONOMY,4.00
employee_education_course_bachelorofscienceinairlinemgt&acctyid,BACHELOR OF SCIENCE IN AIRLINE MGT & ACCTY,4.00
employee_education_course_bachelorofscienceinanimalhusbandryid,BACHELOR OF SCIENCE IN ANIMAL HUSBANDRY,4.00
employee_education_course_bachelorofscienceinanimalscienceid,BACHELOR OF SCIENCE IN ANIMAL SCIENCE,4.00
employee_education_course_bachelorofscienceinappliedmathematicsid,BACHELOR OF SCIENCE IN APPLIED MATHEMATICS,4.00
employee_education_course_bachelorofscienceinarchitectureid,BACHELOR OF SCIENCE IN ARCHITECTURE,4.00
employee_education_course_bachelorofscienceinautomotivetechnologyid,BACHELOR OF SCIENCE IN AUTOMOTIVE TECHNOLOGY,4.00
employee_education_course_bachelorofscienceinavionicstechnologyid,BACHELOR OF SCIENCE IN AVIONICS TECHNOLOGY,4.00
employee_education_course_bachelorofscienceinbiologyid,BACHELOR OF SCIENCE IN BIOLOGY,4.00
employee_education_course_bachelorofscienceinbusinessadministrationid,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION,4.00
employee_education_course_bachelorofscienceinbusinesseconomicsid,BACHELOR OF SCIENCE IN BUSINESS ECONOMICS,4.00
employee_education_course_bachelorofscienceinbusnadministrationid,BACHELOR OF SCIENCE IN BUSN ADMINISTRATION,4.00
employee_education_course_bachelorofscienceinbusnadmnid,BACHELOR OF SCIENCE IN BUSN. ADMN,4.00
employee_education_course_bachelorofscienceinchemicalengineeringid,BACHELOR OF SCIENCE IN CHEMICAL ENGINEERING,5.00
employee_education_course_bachelorofscienceinchemistryid,BACHELOR OF SCIENCE IN CHEMISTRY,4.00
employee_education_course_bachelorofscienceincivilengineeringid,BACHELOR OF SCIENCE IN CIVIL ENGINEERING,5.00
employee_education_course_bachelorofscienceincommerceid,BACHELOR OF SCIENCE IN COMMERCE,4.00
employee_education_course_bachelorofscienceincommunitydev'tid,BACHELOR OF SCIENCE IN COMMUNITY DEV'T,4.00
employee_education_course_bachelorofscienceincomputerengineeringid,BACHELOR OF SCIENCE IN COMPUTER ENGINEERING,4.00
employee_education_course_bachelorofscienceincomputerscienceid,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,4.00
employee_education_course_bachelorofscienceincomputertechnologyid,BACHELOR OF SCIENCE IN COMPUTER TECHNOLOGY,4.00
employee_education_course_bachelorofscienceincooperativedevtid,BACHELOR OF SCIENCE IN COOPERATIVE DEVT,4.00
employee_education_course_bachelorofscienceincriminologyid,BACHELOR OF SCIENCE IN CRIMINOLOGY,4.00
employee_education_course_bachelorofscienceincustomadministrationid,BACHELOR OF SCIENCE IN CUSTOM ADMINISTRATION,4.00
employee_education_course_bachelorofscienceincustomsadministrationid,BACHELOR OF SCIENCE IN CUSTOMS ADMINISTRATION,4.00
employee_education_course_bachelorofscienceindev'tcommunicationid,BACHELOR OF SCIENCE IN DEV'T COMMUNICATION,4.00
employee_education_course_bachelorofscienceindevelopmentmanagementid,BACHELOR OF SCIENCE IN DEVELOPMENT MANAGEMENT,4.00
employee_education_course_bachelorofscienceineducationid,BACHELOR OF SCIENCE IN EDUCATION,4.00
employee_education_course_bachelorofscienceinelectricalengineeringid,BACHELOR OF SCIENCE IN ELECTRICAL ENGINEERING,4.00
employee_education_course_bachelorofscienceinelectronicsid,BACHELOR OF SCIENCE IN ELECTRONICS,4.00
employee_education_course_bachelorofscienceinelectronicsandcommunicationsengineeringid,BACHELOR OF SCIENCE IN ELECTRONICS AND COMMUNICATIONS ENGINEERING,5.00
employee_education_course_bachelorofscienceinelementaryeducationid,BACHELOR OF SCIENCE IN ELEMENTARY EDUCATION,4.00
employee_education_course_bachelorofscienceinentrepreneurialmanagementid,BACHELOR OF SCIENCE IN ENTREPRENEURIAL MANAGEMENT,4.00
employee_education_course_bachelorofscienceinenvironmentalmanagementid,BACHELOR OF SCIENCE IN ENVIRONMENTAL MANAGEMENT,4.00
employee_education_course_bachelorofscienceinenvironmentalscienceid,BACHELOR OF SCIENCE IN ENVIRONMENTAL SCIENCE,4.00
employee_education_course_bachelorofscienceinfisheriesid,BACHELOR OF SCIENCE IN FISHERIES,4.00
employee_education_course_bachelorofscienceinfoodtechnologyid,BACHELOR OF SCIENCE IN FOOD TECHNOLOGY,4.00
employee_education_course_bachelorofscienceinguidanceandcounselingid,BACHELOR OF SCIENCE IN GUIDANCE AND COUNSELING,4.00
employee_education_course_bachelorofscienceinhomeeconomicsid,BACHELOR OF SCIENCE IN HOME ECONOMICS,4.00
employee_education_course_bachelorofscienceinhometechnologyid,BACHELOR OF SCIENCE IN HOME TECHNOLOGY,4.00
employee_education_course_bachelorofscienceinhotelandrestaurantmanagementid,BACHELOR OF SCIENCE IN HOTEL AND RESTAURANT MANAGEMENT,2.00
employee_education_course_bachelorofscienceinhrmid,BACHELOR OF SCIENCE IN HRM,4.00
employee_education_course_bachelorofscienceinindustrialartsid,BACHELOR OF SCIENCE IN INDUSTRIAL ARTS,4.00
employee_education_course_bachelorofscienceinindustrialeducationid,BACHELOR OF SCIENCE IN INDUSTRIAL EDUCATION,4.00
employee_education_course_bachelorofscienceinindustrialengineeringid,BACHELOR OF SCIENCE IN INDUSTRIAL ENGINEERING,5.00
employee_education_course_bachelorofscienceinindustrialtechnologyid,BACHELOR OF SCIENCE IN INDUSTRIAL TECHNOLOGY,4.00
employee_education_course_bachelorofscienceinindustrl&mngteng'gid,BACHELOR OF SCIENCE IN INDUSTRL & MNGT ENG'G,4.00
employee_education_course_bachelorofscienceininformationmanagementid,BACHELOR OF SCIENCE IN INFORMATION MANAGEMENT,4.00
employee_education_course_bachelorofscienceininformationscienceid,BACHELOR OF SCIENCE IN INFORMATION SCIENCE,4.00
employee_education_course_bachelorofscienceininformationsystemid,BACHELOR OF SCIENCE IN INFORMATION SYSTEM,4.00
employee_education_course_bachelorofscienceininformationtechnologyid,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,4.00
employee_education_course_bachelorofscienceininterdisciplinarybusinessstudiesid,BACHELOR OF SCIENCE IN INTERDISCIPLINARY BUSINESS STUDIES,4.00
employee_education_course_bachelorofscienceinliberalartsid,BACHELOR OF SCIENCE IN LIBERAL ARTS,4.00
employee_education_course_bachelorofscienceinmanagementaccountingid,BACHELOR OF SCIENCE IN MANAGEMENT ACCOUNTING,4.00
employee_education_course_bachelorofscienceinmarinebiologyid,BACHELOR OF SCIENCE IN MARINE BIOLOGY,4.00
employee_education_course_bachelorofscienceinmarineengineeringid,BACHELOR OF SCIENCE IN MARINE ENGINEERING,3.00
employee_education_course_bachelorofscienceinmarinetransportationid,BACHELOR OF SCIENCE IN MARINE TRANSPORTATION,4.00
employee_education_course_bachelorofscienceinmasscommunicationid,BACHELOR OF SCIENCE IN MASS COMMUNICATION,4.00
employee_education_course_bachelorofscienceinmathematicsid,BACHELOR OF SCIENCE IN MATHEMATICS,4.00
employee_education_course_bachelorofscienceinmechanicalengeneeringid,BACHELOR OF SCIENCE IN MECHANICAL ENGENEERING,4.00
employee_education_course_bachelorofscienceinmechanicalengineeringid,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING,5.00
employee_education_course_bachelorofscienceinnursingid,BACHELOR OF SCIENCE IN NURSING,4.00
employee_education_course_bachelorofscienceinofficeadministrationid,BACHELOR OF SCIENCE IN OFFICE ADMINISTRATION,4.00
employee_education_course_bachelorofscienceinphilosophyid,BACHELOR OF SCIENCE IN PHILOSOPHY,4.00
employee_education_course_bachelorofscienceinpsychologyid,BACHELOR OF SCIENCE IN PSYCHOLOGY,4.00
employee_education_course_bachelorofscienceinpublicadministrationid,BACHELOR OF SCIENCE IN PUBLIC ADMINISTRATION,4.00
employee_education_course_bachelorofscienceinsecondaryeducationid,BACHELOR OF SCIENCE IN SECONDARY EDUCATION,4.00
employee_education_course_bachelorofscienceinsecretarialadministraid,BACHELOR OF SCIENCE IN SECRETARIAL ADMINISTRA,4.00
employee_education_course_bachelorofscienceinsocialworkid,BACHELOR OF SCIENCE IN SOCIAL WORK,4.00
employee_education_course_bachelorofscienceinstatisticsid,BACHELOR OF SCIENCE IN STATISTICS,4.00
employee_education_course_bachelorofscienceintourismid,BACHELOR OF SCIENCE IN TOURISM,4.00
employee_education_course_bachelorofscienceininternationalrelationsid,BACHELOR OF SCIENCEIN INTERNATIONAL RELATIONS,4.00
employee_education_course_bachelorofsecondaryeducationid,BACHELOR OF SECONDARY EDUCATION,4.00
employee_education_course_bacheloroftechnologyid,BACHELOR OF TECHNOLOGY,4.00
employee_education_course_basicseamanid,BASIC SEAMAN,1.00
employee_education_course_bsartmid,BSARTM,4.00
employee_education_course_bshrmid,BSHRM,4.00
employee_education_course_businessadministrativesupportservicesid,BUSINESS ADMINISTRATIVE SUPPORT SERVICES,2.00
employee_education_course_certificateinmarineengineeringid,CERTIFICATE IN MARINE ENGINEERING,2.00
employee_education_course_certificateofautomotivetechnologyid,CERTIFICATE OF AUTOMOTIVE TECHNOLOGY,2.00
employee_education_course_collegelevelid,COLLEGE LEVEL,4.00
employee_education_course_commercialcookingnciiid,COMMERCIAL COOKING NC II,0.50
employee_education_course_computerbasedaccountingid,COMPUTER BASED ACCOUNTING,2.00
employee_education_course_computerelectronicsandtechnologyid,COMPUTER ELECTRONICS AND TECHNOLOGY,2.00
employee_education_course_computerhardwareservicingnc11id,COMPUTER HARDWARE SERVICING NC 11,2.00
employee_education_course_computerprogrammingid,COMPUTER PROGRAMMING,2.00
employee_education_course_computerprogrammingncivid,COMPUTER PROGRAMMING NCIV,2.00
employee_education_course_computersystemdesignandprogrammingid,COMPUTER SYSTEM DESIGN AND PROGRAMMING,2.00
employee_education_course_computertechnologyid,COMPUTER TECHNOLOGY,2.00
employee_education_course_consumerelectronicsservicingnciiid,CONSUMER ELECTRONICS SERVICING NC II,2.00
employee_education_course_dimplomaininformationtechnologyid,DIMPLOMA IN INFORMATION TECHNOLOGY,2.00
employee_education_course_diplomainagriculturaltechnologyid,DIPLOMA IN AGRICULTURAL TECHNOLOGY,2.00
employee_education_course_diplomainautomotivetechnologyid,DIPLOMA IN AUTOMOTIVE TECHNOLOGY,2.00
employee_education_course_diplomaincomputer&electronicstechnologyid,DIPLOMA IN COMPUTER & ELECTRONICS TECHNOLOGY,2.00
employee_education_course_diplomaincomputerbasedaccountingid,DIPLOMA IN COMPUTER BASED ACCOUNTING,2.00
employee_education_course_diplomaincomputerprogrammingid,DIPLOMA IN COMPUTER PROGRAMMING,2.00
employee_education_course_diplomaincomputerstudiesid,DIPLOMA IN COMPUTER STUDIES,2.00
employee_education_course_diplomaine-commerceprogrammingid,DIPLOMA IN E-COMMERCE PROGRAMMING,2.00
employee_education_course_diplomainengineeringtechnologyid,DIPLOMA IN ENGINEERING TECHNOLOGY,2.00
employee_education_course_diplomainfisheriestechnologyid,DIPLOMA IN FISHERIES TECHNOLOGY,2.00
employee_education_course_diplomainindustrialtechnologyid,DIPLOMA IN INDUSTRIAL TECHNOLOGY,2.00
employee_education_course_diplomaininformationtechnologyid,DIPLOMA IN INFORMATION TECHNOLOGY,2.00
employee_education_course_diplomainmechanicaltechnologyid,DIPLOMA IN MECHANICAL TECHNOLOGY,2.00
employee_education_course_diplomainnetworkingtelecommunicationtechnologyid,DIPLOMA IN NETWORKING TELECOMMUNICATION TECHNOLOGY,4.00
employee_education_course_diplomainofficeinformationsystemid,DIPLOMA IN OFFICE INFORMATION SYSTEM,2.00
employee_education_course_diplomainofficeskillsandmanagementid,DIPLOMA IN OFFICE SKILLS AND MANAGEMENT,2.00
employee_education_course_diplomainpharmacyaideid,DIPLOMA IN PHARMACY AIDE,2.00
employee_education_course_diplomainsoftwaredevelopmentid,DIPLOMA IN SOFTWARE DEVELOPMENT,2.00
employee_education_course_diplomaintechnologyid,DIPLOMA IN TECHNOLOGY,2.00
"employee_education_course_diplomaintourism,hotelandrestaurantmgtid","DIPLOMA IN TOURISM, HOTEL AND RESTAURANT MGT.",2.00
employee_education_course_electricaltechnologyid,ELECTRICAL TECHNOLOGY,2.00
employee_education_course_electromechanicsid,ELECTROMECHANICS,2.00
