id,name
employee_external_job_accountantid,ACCOUNTANT
employee_external_job_accountingclerkid,ACCOUNTING CLERK
employee_external_job_actgprocessorid,ACTG PROCESSOR
employee_external_job_agriculturistid,AGRICULTURIST
employee_external_job_avondealerid,AVON DEALER
employee_external_job_bandmemberid,BAND MEMBER
employee_external_job_barberid,BARBER
employee_external_job_basketmakerid,BASKET MAKER
employee_external_job_basketmakerid,BASKETMAKER
employee_external_job_beauticianid,BEAUTICIAN
employee_external_job_bookkeeperid,BOOKKEEPER
employee_external_job_branchmanagerid,BRANCH MANAGER
employee_external_job_breaddeliveryid,BREAD DELIVERY
employee_external_job_brgykagawadid,BRGY KAGAWAD
employee_external_job_brgy.custodianid,BRGY. CUSTODIAN
employee_external_job_brgy.healthworkerid,BRGY. HEALTH WORKER
employee_external_job_brgy.kagawadid,BRGY. KAGAWAD
employee_external_job_brgy.officialid,BRGY. OFFICIAL
employee_external_job_brgy.secretaryid,BRGY. SECRETARY
employee_external_job_busdriverid,BUS DRIVER
employee_external_job_businspectorid,BUS INSPECTOR
employee_external_job_bus.mngrid,BUS. MNGR
employee_external_job_businessid,BUSINESS
employee_external_job_businessmanid,BUSINESS MAN
employee_external_job_businessownerid,BUSINESS OWNER
employee_external_job_businesswomanid,BUSINESS WOMAN
employee_external_job_businessmanid,BUSINESSMAN
employee_external_job_businesswomanid,BUSINESSWOMAN
employee_external_job_cafguid,CAFGU
employee_external_job_carpenterid,CARPENTER
employee_external_job_cfoeuromedid,CFO EUROMED
employee_external_job_cfonorthwindid,CFO NORTHWIND
employee_external_job_chainsawoperatorid,CHAINSAW OPERATOR
employee_external_job_churchworkerid,CHURCH WORKER
employee_external_job_cidgid,CIDG
employee_external_job_citycouncilorid,CITY COUNCILOR
employee_external_job_civilengineerid,CIVIL ENGINEER
employee_external_job_civilengr.id,CIVIL ENGR.
employee_external_job_clerkid,CLERK
employee_external_job_cocofarmerid,COCO FARMER
employee_external_job_collectorid,COLLECTOR
employee_external_job_companydriverid,COMPANY DRIVER
employee_external_job_constructionworkerid,CONSTRUCTION WORKER
employee_external_job_cookid,COOK
employee_external_job_cosmethogistid,COSMETHOGIST
employee_external_job_curverid,CURVER
employee_external_job_daycarecenterid,DAY CARE CENTER
employee_external_job_daycareteacherid,DAY CARE TEACHER
employee_external_job_daycareworkerid,DAY CARE WORKER
employee_external_job_deceaesdid,DECEAESD
employee_external_job_deceaseid,DECEASE
employee_external_job_deceasedid,DECEASED
employee_external_job_deliveryboyid,DELIVERY BOY
employee_external_job_dhid,DH
employee_external_job_diceasedid,DICEASED
employee_external_job_diedid,DIED
employee_external_job_disabledid,DISABLED
employee_external_job_doctorofveterinarymed.id,DOCTOR OF VETERINARY MED.
employee_external_job_doleemployeeid,DOLE EMPLOYEE
employee_external_job_domestichelperid,DOMESTIC HELPER
employee_external_job_dressmakerid,DRESSMAKER
employee_external_job_driverid,DRIVER
employee_external_job_driver/farmerid,DRIVER/FARMER
employee_external_job_driver/mechanicid,DRIVER/MECHANIC
employee_external_job_drivingid,DRIVING
employee_external_job_dswdworkerid,DSWD WORKER
employee_external_job_educationsupervisorid,EDUCATION SUPERVISOR
employee_external_job_electricianid,ELECTRICIAN
employee_external_job_employedid,EMPLOYED
employee_external_job_employeeid,EMPLOYEE
employee_external_job_engineerid,ENGINEER
employee_external_job_enrepreneurshipid,ENREPRENEURSHIP
employee_external_job_entrepreneurid,ENTREPRENEUR
employee_external_job_environmentalistid,ENVIRONMENTALIST
employee_external_job_factoryoperatorid,FACTORY OPERATOR
employee_external_job_factoryworkerid,FACTORY WORKER
employee_external_job_farmerid,FARMER
employee_external_job_farmer&driverid,FARMER & DRIVER
employee_external_job_farmer(deseased)id,FARMER (DESEASED)
employee_external_job_farmer/driverid,FARMER/ DRIVER
employee_external_job_farmer/driverid,FARMER/DRIVER
employee_external_job_farmer/tricycledriverid,FARMER/TRICYCLE DRIVER
employee_external_job_farmerlid,FARMERL
employee_external_job_farmersid,FARMERS
employee_external_job_farmingid,FARMING
employee_external_job_farming/brgy.chairmanid,FARMING/BRGY. CHAIRMAN
employee_external_job_fatherid,FATHER
employee_external_job_fern-cdealerid,FERN-C DEALER
employee_external_job_fiberglasserid,FIBER GLASSER
employee_external_job_fieldworkerid,FIELD WORKER
employee_external_job_finacilaadviserid,FINACILA ADVISER
employee_external_job_fireaidid,FIRE AID
employee_external_job_fishdealerid,FISH DEALER
employee_external_job_fishvendorid,FISH VENDOR
employee_external_job_fishermanid,FISHERMAN
employee_external_job_fishpondcaretakerid,FISHPOND CARETAKER
employee_external_job_foremanid,FOREMAN
employee_external_job_framerid,FRAMER
employee_external_job_framersid,FRAMERS
employee_external_job_freelancecontractorid,FREE LANCE CONTRACTOR
employee_external_job_freelancebookeeperid,FREELANCE BOOKEEPER
employee_external_job_fruitvendorid,FRUIT VENDOR
employee_external_job_furnituremakerid,FURNITURE MAKER
employee_external_job_furnitureownerid,FURNITURE OWNER
employee_external_job_gevernmentemployeeid,GEVERNMENT EMPLOYEE
employee_external_job_ghurchkeeperid,GHURCH KEEPER
employee_external_job_govemployeeid,GOV EMPLOYEE
employee_external_job_gov'temployeeid,GOV'T EMPLOYEE
employee_external_job_gov'temployee-bjmpid,GOV'T EMPLOYEE- BJMP
employee_external_job_gov'tsecurityid,GOV'T SECURITY
employee_external_job_gov't.employeeid,GOV'T. EMPLOYEE
employee_external_job_gov't.employeeid,GOV'T.EMPLOYEE
employee_external_job_gov.employeeid,GOV. EMPLOYEE
employee_external_job_gov.employeeid,GOV.EMPLOYEE
employee_external_job_govenrmentemployeeid,GOVENRMENT EMPLOYEE
employee_external_job_govermentemployeeid,GOVERMENT EMPLOYEE
employee_external_job_governmentemployeeid,GOVERNMENT EMPLOYEE
employee_external_job_governmntemployeeid,GOVERNMNT EMPLOYEE
employee_external_job_govt.employeeid,GOVT. EMPLOYEE
employee_external_job_govt.employeeid,GOVT.EMPLOYEE
employee_external_job_headcollectorid,HEAD COLLECTOR
employee_external_job_healthadminid,HEALTH ADMIN
employee_external_job_heoid,HEO
employee_external_job_hondasocsargen-pres.id,HONDASOCSARGEN-PRES.
employee_external_job_hosekeeperid,HOSEKEEPER
employee_external_job_hosewifeid,HOSEWIFE
employee_external_job_hotelmaintenanceid,HOTEL MAINTENANCE
employee_external_job_housekeeperid,HOUSE KEEPER
employee_external_job_housekeepingid,HOUSE KEEPING
employee_external_job_housekeeprid,HOUSE KEEPR
employee_external_job_housewifeid,HOUSE WIFE
employee_external_job_house/wifeid,HOUSE/WIFE
employee_external_job_househelperid,HOUSEHELPER
employee_external_job_househusbandid,HOUSEHUSBAND
employee_external_job_housekeeperid,HOUSEKEEPER
employee_external_job_housekeepingid,HOUSEKEEPING
employee_external_job_housekeepperid,HOUSEKEEPPER
employee_external_job_housekeperid,HOUSEKEPER
employee_external_job_housemaidid,HOUSEMAID
employee_external_job_housewifeid,HOUSEWIFE
employee_external_job_housewifefarmerid,HOUSEWIFE     FARMER
employee_external_job_housewiffeid,HOUSEWIFFE
employee_external_job_houskeeperid,HOUSKEEPER
employee_external_job_hpusekeeperid,HPUSEKEEPER
employee_external_job_hrid,HR
employee_external_job_hrassistantid,HR ASSISTANT
employee_external_job_husbandid,HUSBAND
employee_external_job_icecreamvendorid,ICE CREAM VENDOR
employee_external_job_insuranceagentid,INSURANCE AGENT
employee_external_job_investor/farmerid,INVESTOR/FARMER
employee_external_job_jailguardid,JAIL GUARD
employee_external_job_jousekeeperid,JOUSEKEEPER
employee_external_job_junkshopid,JUNK SHOP
employee_external_job_kousekeepingid,KOUSEKEEPING
employee_external_job_labandiraid,LABANDIRA
employee_external_job_laboreid,LABORE
employee_external_job_laborerid,LABORER
employee_external_job_landtitleprocessorid,LAND TITLE PROCESSOR
employee_external_job_laundrywomanid,LAUNDRY WOMAN
employee_external_job_lawyersecretaryid,LAWYER SECRETARY
employee_external_job_legislativeofficerid,LEGISLATIVE OFFICER
employee_external_job_lguemployeeid,LGU EMPLOYEE
employee_external_job_librarianid,LIBRARIAN
employee_external_job_livestockdealerid,LIVE STOCK DEALER
employee_external_job_loggerid,LOGGER
employee_external_job_m.d.deceasedid,M.D. DECEASED
employee_external_job_machineoperatorid,MACHINE OPERATOR
employee_external_job_maintenanceid,MAINTENANCE
employee_external_job_maintenanceheid,MAINTENANCE HE
employee_external_job_manager(kcc)id,MANAGER (KCC)
"employee_external_job_manager,caritashealthshieldid","MANAGER, CARITAS HEALTH SHIELD"
employee_external_job_manicuristid,MANICURIST
employee_external_job_marketvendorid,MARKET VENDOR
employee_external_job_masonid,MASON
employee_external_job_meatvendorid,MEAT VENDOR
employee_external_job_mechanicid,MECHANIC
employee_external_job_mechanicconsultantid,MECHANIC CONSULTANT
employee_external_job_mediaid,MEDIA
employee_external_job_midwifeid,MIDWIFE
employee_external_job_midwife/gov'tid,MIDWIFE/ GOV'T
employee_external_job_motherid,MOTHER
employee_external_job_motorcyclemechanicid,MOTORCYCLE MECHANIC
employee_external_job_mrktg.supervisoragentid,MRKTG. SUPERVISOR AGENT
employee_external_job_mutitenanceid,MUTI TENANCE
employee_external_job_n/aid,N/A
employee_external_job_naid,NA
employee_external_job_networkingagentid,NET WORKING AGENT
employee_external_job_nguid,NGU
employee_external_job_non-teachingpersonnelid,NON-TEACHING PERSONNEL
employee_external_job_noneid,NONE
employee_external_job_nonestatedid,NONE STATED
employee_external_job_notavailableid,NOT AVAILABLE
employee_external_job_notstatedid,NOT STATED
employee_external_job_nurseid,NURSE
employee_external_job_nurserysupervisorid,NURSERY SUPERVISOR
employee_external_job_officeclerkid,OFFICE CLERK
employee_external_job_officestaffid,OFFICE STAFF
employee_external_job_ofwid,OFW
employee_external_job_painterid,PAINTER
employee_external_job_pandayid,PANDAY
employee_external_job_panday/masonid,PANDAY/MASON
employee_external_job_parishworkerid,PARISH WORKER
employee_external_job_parttimeteacherid,PART TIME TEACHER
employee_external_job_pastorid,PASTOR
employee_external_job_peddlerscollectorid,PEDDLERS COLLECTOR
employee_external_job_pedicabdriverid,PEDICAB DRIVER
employee_external_job_peisionerid,PEISIONER
employee_external_job_pensionerid,PENSIONER
employee_external_job_pensionerbusinessmanid,PENSIONER BUSINESSMAN
employee_external_job_philippinearmyid,PHILIPPINE ARMY
employee_external_job_plainhousewifid,PLAIN HOUSEWIF
employee_external_job_plumberid,PLUMBER
employee_external_job_pnpid,PNP
employee_external_job_police(inteligencegroup)id,POLICE(INTELIGENCE GROUP)
employee_external_job_policemanid,POLICEMAN
employee_external_job_preacherid,PREACHER
employee_external_job_principalid,PRINCIPAL
employee_external_job_privatedriverid,PRIVATE DRIVER
