job_level:id,id,company_id:id,name
config_job_level_rf5id,hr_job_01001id,res_company_marbeluniversaltradingincid,PROCUREMENT AND PRICING ASSISTANT
None,hr_job_01002id,res_company_marbeluniversaltradingincid,ACCOUNTANT II
None,hr_job_01004id,res_company_marbeluniversaltradingincid,ADMINISTRATIVE ASSISTANT
None,hr_job_01009id,res_company_marbeluniversaltradingincid,CARPENTER
None,hr_job_01011id,res_company_marbeluniversaltradingincid,CASHIER- PARTS
None,hr_job_01020id,res_company_marbeluniversaltradingincid,DRIVER
config_job_level_rf3id,hr_job_01039id,res_company_marbeluniversaltradingincid,PARTSMAN
None,hr_job_01043id,res_company_marbeluniversaltradingincid,PRESIDENT
None,hr_job_01049id,res_company_marbeluniversaltradingincid,SECURITY GUARD
None,hr_job_01052id,res_company_marbeluniversaltradingincid,UTILITY
None,hr_job_01056id,res_company_marbeluniversaltradingincid,WELDER
None,hr_job_01057id,res_company_marbeluniversaltradingincid,MC MECHANIC
None,hr_job_01082id,res_company_marbeluniversaltradingincid,MACHINIST
None,hr_job_01083id,res_company_marbeluniversaltradingincid,MACHINIST I
None,hr_job_01086id,res_company_marbeluniversaltradingincid,SALESCLERK
None,hr_job_01087id,res_company_marbeluniversaltradingincid,SALESCLERK-BIKE
None,hr_job_01107id,res_company_marbeluniversaltradingincid,ACCOUNTING CLERK
None,hr_job_01114id,res_company_marbeluniversaltradingincid,SALESCLERK/PARTSMAN
None,hr_job_01119id,res_company_marbeluniversaltradingincid,RECEIVING CLERK
None,hr_job_01125id,res_company_marbeluniversaltradingincid,CHECKER
None,hr_job_01126id,res_company_marbeluniversaltradingincid,COLLECTOR
None,hr_job_01131id,res_company_marbeluniversaltradingincid,SALES ASSISTANT
None,hr_job_01134id,res_company_marbeluniversaltradingincid,OPERATIONS MANAGER
None,hr_job_01135id,res_company_marbeluniversaltradingincid,BRANCH MANAGER
None,hr_job_01137id,res_company_marbeluniversaltradingincid,MARKETING CLERK
None,hr_job_01143id,res_company_marbeluniversaltradingincid,AREA MANAGER
None,hr_job_01148id,res_company_marbeluniversaltradingincid,MC MECHANIC-TRAINEE
None,hr_job_01152id,res_company_marbeluniversaltradingincid,RECEIVING/ISSUING CLERK
None,hr_job_01156id,res_company_marbeluniversaltradingincid,CORPORATE SECRETARY
None,hr_job_01157id,res_company_marbeluniversaltradingincid,CASHIER/PARTSMAN
None,hr_job_01158id,res_company_marbeluniversaltradingincid,PARTSMAN/CASHIER
config_job_level_rf1id,hr_job_01162id,res_company_marbeluniversaltradingincid,HELPER
