id,name
employee_medical_allergy_alcoholicbeveragesid,ALCOHOLIC BEVERAGES
employee_medical_allergy_asthmaid,ASTHMA
employee_medical_allergy_beers/harddrinksid,BEERS/HARD DRINKS
employee_medical_allergy_chickenid,CHICKEN
employee_medical_allergy_cotriid,COTRI
employee_medical_allergy_cotrimoxazoleid,COTRIMOXAZOLE
employee_medical_allergy_crabid,CRAB
employee_medical_allergy_crabsid,CRABS
employee_medical_allergy_crabsid,CRABS
"employee_medical_allergy_crustacean,porkid","CRUSTACEAN, PORK"
employee_medical_allergy_daingid,DAING
employee_medical_allergy_dustid,DUST
employee_medical_allergy_dustid,DUST
employee_medical_allergy_dustid,DUST
employee_medical_allergy_dustid,DUST
employee_medical_allergy_eczemaid,ECZEMA
employee_medical_allergy_foodid,FOOD
employee_medical_allergy_foods/scentsid,FOODS/SCENTS
employee_medical_allergy_genericmedicinesid,GENERIC MEDICINES
employee_medical_allergy_insectsbitesid,INSECTS BITES
employee_medical_allergy_medicineid,MEDICINE
employee_medical_allergy_mefenamicacidid,MEFENAMIC ACID
employee_medical_allergy_noneid,NONE
employee_medical_allergy_paracetamolandpenecillinid,PARACETAMOL AND PENECILLIN
employee_medical_allergy_porkid,PORK
employee_medical_allergy_rhinitiesid,RHINITIES
employee_medical_allergy_rubberodorid,RUBBER ODOR
employee_medical_allergy_seafoodsid,SEA FOODS
"employee_medical_allergy_seafoods,paintsid","SEAFOODS, PAINTS"
employee_medical_allergy_shellseafoodsid,SHELL SEA FOODS
employee_medical_allergy_shrimpandcrabsid,SHRIMP AND CRABS
employee_medical_allergy_shrimpsid,SHRIMPS
employee_medical_allergy_sinusesid,SINUSES
employee_medical_allergy_skinid,SKIN
employee_medical_allergy_skinid,SKIN
employee_medical_allergy_skinid,SKIN
employee_medical_allergy_skinid,SKIN
employee_medical_allergy_skinallergyid,SKIN ALLERGY
employee_medical_allergy_strongchemicalsmellid,STRONG CHEMICAL SMELL
