id,name
employee_medical_healthprob_acutegastritisid,ACUTE GASTRITIS
employee_medical_healthprob_aleergicrhinitisid,ALEERGIC RHINITIS
employee_medical_healthprob_allergicrhinnisid,ALLERGIC RHINNIS
employee_medical_healthprob_asthmaid,ASTHMA
employee_medical_healthprob_asthmaid,ASTHMA
employee_medical_healthprob_asthmaid,ASTHMA
employee_medical_healthprob_backacheid,BACKACHE
employee_medical_healthprob_bradycardiaid,BRADYCARDIA
employee_medical_healthprob_dextroscoliosisid,DEXTROSCOLIOSIS
employee_medical_healthprob_diabetesid,DIABETES
employee_medical_healthprob_eyesid,EYES
employee_medical_healthprob_fattyliverid,FATTY LIVER
employee_medical_healthprob_gallbladderid,GALL BLADDER
employee_medical_healthprob_heartproblemid,HEART PROBLEM
employee_medical_healthprob_heart/ambelicalid,HEART/AMBELICAL
employee_medical_healthprob_highbloodid,HIGH BLOOD
employee_medical_healthprob_highbloodpressureid,HIGH BLOOD PRESSURE
employee_medical_healthprob_hypertensionid,HYPERTENSION
employee_medical_healthprob_hypertensionid,HYPERTENSION
employee_medical_healthprob_hypertensionid,HYPERTENSION
employee_medical_healthprob_hypertensionid,HYPERTENSION
employee_medical_healthprob_hypertension/historyofasthmaid,HYPERTENSION/HISTORY OF ASTHMA
employee_medical_healthprob_indigestion&occasionalcoughid,INDIGESTION & OCCASIONAL COUGH
employee_medical_healthprob_migrainid,MIGRAIN
employee_medical_healthprob_mildmigraineid,MILD MIGRAINE
employee_medical_healthprob_mildmigraineid,MILD MIGRAINE
employee_medical_healthprob_noneid,NONE
employee_medical_healthprob_onanfoffchestacheid,ON ANF OFF CHESTACHE
employee_medical_healthprob_pepticulcerid,PEPTIC ULCER
employee_medical_healthprob_psonasisid,PSONASIS
employee_medical_healthprob_sinusitisid,SINUSITIS
employee_medical_healthprob_slightutiid,SLIGHT U.T.I.
employee_medical_healthprob_ulcerid,ULCER
employee_medical_healthprob_urinarytractinfectionid,URINARY TRACT INFECTION
employee_medical_healthprob_utiid,UTI
