id,name,skill_category_id:id
employee_skills_weldingid,WELDING,employee_skills_categ_m01id
employee_skills_drivingid,DRIVING,employee_skills_categ_m01id
employee_skills_playingguitarid,PLAYING  GUITAR,employee_skills_categ_m01id
employee_skills_drawingid,DRAWING,employee_skills_categ_m01id
employee_skills_typingid,TYPING,employee_skills_categ_m01id
employee_skills_techdraftingid,TECH DRAFTING,employee_skills_categ_m01id
employee_skills_sketchingid,SKETCHING,employee_skills_categ_m01id
employee_skills_sewingid,SEWING,employee_skills_categ_m01id
employee_skills_hardwaresupportid,HARDWARE SUPPORT,employee_skills_categ_m01id
employee_skills_directing(shortplay)id,DIRECTING (SHORT PLAY),employee_skills_categ_m01id
employee_skills_plumbingid,PLUMBING,employee_skills_categ_m01id
employee_skills_mechanicid,MECHANIC,employee_skills_categ_m01id
employee_skills_paintingid,PAINTING,employee_skills_categ_m01id
employee_skills_playingorganid,PLAYING ORGAN,employee_skills_categ_m01id
employee_skills_electricaltroubleshootingid,ELECTRICAL TROUBLESHOOTING,employee_skills_categ_m01id
employee_skills_electronicstroubleshootingid,ELECTRONICS TROUBLESHOOTING,employee_skills_categ_m01id
employee_skills_assemblingbicyclerimid,ASSEMBLING BICYCLE RIM,employee_skills_categ_m01id
employee_skills_enginetroubleshootingid,ENGINE TROUBLESHOOTING,employee_skills_categ_m01id
employee_skills_letteringid,LETTERING,employee_skills_categ_m01id
employee_skills_artworksid,ART WORKS,employee_skills_categ_m01id
employee_skills_reboringid,REBORING,employee_skills_categ_m01id
"employee_skills_writeessays,poems,etc.id","WRITE ESSAYS, POEMS, ETC.",employee_skills_categ_m01id
employee_skills_buildingwiringid,BUILDING WIRING,employee_skills_categ_m01id
employee_skills_pctroubleshootingid,PC TROUBLESHOOTING,employee_skills_categ_m01id
employee_skills_basicconsumerelectronicsid,BASIC CONSUMER ELECTRONICS,employee_skills_categ_m01id
employee_skills_machinistid,MACHINIST,employee_skills_categ_m01id
employee_skills_circuitanalysisid,CIRCUIT ANALYSIS,employee_skills_categ_m01id
employee_skills_assemblingaudio&electronicid,ASSEMBLING AUDIO & ELECTRONIC,employee_skills_categ_m01id
employee_skills_draftingid,DRAFTING,employee_skills_categ_m01id
employee_skills_basictroubleshootingid,BASIC TROUBLESHOOTING,employee_skills_categ_m01id
employee_skills_bookbindingid,BOOKBINDING,employee_skills_categ_m01id
employee_skills_postermakingid,POSTER MAKING,employee_skills_categ_m01id
employee_skills_vehicletroubleshootingid,VEHICLE TROUBLESHOOTING,employee_skills_categ_m01id
employee_skills_riggerid,RIGGER,employee_skills_categ_m01id
employee_skills_floraldecorationsid,FLORAL DECORATIONS,employee_skills_categ_m01id
employee_skills_eventsorganizationid,EVENTS ORGANIZATION,employee_skills_categ_m01id
employee_skills_mswordid,MS WORD,employee_skills_categ_m02id
employee_skills_msexcelid,MS EXCEL,employee_skills_categ_m02id
employee_skills_programmingid,PROGRAMMING,employee_skills_categ_m02id
employee_skills_mspowerpointid,MS POWERPOINT,employee_skills_categ_m02id
employee_skills_hardwareinstallationid,HARDWARE INSTALLATION,employee_skills_categ_m02id
employee_skills_softwareinstallationid,SOFTWARE INSTALLATION,employee_skills_categ_m02id
employee_skills_turbopascal/graphicsid,TURBO PASCAL/GRAPHICS,employee_skills_categ_m02id
employee_skills_computergraphicid,COMPUTER GRAPHIC,employee_skills_categ_m02id
employee_skills_basicnetworkingid,BASIC NETWORKING,employee_skills_categ_m02id
employee_skills_computerliterateid,COMPUTER LITERATE,employee_skills_categ_m02id
employee_skills_lay-outingid,LAY-OUTING,employee_skills_categ_m02id
employee_skills_autocadid,AUTOCAD,employee_skills_categ_m02id
employee_skills_computertroubleshootingid,COMPUTER TROUBLESHOOTING,employee_skills_categ_m02id
employee_skills_mspublisherid,MS PUBLISHER,employee_skills_categ_m02id
employee_skills_msfrontpageid,MS FRONT PAGE,employee_skills_categ_m02id
employee_skills_adobephotoshopid,ADOBE PHOTOSHOP,employee_skills_categ_m02id
employee_skills_corelapplicationsid,COREL APPLICATIONS,employee_skills_categ_m02id
employee_skills_sketch-upid,SKETCH-UP,employee_skills_categ_m02id
employee_skills_artlantisid,ARTLANTIS,employee_skills_categ_m02id
employee_skills_troubleshootingid,TROUBLESHOOTING,employee_skills_categ_m02id
employee_skills_linuxapplicationid,LINUX APPLICATION,employee_skills_categ_m02id
employee_skills_networkingid,NETWORKING,employee_skills_categ_m02id
employee_skills_windowsid,WINDOWS,employee_skills_categ_m02id
employee_skills_msapplicationid,MS APPLICATION,employee_skills_categ_m02id
employee_skills_msofficeid,MS OFFICE,employee_skills_categ_m02id
employee_skills_quickbooksid,QUICKBOOKS,employee_skills_categ_m02id
employee_skills_openofficeid,OPEN OFFICE,employee_skills_categ_m02id
employee_skills_sapid,SAP,employee_skills_categ_m02id
employee_skills_vb.netid,VB.NET,employee_skills_categ_m02id
employee_skills_webdevelopmentid,WEB DEVELOPMENT,employee_skills_categ_m02id
employee_skills_englishid,ENGLISH,employee_skills_categ_m03id
employee_skills_tagalogid,TAGALOG,employee_skills_categ_m03id
employee_skills_ilonggoid,ILONGGO,employee_skills_categ_m03id
employee_skills_cebuanoid,CEBUANO,employee_skills_categ_m03id
employee_skills_filipinoid,FILIPINO,employee_skills_categ_m03id
employee_skills_ilocanoid,ILOCANO,employee_skills_categ_m03id
employee_skills_muslimid,MUSLIM,employee_skills_categ_m03id
employee_skills_visayanid,VISAYAN,employee_skills_categ_m03id
employee_skills_capampanganid,CAPAMPANGAN,employee_skills_categ_m03id
employee_skills_chineseid,CHINESE,employee_skills_categ_m03id
employee_skills_mandarinid,MANDARIN,employee_skills_categ_m03id
employee_skills_frenchid,FRENCH,employee_skills_categ_m03id
employee_skills_spanishid,SPANISH,employee_skills_categ_m03id
employee_skills_hiligaynonid,HILIGAYNON,employee_skills_categ_m03id
employee_skills_fukkienid,FUKKIEN,employee_skills_categ_m03id
employee_skills_photodevelopingid,PHOTO DEVELOPING,employee_skills_categ_m03id
employee_skills_arabicid,ARABIC,employee_skills_categ_m03id
employee_skills_b'laanid,B'LAAN,employee_skills_categ_m03id
employee_skills_basketballid,BASKETBALL,employee_skills_categ_m04id
