job_level_id:id,company_id:id,id,name
config_job_level_rf5id,muti_base.res_company_bu000001id,hr_job_01001id,PROCUREMENT AND PRICING ASSISTANT
,muti_base.res_company_bu000001id,hr_job_01002id,ACCOUNTANT II
,muti_base.res_company_bu000001id,hr_job_01004id,ADMINISTRATIVE ASSISTANT
,muti_base.res_company_bu000001id,hr_job_01009id,CARPENTER
,muti_base.res_company_bu000001id,hr_job_01011id,CASHIER- PARTS
,muti_base.res_company_bu000001id,hr_job_01020id,DRIVER
config_job_level_rf3id,muti_base.res_company_bu000001id,hr_job_01039id,PARTSMAN
,muti_base.res_company_bu000001id,hr_job_01043id,PRESIDENT
,muti_base.res_company_bu000001id,hr_job_01049id,SECURITY GUARD
,muti_base.res_company_bu000001id,hr_job_01052id,UTILITY
,muti_base.res_company_bu000001id,hr_job_01056id,WELDER
,muti_base.res_company_bu000001id,hr_job_01057id,MC MECHANIC
,muti_base.res_company_bu000001id,hr_job_01082id,MACHINIST
,muti_base.res_company_bu000001id,hr_job_01083id,MACHINIST I
,muti_base.res_company_bu000001id,hr_job_01086id,SALESCLERK
,muti_base.res_company_bu000001id,hr_job_01087id,SALESCLERK-BIKE
,muti_base.res_company_bu000001id,hr_job_01107id,ACCOUNTING CLERK
,muti_base.res_company_bu000001id,hr_job_01114id,SALESCLERK/PARTSMAN
,muti_base.res_company_bu000001id,hr_job_01119id,RECEIVING CLERK
,muti_base.res_company_bu000001id,hr_job_01125id,CHECKER
,muti_base.res_company_bu000001id,hr_job_01126id,COLLECTOR
,muti_base.res_company_bu000001id,hr_job_01131id,SALES ASSISTANT
,muti_base.res_company_bu000001id,hr_job_01134id,OPERATIONS MANAGER
,muti_base.res_company_bu000001id,hr_job_01135id,BRANCH MANAGER
,muti_base.res_company_bu000001id,hr_job_01137id,MARKETING CLERK
,muti_base.res_company_bu000001id,hr_job_01143id,AREA MANAGER
,muti_base.res_company_bu000001id,hr_job_01148id,MC MECHANIC-TRAINEE
,muti_base.res_company_bu000001id,hr_job_01152id,RECEIVING/ISSUING CLERK
,muti_base.res_company_bu000001id,hr_job_01156id,CORPORATE SECRETARY
,muti_base.res_company_bu000001id,hr_job_01157id,CASHIER/PARTSMAN
,muti_base.res_company_bu000001id,hr_job_01158id,PARTSMAN/CASHIER
config_job_level_rf1id,muti_base.res_company_bu000001id,hr_job_01162id,HELPER
config_job_level_m04id,muti_base.res_company_bu000001id,hr_job_01171id,PROCUREMENT AND PRICING SUPERVISOR
config_job_level_m04id,muti_base.res_company_bu000001id,hr_job_01172id,RETAIL SUPERVISOR
config_job_level_pt2id,muti_base.res_company_bu000001id,hr_job_01173id,SALES SPECIALIST
config_job_level_rf3id,muti_base.res_company_bu000001id,hr_job_01174id,BIKE ASSEMBLER
config_job_level_m04id,muti_base.res_company_bu000001id,hr_job_01175id,"SUPERVISOR, WHOLESALE"
config_job_level_rf5id,muti_base.res_company_bu000001id,hr_job_01176id,"LEADPERSON, MACHINIST"
config_job_level_rf4id,muti_base.res_company_bu000001id,hr_job_01177id,MACHINIST II
config_job_level_rf4id,muti_base.res_company_bu000001id,hr_job_01178id,TREASURY CLERK-DISBURSEMENT
,muti_base.res_company_bu000003id,hr_job_03005id,MC MECHANIC
,muti_base.res_company_bu000003id,hr_job_03006id,PARTSMAN
,muti_base.res_company_bu000003id,hr_job_03008id,SECURITY GUARD
,muti_base.res_company_bu000003id,hr_job_03014id,CASHIER- UNITS
,muti_base.res_company_bu000003id,hr_job_03015id,SALES CLERK/ PARTSMAN
,muti_base.res_company_bu000003id,hr_job_03016id,MARKETING ASSISTANT
,muti_base.res_company_bu000003id,hr_job_03025id,SERVICE ADVISOR
,muti_base.res_company_bu000003id,hr_job_03026id,"HEAD, FINANCE"
