"id","old_code","name","first_name","middle_name","last_name","suffix","street","city","zip","country_id/id","company_type","phone","mobile","fax","email","supplier","mode_payment","comment","discount","property_supplier_payment_term_id/id","customer","wholesaler"
"res_partner_supplier_1",,"168 MOTOR TRADING",,,,,"J.L. BRIONES ST. COR.ROAD EAST, NORTH RECLAMATION AREA","CEBU CITY",,"base.ph","company","(032) 412-0688","09197119559 (SMART) 09238336885 (SUN)","032-232-2162","168prosperityventures@gmail.com","TRUE","collection","MC PARTS; QUANTUM BATTERY","BATTERY-NET PRICE CHAIN&BRAKESHOE-30%IF PER BOX RIM-30% PER RIM.. 25% FOR NORMAL DISCOUNT",120,,
"res_partner_supplier_2",,"999 BINONDO",,,,,"3RD FLR. 3D-1-3-999 SHOPPING MALL (BLG 2) SOLER ST.","BINONDO MANILA",,"base.ph","company","(02) 516-1907/ 504-9870","09275555556 (GLOBE) 09224807215 (SUN)",,"6531747@QQ.com","TRUE","sending","MOTOR ACCESSORIES WHOLESALER AND RETAIL",,120,,
"res_partner_supplier_3",,"A.C.N. TRADING (FREESTYLE RACING)",,,,,,"CAGAYAN DE ORO",,"base.ph","company","(088) 857-8129","09177131997 (GLOBE)","088-725835","freestylecdo@gmail.com","TRUE","collection","MC PARTS","30% on any amount",90,,
"res_partner_supplier_4",,"A & G BIKESHOP",,,,,"UNIT #15 DEPC WHSE DIVERSION ROAD BUHANGIN","DAVAO CITY",,"base.ph","company","(082) 285-6843","09209685250 (SMART) 09255557732 (SUN)","(082)234-7743","agbikeshopdavao@yahoo.com","TRUE","collection","BIKE PARTS","10% 5% bike; 25% motorcycle",120,,
"res_partner_supplier_5",,"BMX CYCLE CENTER",,,,,"23-B RIZAL AVE. EXT.","CALOOCAN CITY",,"base.ph","company","(02) 364-2350","09228013779(SUN) 09178607293(GLOBE)","02-364-2350","bmxcyclecenter@gmail.com","TRUE","sending","BIKE PARTS","5% 5%",90,,
"res_partner_supplier_6",,"BIKELAB",,,,,"14 TOMAS SACO STREET. ","CAGAYAN DE ORO CITY ",9000,"base.ph","company",,"09176799144 (GLOBE) 09177023707 (GLOBE)",,"renax_lim@yahoo.com","TRUE","sending","BIKE PARTS (HUB)","RENANTE KHO LIM (BPI: 9320-0002-78 / BDO: 0063-500-46284)",,,
"res_partner_supplier_7",,"CAMEL APPLIANCES ",,,,,"JOWIL DISTRIBUTORS, INC. Diversion Road, Phil. Japan Friendship highway, Sasa  ","Davao City",,"base.ph","company","(032) 238-2880 CEBU CITY","09228112231(SUN) 09176314543(GLOBE)",,"wtchua2005@yahoo.com","TRUE","collection","HOUSEHOLD APPLIANCES","Electric Fan: less 14% 12+1free/Small Appliances: less 14% 10+1free/White Lines: 1to 5 units less 14% /6to 15 units less 14% 3% 16up less 14% 6%",60,,
"res_partner_supplier_8",,"CARLIFE EXPRESS payee: RUNSTOP ACCESSORIES",,,,,"503 GUERERO COR., J. LUNA ST.","DAVAO CITY",,"base.ph","company","(082) 227-1437","09228814628 (SUN) 09330272988 (SUN)","(082) 227-1437",,"TRUE",,"ARMOR ALL, TIRE BLACK","VOLUMNE ORDER 200PCS FOR ARMOR ALL U.C. IS 65.00",90,,
"res_partner_supplier_9",,"CEBU GLOBAL TIRE",,,,,"A.C CORTEZ AVE., CAMBARO","MADAUE CITY",,"base.ph","company","(032) 346-1167;(032) 345-2819","09291050642 (SMART)","(032) 346-1398","cebuglobaltire@yahoo.com","TRUE","sending","TUBE GUM",,90,,
"res_partner_supplier_10",,"CRB CENTER",,,,,"# 106 9TH AVE., COR BALTAZAR ST. & CANDIDO ST., WEST ","CALOOCAN CITY",,"base.ph","company","(02) 367-0058","09088925849 (SMART) 09224609148(SUN)","02-362-3725","crosswyn_gts@yahoo.com","TRUE","sending","BIKE PARTS","120 DAYS TERM BUT ORDER SHOULD BE 200K AND UP PER TRANSACTION",120,,
"res_partner_supplier_11",,"COMET CYCLE CENTER",,,,,"88-B TOLENTINO STREET 1105 SAN FRANCISO DEL MONTE","QUEZON CITY",,"base.ph","company","(02) 372-5590 TO 93","09335919495 (SUN) 09205529492 (SMART) 09177907479- JORDAN",,"ern_icing@yahoo.com","TRUE","sending","BIKE PARTS","BANK DETAILS: METRO BANK ACCOUNT NO: 014-3012819170 (ACCOUNT NAME: SAMUEL LI)",120,,
