id,barcode_affix,name,parent_id/id,removal_strategy_id/id
product_category_sp,,Spareparts,,stock.removal_fifo
product_category_mc,,Motorcycle,,stock.removal_fifo
product_category_nontrade,,Non-Trade,,
major_class_1,01,MC,product_category_sp,
make_1,01,Honda,major_class_1,
group_1,01,Accessories,make_1,
subgroup_1,001,Blank Key,group_1,
major_class_2,01,MC,product_category_sp,
make_2,01,Honda,major_class_2,
group_2,01,Accessories,make_2,
subgroup_2,002,Cap,group_2,
major_class_3,01,MC,product_category_sp,
make_3,01,Honda,major_class_3,
group_3,01,Accessories,make_3,
subgroup_3,003,Carrier,group_3,
major_class_4,01,MC,product_category_sp,
make_4,01,Honda,major_class_4,
group_4,01,Accessories,make_4,
subgroup_4,004,Chain Adjuster,group_4,
major_class_5,01,MC,product_category_sp,
make_5,01,Honda,major_class_5,
group_5,01,Accessories,make_5,
subgroup_5,005,Clamp,group_5,
major_class_6,01,MC,product_category_sp,
make_6,01,Honda,major_class_6,
group_6,01,Accessories,make_6,
subgroup_6,006,Clip,group_6,
major_class_7,01,MC,product_category_sp,
make_7,01,Honda,major_class_7,
group_7,01,Accessories,make_7,
subgroup_7,007,Emblem,group_7,
major_class_8,01,MC,product_category_sp,
make_8,01,Honda,major_class_8,
group_8,01,Accessories,make_8,
subgroup_8,008,Footrest,group_8,
major_class_9,01,MC,product_category_sp,
make_9,01,Honda,major_class_9,
group_9,01,Accessories,make_9,
subgroup_9,009,Grommet,group_9,
major_class_10,01,MC,product_category_sp,
make_10,01,Honda,major_class_10,
group_10,01,Accessories,make_10,
subgroup_10,010,Guard Knuckle,group_10,
major_class_11,01,MC,product_category_sp,
make_11,01,Honda,major_class_11,
group_11,01,Accessories,make_11,
subgroup_11,011,Helmet,group_11,
major_class_12,01,MC,product_category_sp,
make_12,01,Honda,major_class_12,
group_12,01,Accessories,make_12,
subgroup_12,012,Horn,group_12,
major_class_13,01,MC,product_category_sp,
make_13,01,Honda,major_class_13,
group_13,01,Accessories,make_13,
subgroup_13,013,Key,group_13,
major_class_14,01,MC,product_category_sp,
make_14,01,Honda,major_class_14,
group_14,01,Accessories,make_14,
subgroup_14,014,Key Chain,group_14,
major_class_15,01,MC,product_category_sp,
make_15,01,Honda,major_class_15,
group_15,01,Accessories,make_15,
subgroup_15,015,Pivot Guard,group_15,
major_class_16,01,MC,product_category_sp,
make_16,01,Honda,major_class_16,
group_16,01,Accessories,make_16,
subgroup_16,016,Reflector,group_16,
major_class_17,01,MC,product_category_sp,
make_17,01,Honda,major_class_17,
group_17,01,Accessories,make_17,
subgroup_17,017,Rivet,group_17,
major_class_18,01,MC,product_category_sp,
make_18,01,Honda,major_class_18,
group_18,01,Accessories,make_18,
subgroup_18,018,Rubber,group_18,
major_class_19,01,MC,product_category_sp,
make_19,01,Honda,major_class_19,
group_19,01,Accessories,make_19,
subgroup_19,019,Sticker,group_19,
major_class_20,01,MC,product_category_sp,
make_20,01,Honda,major_class_20,
group_20,01,Accessories,make_20,
subgroup_20,020,Stopper,group_20,
major_class_21,01,MC,product_category_sp,
make_21,01,Honda,major_class_21,
group_21,02,Apparel,make_21,
subgroup_21,001,Bag,group_21,
major_class_22,01,MC,product_category_sp,
make_22,01,Honda,major_class_22,
group_22,02,Apparel,make_22,
subgroup_22,002,Cap,group_22,
major_class_23,01,MC,product_category_sp,
make_23,01,Honda,major_class_23,
group_23,02,Apparel,make_23,
subgroup_23,003,Jacket,group_23,
major_class_24,01,MC,product_category_sp,
make_24,01,Honda,major_class_24,
group_24,02,Apparel,make_24,
subgroup_24,004,Shirt,group_24,
major_class_25,01,MC,product_category_sp,
make_25,01,Honda,major_class_25,
group_25,02,Apparel,make_25,
subgroup_25,005,Shorts,group_25,
major_class_26,01,MC,product_category_sp,
make_26,01,Honda,major_class_26,
group_26,02,Apparel,make_26,
subgroup_26,006,Sunglasses,group_26,
major_class_27,01,MC,product_category_sp,
make_27,01,Honda,major_class_27,
group_27,03,Bearing and Collar,make_27,
subgroup_27,001,Ball Bearing,group_27,
major_class_28,01,MC,product_category_sp,
make_28,01,Honda,major_class_28,
group_28,03,Bearing and Collar,make_28,
subgroup_28,002,Ball Race,group_28,
major_class_29,01,MC,product_category_sp,
make_29,01,Honda,major_class_29,
group_29,03,Bearing and Collar,make_29,
subgroup_29,003,Ball Retainer,group_29,
major_class_30,01,MC,product_category_sp,
make_30,01,Honda,major_class_30,
group_30,03,Bearing and Collar,make_30,
subgroup_30,004,Ball Steel,group_30,
major_class_31,01,MC,product_category_sp,
make_31,01,Honda,major_class_31,
group_31,03,Bearing and Collar,make_31,
subgroup_31,005,Collar,group_31,
major_class_32,01,MC,product_category_sp,
make_32,01,Honda,major_class_32,
group_32,03,Bearing and Collar,make_32,
subgroup_32,006,Needle Bearing,group_32,
major_class_33,01,MC,product_category_sp,
make_33,01,Honda,major_class_33,
group_33,05,Brake,make_33,
subgroup_33,001,Boot,group_33,
major_class_34,01,MC,product_category_sp,
make_34,01,Honda,major_class_34,
group_34,05,Brake,make_34,
subgroup_34,002,"Bracket, Brake Assembly",group_34,
major_class_35,01,MC,product_category_sp,
make_35,01,Honda,major_class_35,
group_35,05,Brake,make_35,
subgroup_35,003,Brake Arm,group_35,
major_class_36,01,MC,product_category_sp,
make_36,01,Honda,major_class_36,
group_36,05,Brake,make_36,
subgroup_36,004,Brake Caliper,group_36,
major_class_37,01,MC,product_category_sp,
make_37,01,Honda,major_class_37,
group_37,05,Brake,make_37,
subgroup_37,005,Brake Cam,group_37,
major_class_38,01,MC,product_category_sp,
make_38,01,Honda,major_class_38,
group_38,05,Brake,make_38,
subgroup_38,006,Brake Camshaft,group_38,
major_class_39,01,MC,product_category_sp,
make_39,01,Honda,major_class_39,
group_39,05,Brake,make_39,
subgroup_39,007,"Brake Clamper, Front",group_39,
major_class_40,01,MC,product_category_sp,
make_40,01,Honda,major_class_40,
group_40,05,Brake,make_40,
subgroup_40,008,Brake Guide,group_40,
major_class_41,01,MC,product_category_sp,
make_41,01,Honda,major_class_41,
group_41,05,Brake,make_41,
subgroup_41,009,Brake Lever,group_41,
major_class_42,01,MC,product_category_sp,
make_42,01,Honda,major_class_42,
group_42,05,Brake,make_42,
subgroup_42,010,Brake Master,group_42,
major_class_43,01,MC,product_category_sp,
make_43,01,Honda,major_class_43,
group_43,05,Brake,make_43,
subgroup_43,011,Brake Pads,group_43,
major_class_44,01,MC,product_category_sp,
make_44,01,Honda,major_class_44,
group_44,05,Brake,make_44,
subgroup_44,012,Brake Panel,group_44,
major_class_45,01,MC,product_category_sp,
make_45,01,Honda,major_class_45,
group_45,05,Brake,make_45,
subgroup_45,013,Brake Rod,group_45,
major_class_46,01,MC,product_category_sp,
make_46,01,Honda,major_class_46,
group_46,05,Brake,make_46,
subgroup_46,014,Brake Shoe,group_46,
major_class_47,01,MC,product_category_sp,
make_47,01,Honda,major_class_47,
group_47,05,Brake,make_47,
subgroup_47,015,"Brake, Piston",group_47,
major_class_48,01,MC,product_category_sp,
make_48,01,Honda,major_class_48,
group_48,05,Brake,make_48,
subgroup_48,016,Caliper,group_48,
major_class_49,01,MC,product_category_sp,
make_49,01,Honda,major_class_49,
group_49,05,Brake,make_49,
subgroup_49,017,"Cup, Complete Oil",group_49,
