id,veccolor_id,name,old_color_code
product_color_00000000002,00000000002,                              ,
product_color_00000000003,00000000003,M. RED,0
product_color_00000000004,00000000004,RED                           ,1
product_color_00000000005,00000000005,BLUE,2
product_color_00000000006,00000000006,YELLOW                        ,3
product_color_00000000007,00000000007,GREEN                         ,4
product_color_00000000008,00000000008,BLACK                         ,5
product_color_00000000009,00000000009,ORANGE                        ,6
product_color_00000000010,00000000010,PURPLE,7
product_color_00000000011,00000000011,WHITE                         ,8
product_color_00000000012,00000000012,SILVER,9
product_color_00000000013,00000000013,VIOLET,10
product_color_00000000014,00000000014,GRAY,11
product_color_00000000015,00000000015,PURPLE WHITE,12
product_color_00000000016,00000000016,PURPLE WHT SLVR,13
product_color_00000000017,00000000017,GREEN / BLUE,14
product_color_00000000018,00000000018,GREEN / RED,15
product_color_00000000019,00000000019,GOLD                          ,16
product_color_00000000020,00000000020,RED / BLACK,17
product_color_00000000021,00000000021,WHT W/ SLVR STR,18
product_color_00000000022,00000000022,BLUE/BLACK                    ,19
product_color_00000000023,00000000023,BLUE W/ SILVER,20
product_color_00000000024,00000000024,PINK W/SIL.STRP,21
product_color_00000000025,00000000025,RED W/ SLVR STR,22
product_color_00000000026,00000000026,YLW W/ SLV STRP,23
product_color_00000000027,00000000027,GRN W/ SIL STRP,24
product_color_00000000028,00000000028,IVRY W/SLV STRP,25
product_color_00000000029,00000000029,BLK W/ SLVR STR,26
product_color_00000000030,00000000030,ORNGE W/ SILVER,27
product_color_00000000031,00000000031,PINK                          ,28
product_color_00000000032,00000000032,BLU W/ SIL STRP,29
product_color_00000000033,00000000033,RED/BLACK,30
product_color_00000000034,00000000034,RED/SILVER,31
product_color_00000000035,00000000035,BLUE/SILVER,32
product_color_00000000036,00000000036,YELLOW/SILVER,33
product_color_00000000037,00000000037,MAROON W/ SIL.,34
product_color_00000000038,00000000038,MAGENTA,35
product_color_00000000039,00000000039,GOLD W/SLVR STR,36
product_color_00000000040,00000000040,CRYSTAL BLACK,37
product_color_00000000041,00000000041,RED/NEW,38
product_color_00000000042,00000000042,BLACK/NEW GRAPH,39
product_color_00000000043,00000000043,WHITE/SILVER,40
product_color_00000000044,00000000044,GRAY/T.BLACK,41
product_color_00000000045,00000000045,RED/T.BLACK,42
product_color_00000000046,00000000046,B.WHITE/T.BLACK               ,43
product_color_00000000047,00000000047,S.RED/T.BLACK,44
product_color_00000000048,00000000048,T.BLACK/B.WHITE               ,45
product_color_00000000049,00000000049,T.BLACK/M.BLUE,46
product_color_00000000050,00000000050,YELLOW/BLACK,47
product_color_00000000051,00000000051,PEARL METALLOID,48
product_color_00000000052,00000000052,TITAN BLACK                   ,49
product_color_00000000053,00000000053,PEARL METALLIC,50
product_color_00000000054,00000000054,B.BLUE/T.BLACK,51
product_color_00000000055,00000000055,T.BLACK/BLUE,52
product_color_00000000056,00000000056,T.BLACK/N. RED,53
product_color_00000000057,00000000057,T.BLACK/D. GRAY,54
product_color_00000000058,00000000058,BLUE/T.BLACK,55
product_color_00000000059,00000000059,D.GRAY MET./T.B               ,56
product_color_00000000060,00000000060,MB BLUE/T. BLK,57
product_color_00000000061,00000000061,A. RED/T. BLK,58
product_color_00000000062,00000000062,SPEC BLUE MET.                ,59
product_color_00000000063,00000000063,BLUE METALLIC,60
product_color_00000000064,00000000064,C.S RED/T. BLK,61
product_color_00000000065,00000000065,PRL VIGOR BLUE,62
product_color_00000000066,00000000066,AUTUMN ORANGE M,63
product_color_00000000067,00000000067,PEARL MAGELLANI,64
product_color_00000000068,00000000068,CS RED/T.BLACK,65
product_color_00000000069,00000000069,M. BLUE MET/T.B,66
product_color_00000000070,00000000070,D. GRAY/T. BLK                ,67
product_color_00000000071,00000000071,MB. MET./N T-BL,68
product_color_00000000072,00000000072,M. SILVER MET.                ,69
product_color_00000000073,00000000073,C.M. BLUE/T.BLK,70
product_color_00000000074,00000000074,P. MET. WHITE                 ,71
product_color_00000000075,00000000075,P. MAG/BLK                    ,72
product_color_00000000076,00000000076,RED/WHITE,73
product_color_00000000077,00000000077,PRL C RED/T BLK,74
product_color_00000000078,00000000078,BLK. METAL,75
product_color_00000000079,00000000079,FIGHTING RED                  ,76
product_color_00000000080,00000000080,C SONIC GREEN,77
product_color_00000000081,00000000081,P. MAG/BLK WH,81
product_color_00000000082,00000000082,BLACK ORANGE,82
product_color_00000000083,00000000083,CANDY BLUE,83
product_color_00000000084,00000000084,RED GOLD W/ SLV,84
product_color_00000000085,00000000085,MET-M. BLUE/T.B,85
product_color_00000000086,00000000086,C. L. BLUE                    ,86
product_color_00000000087,00000000087,GRAY PEARL/BLK,87
product_color_00000000088,00000000088,RED PEARL/BLK,88
product_color_00000000089,00000000089,DARK BLUE,89
product_color_00000000090,00000000090,LIME GREEN                    ,90
product_color_00000000091,00000000091,VICTORY RED                   ,91
product_color_00000000092,00000000092,PEARL MIRAGE WHITE,92
product_color_00000000093,00000000093,RIVERSIDE BLUE                ,93
product_color_00000000095,00000000095,CLIPPER YELLOW                ,102
product_color_00000000096,00000000096,PRL. SIREN BLOR,103
product_color_00000000097,00000000097,CDY. SUMMER RED               ,104
product_color_00000000098,00000000098,C.A. RED/WHITE,105
product_color_00000000099,00000000099,PRL. AN. YELLOW               ,106
product_color_00000000100,00000000100,AS. BLACK MET.                ,107
product_color_00000000101,00000000101,CDY. ROS. RED                 ,108
product_color_00000000102,00000000102,C. PINK MET.                  ,109
product_color_00000000103,00000000103,S. BLUE MET.                  ,110
product_color_00000000104,00000000104,F. SILVER MET.                ,111
product_color_00000000105,00000000105,P.M. WHITE/T.BLK              ,112
product_color_00000000106,00000000106,C. YELLOW,113
product_color_00000000107,00000000107,MILLENIUM RED,143
product_color_00000000108,00000000108,ROSE WHITE                    ,147
product_color_00000000109,00000000109,MI. RED,148
product_color_00000000110,00000000110,NEW T. BLACK                  ,149
product_color_00000000111,00000000111,CANDY RED                     ,150
product_color_00000000112,00000000112,M. SILVER                     ,151
product_color_00000000113,00000000113,GREEN/YELLOW,152
product_color_00000000114,00000000114,A.S.RED/T.BLK,153
product_color_00000000115,00000000115,C.A. RED                      ,154
product_color_00000000116,00000000116,WHITE W/ YEL STR,155
product_color_00000000117,00000000117,MAR. BLUE/B. WHT,156
product_color_00000000118,00000000118,P.E. BLACK                    ,157
product_color_00000000119,00000000119,M.J.R. BLUE                   ,158
product_color_00000000120,00000000120,M.S. RED                      ,159
product_color_00000000121,00000000121,BLUE/BRLT. WHITE,160
product_color_00000000122,00000000122,PEARL WHT/TBLK,161
product_color_00000000123,00000000123,B. WHITE                      ,162
product_color_00000000124,00000000124,P. F. GREEN                   ,163
product_color_00000000125,00000000125,P. S. PINK                    ,164
product_color_00000000126,00000000126,YELLOW W/ ORANGE STRP.,165
product_color_00000000127,00000000127,BLACK/RED,166
product_color_00000000128,00000000128,BLACK/WHITE,167
product_color_00000000129,00000000129,SILVER W/ GRAY,168
product_color_00000000130,00000000130,P.S. BLK/GRY,169
product_color_00000000131,00000000131,M.J.R. BLUE/BLK,170
product_color_00000000132,00000000132,P.S. RED#2/BLK                ,171
product_color_00000000133,00000000133,B.W.M. BLUE                   ,172
product_color_00000000134,00000000134,C. RED                        ,173
product_color_00000000135,00000000135,P.V. BLUE,174
product_color_00000000136,00000000136,C.RED TITAN BLK               ,175
product_color_00000000137,00000000137,C. RED/T.BLK,176
product_color_00000000138,00000000138,KS BLUE                       ,177
product_color_00000000139,00000000139,P.F. GREEN/BLK,178
product_color_00000000140,00000000140,M.B. BLUE/WHT                 ,179
product_color_00000000141,00000000141,N.T.BLK/B.WHITE               ,180
product_color_00000000142,00000000142,P.S.RED/BLK,181
product_color_00000000143,00000000143,P.S BLK/GRAY                  ,182
product_color_00000000144,00000000144,NEW T.BLK/P.M.WHITE,183
product_color_00000000145,00000000145,M.B. BLUE,184
product_color_00000000146,00000000146,EXTREME RED                   ,185
product_color_00000000147,00000000147,N. T-BLACK/C. S. RED,186
product_color_00000000148,00000000148,N.C. RED / T.BLACK            ,187
product_color_00000000149,00000000149,SPEC. BLUE                    ,300
product_color_00000000150,00000000150,AUTUMN RED,301
product_color_00000000151,00000000151,D. GRAY MET.,302
product_color_00000000152,00000000152,GREEN/B.WHITE,303
product_color_00000000153,00000000153,TRICK BLUE                    ,304
product_color_00000000154,00000000154,N. C RED                      ,305
product_color_00000000155,00000000155,FLSH GREEN/BLACK              ,306
product_color_00000000156,00000000156,C. RED/BLK                    ,307
product_color_00000000157,00000000157,MAROON                        ,308
product_color_00000000158,00000000158,GRAY MET./B.WHITE             ,309
product_color_00000000159,00000000159,TEK. BLK METAL,310
product_color_00000000160,00000000160,FIGHTING RED,
product_color_00000000160,00000000160,NITRIC ORANGE,311
product_color_00000000161,00000000161,TRICK BLUE,
product_color_00000000162,00000000162,LEMON YELLOW ICE,
product_color_00000000163,00000000163,C.PINK METAL,
product_color_00000000164,00000000164,SAHARA BLUE,
product_color_00000000165,00000000165,P. MEG. BLACK,
product_color_00000000168,00000000168,WHITE/BLUE,
product_color_00000000169,00000000169,BLACK/GRAY,
product_color_00000000170,00000000170,M.A. GRAY MET.,
product_color_00000000171,00000000171,CANDY RUBY RED,
product_color_00000000172,00000000172,B. WHITE/BLUE#2   ,
product_color_00000000173,00000000173,GREEN W/ SIL STRP,
product_color_00000000175,00000000175,BLACK/GOLD,
product_color_00000000176,00000000176,VIOLET W/ SILVER ,
product_color_00000000177,00000000177,B. WHITE/BLUE#2,
product_color_00000000178,00000000178,MAT.AX GRAY MET.,
product_color_00000000179,00000000179,P. HOR. WHITE,
product_color_00000000180,00000000180,BLACK/BLUE,
product_color_00000000181,00000000181,YELLOW W/ SILVER STRP,
product_color_00000000182,00000000182,C.RUBY RED,
product_color_00000000183,00000000183,R. WHITE RED,
product_color_00000000184,00000000184,C.S. RED,
product_color_00000000185,00000000185,P.MAG/BLK,
product_color_00000000186,00000000186,AS.BLACK MET.,
product_color_00000000188,00000000188,MET.MED. BLUE/T.BLACK,
product_color_00000000189,00000000189,SPECIAL BLACK,
product_color_00000000190,00000000190,MOTOGP LIMITED EDITION,
product_color_00000000191,00000000191,GLASS SPARKLE BLACK,
product_color_00000000192,00000000192,MET. TRITON BLUE,
product_color_00000000193,00000000193,C. ANTARES RED,
