id,vecmodel_id,brand_id/id,name,old_model_code
product_model_00000000002,00000000002,product_brand_00000000004,FURY125D AX125D          ,277
product_model_00000000003,00000000003,product_brand_00000000003,XRM110K ,B041
product_model_00000000004,00000000004,product_brand_00000000004,FURY 125B AXAR(MAGWHEELS),229
product_model_00000000005,00000000005,product_brand_00000000003,ANF100MDP ,B038
product_model_00000000006,00000000006,product_brand_00000000007,FL125RCMD SHOGUN PRO,F031
product_model_00000000007,00000000007,product_brand_00000000003,ANF125MSPA,68
product_model_00000000008,00000000008,product_brand_00000000002,CT100                    ,7
product_model_00000000009,00000000009,product_brand_00000000004,FURY125C AX125C          ,273
product_model_00000000010,00000000010,product_brand_00000000003,XRM110KLE ,B042
product_model_00000000011,00000000011,product_brand_00000000003,CGX125(SHD3) KICK STARTER,283
product_model_00000000012,00000000012,product_brand_00000000008,T115LSE VEGA ZR (DISC),193
product_model_00000000013,00000000013,product_brand_00000000003,ANF100MDPW BRAKE DRUM,B052
product_model_00000000014,00000000014,product_brand_00000000008,STX YD125T ,186
product_model_00000000015,00000000015,product_brand_00000000007,UD110EE NEX,263
product_model_00000000016,00000000016,product_brand_00000000003,XRM125 CFT125M9PH,B056
product_model_00000000017,00000000017,product_brand_00000000003,XRM125RS,65
product_model_00000000018,00000000018,product_brand_00000000003,ANF100MDPJ,69
product_model_00000000019,00000000019,product_brand_00000000008,YBR125G,191
product_model_00000000020,00000000020,product_brand_00000000003,SPORTS BIKE CBF110MSB,240
product_model_00000000021,00000000021,product_brand_00000000007,FD110XCDU SMASH110,F013
product_model_00000000022,00000000022,product_brand_00000000007,FU150 SC RAIDER 150,F007
product_model_00000000023,00000000023,product_brand_00000000003,XR2009-RD,66
product_model_00000000024,00000000024,product_brand_00000000003,XRM125 OFFROAD NEW CFT125 (MREII),287
product_model_00000000025,00000000025,product_brand_00000000003,ANF125MSPV DISC BRAKE,B054
product_model_00000000026,00000000026,product_brand_00000000003,XRM125(OFFROAD) CFT125KRA,232
product_model_00000000027,00000000027,product_brand_00000000002,WIND125 NEW,A006
product_model_00000000028,00000000028,product_brand_00000000003,AFS125MSB WAVE125 NEW,253
product_model_00000000029,00000000029,product_brand_00000000003,XRM CFT125MA,228
product_model_00000000030,00000000030,product_brand_00000000002,BOXER150 CT150,246
product_model_00000000031,00000000031,product_brand_00000000007,FU150R-SCD (NEW DECALS) RAIDER150,241
product_model_00000000032,00000000032,product_brand_00000000003,TMX1559 ,64
product_model_00000000033,00000000033,product_brand_00000000008,RS110 F                  ,293
product_model_00000000034,00000000034,product_brand_00000000003,ANF100MSPJ,70
product_model_00000000035,00000000035,product_brand_00000000007,FU150SCD NEW GRAPHICS,271
product_model_00000000036,00000000036,product_brand_00000000002,CT100 NEW,A007
product_model_00000000037,00000000037,product_brand_00000000004,BC175B9F BC175-BNEW W/CO,103
product_model_00000000038,00000000038,product_brand_00000000003,ANF125 MWHF WAVE125,B001
product_model_00000000039,00000000039,product_brand_00000000007,FU150R-SCD(NEW) RAIDER 150,F022
product_model_00000000040,00000000040,product_brand_00000000004,BC175G ELEC. START,278
product_model_00000000041,00000000041,product_brand_00000000008,SNIPER MX                ,256
product_model_00000000042,00000000042,product_brand_00000000003,XR200L ,B044
product_model_00000000043,00000000043,product_brand_00000000004,HDIII CDI,C012
product_model_00000000044,00000000044,product_brand_00000000007,FU150TCD RAIDER R NEW DECALS,254
product_model_00000000045,00000000045,product_brand_00000000007,FJ110 RAIDER JUNIOR,F018
product_model_00000000046,00000000046,product_brand_00000000003,ANF100MSPW DISC BRAKE,B053
product_model_00000000047,00000000047,product_brand_00000000002,DISCOVER100 4G           ,171
product_model_00000000048,00000000048,product_brand_00000000008,SNIPER T135 H/C,185
product_model_00000000049,00000000049,product_brand_00000000007,FJ110SC (AUTOMATIC) RAIDER J110 NEW MAGS,250
product_model_00000000050,00000000050,product_brand_00000000004,KLX150D D-TRACKER,259
product_model_00000000051,00000000051,product_brand_00000000003,ACC110CSC BEAT NEW,264
product_model_00000000052,00000000052,product_brand_00000000003,ANF100MDPH ,B047
product_model_00000000053,00000000053,product_brand_00000000007,FV110LA SHOOTER 115 FI,285
product_model_00000000054,00000000054,product_brand_00000000003,AFS100MDB WAVE100 NEW DRUM,251
product_model_00000000055,00000000055,product_brand_00000000004,BC175A9F BC175-ANEW W/CO,102
product_model_00000000056,00000000056,product_brand_00000000003,XRM125,B051
product_model_00000000057,00000000057,product_brand_00000000002,ROUSER 135               ,243
product_model_00000000058,00000000058,product_brand_00000000007,GD110HU                  ,260
product_model_00000000059,00000000059,product_brand_00000000004,KLX150                   ,249
product_model_00000000060,00000000060,product_brand_00000000007,FU150R-SCD(NEW) RAIDER 150,157
product_model_00000000061,00000000061,product_brand_00000000003,XRM125 DUAL SPORTS NEW CFT125 MA (MSE),288
product_model_00000000062,00000000062,product_brand_00000000007,FU150SCDZ2 (NOT) RAIDER 150,296
product_model_00000000063,00000000063,product_brand_00000000007,EN125A THUNDER 125,169
product_model_00000000064,00000000064,product_brand_00000000003,TMX155ST ,B033
product_model_00000000065,00000000065,product_brand_00000000003,XRM125 MOTARD NEW CFT125 (MRCE),286
product_model_00000000066,00000000066,product_brand_00000000007,FV110LE SHOOTER 115 FI,284
product_model_00000000067,00000000067,product_brand_00000000003,ANF100MSPH ,B049
product_model_00000000068,00000000068,product_brand_00000000007,FJ110 LB RAIDER J 115 FI,290
product_model_00000000069,00000000069,product_brand_00000000007,FW110D SMASH110 (SPOKE),248
product_model_00000000070,00000000070,product_brand_00000000003,XRM125(MOTARD) CFT125MRCA,231
product_model_00000000071,00000000071,product_brand_00000000003,ANF100MDPJ WAVE100,B062
product_model_00000000072,00000000072,product_brand_00000000003,AFS100MSB WAVE100 NEW DISC,255
product_model_00000000073,00000000073,product_brand_00000000003,CGX125 (SHMD) ELECTRIC,281
product_model_00000000074,00000000074,product_brand_00000000007,UW125FSC HAYATE125       ,279
product_model_00000000075,00000000075,product_brand_00000000004,BC175F                   ,275
product_model_00000000076,00000000076,product_brand_00000000002,ROUSER 180               ,289
product_model_00000000077,00000000077,product_brand_00000000003,CRF250 LD                ,276
product_model_00000000078,00000000078,product_brand_00000000003,XR125L                   ,280
product_model_00000000079,00000000079,product_brand_00000000007,FU150SCDZ2 RAIDER 150,299
product_model_00000000080,00000000080,product_brand_00000000004,FURY 125 AX125A,C030
product_model_00000000081,00000000081,product_brand_00000000003,ANP100MDP BRAVO_X,B050
product_model_00000000082,00000000082,product_brand_00000000007,FU150SCD2 RAIDER R 150,291
product_model_00000000083,00000000083,product_brand_00000000003,TMX SUPREMO              ,272
product_model_00000000084,00000000084,product_brand_00000000003,XRM110J ,B034
product_model_00000000085,00000000085,product_brand_00000000002,ROUSER 220,245
product_model_00000000086,00000000086,product_brand_00000000004,HDIII N1 CDI NEW,C014
product_model_00000000087,00000000087,product_brand_00000000003,DASH110 AFP110CSA,226
product_model_00000000088,00000000088,product_brand_00000000007,FJ110CMD RAIDER J PRO,167
product_model_00000000089,00000000089,product_brand_00000000008,AL115C MIO SPORTYS,192
product_model_00000000090,00000000090,product_brand_00000000004,FURY 125 AX125A,101
product_model_00000000091,00000000091,product_brand_00000000006,SG125-8A WIZARD,135
product_model_00000000092,00000000092,product_brand_00000000003,XRM125 RS(NEW DECALS) ZN125 MB,252
product_model_00000000093,00000000093,product_brand_00000000003,ANF100MSPJ WAVE100R,B063
product_model_00000000094,00000000094,product_brand_00000000003,XR200M ,B040
product_model_00000000095,00000000095,product_brand_00000000003,ACC110CSB BEAT110-NEW,237
product_model_00000000096,00000000096,product_brand_00000000008,STX YD125T (NEW)         ,247
product_model_00000000097,00000000097,product_brand_00000000003,ACD110CSC SCOOPY 110,258
product_model_00000000098,00000000098,product_brand_00000000007,FK110D SMASH REVO(NEW),F029
product_model_00000000099,00000000099,product_brand_00000000003,AFS110MCDE MAGS WAVE100 ALPHA,297
product_model_00000000100,00000000100,product_brand_00000000004,BC175A9F BC175-ANEW W/CO,C031
product_model_00000000101,00000000101,product_brand_00000000007,FW110SCD SMASH110 (MAGS),265
product_model_00000000102,00000000102,product_brand_00000000004,BC175A-NEW W/CO BARAKO -KS,C025
product_model_00000000103,00000000103,product_brand_00000000007,FK110D SMASH REVO(NEW),164
product_model_00000000104,00000000104,product_brand_00000000007,FJ110 LE RAIDER J 115 FI,300
product_model_00000000105,00000000105,product_brand_00000000007,FJ110-NEW RAIDER J,168
product_model_00000000106,00000000106,product_brand_00000000007,UK125TSC SKY DRIVE 125,261
product_model_00000000107,00000000107,product_brand_00000000007,FW110SC SMASH 110(MAGS),242
product_model_00000000108,00000000108,product_brand_00000000003,ANF125MSP ,B037
product_model_00000000109,00000000109,product_brand_00000000003,XRM110MT ,B024
product_model_00000000110,00000000110,product_brand_00000000007,FK110 SMASH REVOLUTIO,F021
product_model_00000000111,00000000111,product_brand_00000000007,PICK-UP,143
product_model_00000000112,00000000112,product_brand_00000000007,GS125T MOLA125,161
product_model_00000000113,00000000113,product_brand_00000000007,FU150SCDZ RAIDER 150,282
product_model_00000000114,00000000114,product_brand_00000000007,X4 ,F001
product_model_00000000115,00000000115,product_brand_00000000007,FL125SD SHOGUN R,165
product_model_00000000116,00000000116,product_brand_00000000007,EN125 (THUNDER) NEW DECS,269
product_model_00000000117,00000000117,product_brand_00000000007,FW110TD SMASH110,257
product_model_00000000118,00000000118,product_brand_00000000008,CRYPTON-Z T110SE,G021
product_model_00000000119,00000000119,product_brand_00000000004,BC175A BARAKO KS,C020
product_model_00000000120,00000000120,product_brand_00000000009,TEMP TEMPORARY,H001
product_model_00000000121,00000000121,product_brand_00000000007,FL125RCMD SHOGUN PRO,166
product_model_00000000122,00000000122,product_brand_00000000003,TMX155T NEW VERSION,B018
product_model_00000000123,00000000123,product_brand_00000000007,JITNEY,144
product_model_00000000124,00000000124,product_brand_00000000004,FURY 125B,229
product_model_00000000125,00000000125,product_brand_00000000003,ACD110CSC                ,258
product_model_00000000126,00000000126,product_brand_00000000003,AFS110MCDE MAGS          ,297
product_model_00000000127,00000000127,product_brand_00000000003,SPORTS BIKE,240
product_model_00000000128,00000000128,product_brand_00000000003,XRM125 OFFROAD NEW       ,287
product_model_00000000129,00000000129,product_brand_00000000003,XRM125(OFFROAD)          ,232
product_model_00000000130,00000000130,product_brand_00000000003,AFS125MSB                ,253
product_model_00000000131,00000000131,product_brand_00000000007,FW110SCD                 ,265
product_model_00000000132,00000000132,product_brand_00000000002,BOXER150                 ,246
product_model_00000000133,00000000133,product_brand_00000000007,FU150R-SCD (NEW DECALS),241
product_model_00000000134,00000000134,product_brand_00000000004,BC175B9F                 ,103
product_model_00000000135,00000000135,product_brand_00000000004,KLX150D                  ,259
product_model_00000000136,00000000136,product_brand_00000000007,FU150R-SCD(NEW),157
product_model_00000000137,00000000137,product_brand_00000000007,FK110D,164
product_model_00000000138,00000000138,product_brand_00000000007,FV110LE                  ,284
product_model_00000000139,00000000139,product_brand_00000000003,XRM125(MOTARD)           ,231
product_model_00000000140,00000000140,product_brand_00000000003,AFS100MSB                ,255
product_model_00000000141,00000000141,product_brand_00000000007,FJ110 LE                 ,300
product_model_00000000142,00000000142,product_brand_00000000007,FJ110-NEW                ,168
product_model_00000000143,00000000143,product_brand_00000000007,FU150SCDZ2               ,299
product_model_00000000144,00000000144,product_brand_00000000007,FU150SCD2                ,291
product_model_00000000145,00000000145,product_brand_00000000003,DASH110,226
product_model_00000000146,00000000146,product_brand_00000000007,UK125TSC                 ,261
product_model_00000000147,00000000147,product_brand_00000000007,FW110SC,242
product_model_00000000148,00000000148,product_brand_00000000004,FURY 125,101
product_model_00000000149,00000000149,product_brand_00000000003,XRM125 RS(NEW DECALS)    ,252
product_model_00000000150,00000000150,product_brand_00000000003,ACC110CSB                ,237
product_model_00000000151,00000000151,product_brand_00000000003,CGX125(SHD3)             ,283
product_model_00000000152,00000000152,product_brand_00000000008,T115LSE,193
product_model_00000000153,00000000153,product_brand_00000000007,UD110EE                  ,263
product_model_00000000154,00000000154,product_brand_00000000003,XRM                      ,228
product_model_00000000155,00000000155,product_brand_00000000007,FU150SCD                 ,271
product_model_00000000156,00000000156,product_brand_00000000004,BC175G                   ,278
product_model_00000000157,00000000157,product_brand_00000000007,FU150TCD                 ,254
product_model_00000000158,00000000158,product_brand_00000000008,SNIPER T135,185
product_model_00000000159,00000000159,product_brand_00000000007,FJ110 (AUTOMATIC)        ,250
product_model_00000000160,00000000160,product_brand_00000000003,ACC110CSC                ,264
product_model_00000000161,00000000161,product_brand_00000000007,FV110LA                  ,285
product_model_00000000162,00000000162,product_brand_00000000003,AFS100MDB                ,251
product_model_00000000163,00000000163,product_brand_00000000004,BC175A9F                 ,102
product_model_00000000164,00000000164,product_brand_00000000007,GS125T                   ,161
product_model_00000000165,00000000165,product_brand_00000000003,XRM125 DUAL SPORTS NEW   ,288
product_model_00000000166,00000000166,product_brand_00000000007,FU150SCDZ2 (NOT),296
product_model_00000000167,00000000167,product_brand_00000000007,EN125A                   ,169
product_model_00000000168,00000000168,product_brand_00000000003,XRM125 MOTARD NEW        ,286
product_model_00000000169,00000000169,product_brand_00000000007,FJ110 LB                 ,290
product_model_00000000170,00000000170,product_brand_00000000007,FW110D                   ,248
product_model_00000000171,00000000171,product_brand_00000000007,FU150SCDZ,282
product_model_00000000172,00000000172,product_brand_00000000007,FL125SD,165
product_model_00000000173,00000000173,product_brand_00000000003,CGX125                   ,281
product_model_00000000174,00000000174,product_brand_00000000007,EN125 (THUNDER),269
product_model_00000000175,00000000175,product_brand_00000000007,FW110TD,257
product_model_00000000176,00000000176,product_brand_00000000007,FL125RCMD,166
product_model_00000000177,00000000177,product_brand_00000000007,FJ110CMD                 ,167
product_model_00000000178,00000000178,product_brand_00000000008,AL115C                   ,192
product_model_00000000179,00000000179,product_brand_00000000006,SG125-8A                 ,135
product_model_00000000180,00000000180,product_brand_00000000003,ANF125MSPA2-BLO,71
product_model_00000000181,00000000181,product_brand_00000000003,XRM125RS ZN125M9,B058
product_model_00000000182,00000000182,product_brand_00000000003,CBR150RB                 ,244
product_model_00000000183,00000000183,product_brand_00000000003,CBR150RC                 ,266
product_model_00000000184,00000000184,product_brand_00000000003,ANC110CBP9,67
product_model_00000000185,00000000185,product_brand_00000000003,ANF125MSPA WAVE125,B061
product_model_00000000186,00000000186,product_brand_00000000003,ACG110CSF,294
product_model_00000000186,00000000186,product_brand_00000000003,ACG110CSF ZOOMER X,
product_model_00000000187,00000000187,product_brand_00000000003,AFS110MDE SPOKE WAVE110 ALPHA,
product_model_00000000188,00000000188,product_brand_00000000003,CBR150RB SPORTS BIKE,
product_model_00000000189,00000000189,product_brand_00000000003,CBR150RC SPORTS BIKE,
product_model_00000000190,00000000190,product_brand_00000000003,XRM125RS ZN125M9,
product_model_00000000191,00000000191,product_brand_00000000003,ANC110CBP9 BEAT110,
product_model_00000000192,00000000192,product_brand_00000000003,ANF125MSPA2-BLO REPSOL,
product_model_00000000193,00000000193,product_brand_00000000003,ANF125MSPA WAVE125,
product_model_00000000194,00000000194,product_brand_00000000003,ANF125MSPJ,
product_model_00000000195,00000000195,product_brand_00000000003,ANP100MDP BRAVO-TYPE 2,
product_model_00000000196,00000000196,product_brand_00000000003,ANF100 WAVE 100 ALPHA,
product_model_00000000197,00000000197,product_brand_00000000005,MSX 125,
product_model_00000000199,00000000199,product_brand_00000000003,AFS110MCDE MAGS WAVE110 ALPHA,
product_model_00000000200,00000000200,product_brand_00000000008,FZ16,
product_model_00000000201,00000000201,product_brand_00000000008,MIO125 MXI,
product_model_00000000202,00000000202,product_brand_00000000008,T115SEC VEGA FORCE,
product_model_00000000203,00000000203,product_brand_00000000004,AN125D,
product_model_00000000204,00000000204,product_brand_00000000003,ANF125MWHF,
product_model_00000000205,00000000205,product_brand_00000000007,GS150 MOLA 150,
product_model_00000000207,00000000207,product_brand_00000000003,CB110 MSE (CB110) NEW MODEL,
product_model_00000000208,00000000208,product_brand_00000000003,ACC110CSF BEAT 110 CAST) NEW MODEL,
product_model_00000000209,00000000209,product_brand_00000000004,CURVE 115 ,
product_model_00000000210,00000000210,product_brand_00000000003,CBF110 MSE NEW MODEL,
product_model_00000000211,00000000211,product_brand_00000000008,1CV1/1CV3 MIO SOUL,
product_model_00000000212,00000000212,product_brand_00000000008,T115LSE VEGA ZR (DRUM),
product_model_00000000213,00000000213,product_brand_00000000004,DISCOVER 135,
product_model_00000000214,00000000214,product_brand_00000000007,CHOP-CHOP,
product_model_00000000215,00000000215,product_brand_00000000008,CRYPTON-S T105E,
product_model_00000000217,00000000217,product_brand_00000000003,ANF100MDPJ,
product_model_00000000218,00000000218,product_brand_00000000003,TMX155T,
product_model_00000000220,00000000220,,,
product_model_00000000221,00000000221,product_brand_00000000016,,
product_model_00000000222,00000000222,product_brand_00000000003,ACG110CSFF ZOOMER,
product_model_00000000223,00000000223,product_brand_00000000003,ACG110CBFF ZOOMER NEW,
product_model_00000000224,00000000224,product_brand_00000000003,CCG125 WHF TMX125 ALPHA,
product_model_00000000225,00000000225,,,
product_model_00000000226,00000000226,product_brand_00000000004,KLX150E,
product_model_00000000227,00000000227,product_brand_00000000004,KLX150EEF,
product_model_00000000228,00000000228,product_brand_00000000011,VANNET LD20,
product_model_00000000230,00000000230,product_brand_00000000004,NEXUS125,
product_model_00000000231,00000000231,product_brand_00000000004,AX125EFF FURY 125 SPOKE,
product_model_00000000232,00000000232,product_brand_00000000004,AX125FFF FURY 125 MAGS,
product_model_00000000234,00000000234,product_brand_00000000003,CLICK125i,
product_model_00000000235,00000000235,product_brand_00000000002,ROUSER 200NS,
product_model_00000000236,00000000236,product_brand_00000000006,SG125-14-HERO,
product_model_00000000237,00000000237,product_brand_00000000003,BRAVO,
product_model_00000000238,00000000238,product_brand_00000000007,FU150DX2 RAIDER150 (LIMITED),
product_model_00000000239,00000000239,product_brand_00000000003,TMXS2G (SUPREMO NEW),
product_model_00000000240,00000000240,product_brand_00000000003,ACH110CSFF BEAT FI,
product_model_00000000241,00000000241,product_brand_00000000003,ACH110CBTF BEAT FI,
product_model_00000000242,00000000242,product_brand_00000000003,XR150LEKE ( XR150L ),
product_model_00000000244,00000000244,product_brand_00000000007,UK110NE ADDRESS,
product_model_00000000246,00000000246,product_brand_00000000007,UK110NZ ADDRESS,
product_model_00000000247,00000000247,product_brand_00000000007,UK110NX ADDRESS,
product_model_00000000248,00000000248,product_brand_00000000007,GSX150DEA GIXXER,
product_model_00000000249,00000000249,product_brand_00000000007,GA150DA AX4,
