id,old_barcode,name,part_no,model_name,categ_id/id,group_id/id,type,standard_price,sale_ok,available_in_pos,list_price
product_template_1,000764,ADAPTORTUBE ZEFAL/BRONZE,,MCKY,product_category_sp,subgroup_1972,product,10.00,TRUE,TRUE,15.00
product_template_2,002976,ADAPTORDISC BRAKE FRT ALLOY (160MM),,CRB,product_category_sp,subgroup_1972,product,50.00,TRUE,TRUE,73.00
product_template_3,002977,ADAPTORDISC BRAKE RR ALLOY (160MM),,CRB,product_category_sp,subgroup_1972,product,50.00,TRUE,TRUE,73.00
product_template_4,002988,ADAPTORDISC BRAKE RR 160MM FRT160,XBA-02,MCC,product_category_sp,subgroup_1972,product,141.12,TRUE,TRUE,205.00
product_template_5,003030,ADAPTORDISC BRAKE FRT 160MM FRT180,XBA-01,MCC,product_category_sp,subgroup_1972,product,141.12,TRUE,TRUE,206.00
product_template_6,003031,ADAPTORDISC BRAKE FRT 180MM RR180,XBA-03,MCC,product_category_sp,subgroup_1972,product,141.12,TRUE,TRUE,205.00
product_template_7,003032,ADAPTORDISC BRAKE RR 180MM,XBA-04,MCC,product_category_sp,subgroup_1972,product,156.24,TRUE,TRUE,230.00
product_template_8,003124,ADAPTORPM-IS F180,,NVH,product_category_sp,subgroup_1972,product,140.00,TRUE,TRUE,205.00
product_template_9,003125,ADAPTORPM-IS F203 ALLOY,,NVH,product_category_sp,subgroup_1972,product,140.00,TRUE,TRUE,205.00
product_template_10,003404,ADAPTORUNIT BOTTOM BRACKET,SM-BB70,CMT,product_category_sp,subgroup_1972,product,498.00,TRUE,TRUE,670.00
product_template_11,003592,ADAPTORBOTTOM BRACKET,SM-BB51,TRK,product_category_sp,subgroup_1972,product,500.00,TRUE,TRUE,710.00
product_template_12,003813,ADAPTORMOUNT FRONT 180MM FOR D-BRAKE,SM-MA-F180,CMT,product_category_sp,subgroup_1972,product,145.00,TRUE,TRUE,203.00
product_template_13,003814,ADAPTORMOUNT REAR 203MM,ISMMAR203PSA,,product_category_sp,subgroup_1972,product,124.00,TRUE,TRUE,175.00
product_template_14,003815,ADAPTORMOUNT REAR 180MM FOR D-BRAKE,SM-MA-R180,CMT,product_category_sp,subgroup_1972,product,124.00,TRUE,TRUE,175.00
product_template_15,003174,AIR shockPUMP,,BRU,product_category_sp,subgroup_1973,product,720.00,TRUE,TRUE,1000.00
product_template_16,000323,HANDLE BAREND ALLOY SHORT,,,product_category_sp,subgroup_1974,product,,TRUE,TRUE,500.00
product_template_17,000324,HANDLE BAREND ALLOY CC-169 BLK,,,product_category_sp,subgroup_1974,product,120.00,TRUE,TRUE,180.00
product_template_18,000325,HANDLE BAREND ALLOY SHORTY FOX,,PBC,product_category_sp,subgroup_1974,product,128.00,TRUE,TRUE,186.00
product_template_19,000326,HANDLE BAREND ALLOY LONG,,,product_category_sp,subgroup_1974,product,430.00,TRUE,TRUE,570.00
product_template_20,000327,BAR END ALLOYADJUSTABLE,,CRB,product_category_sp,subgroup_1974,product,85.00,TRUE,TRUE,128.00
product_template_21,001084,HANDLE BAREND ALLOY ASSTD COLOR,,,product_category_sp,subgroup_1974,product,100.00,TRUE,TRUE,160.00
product_template_22,001085,HANDLE BAREND ALLOY ASSTD COLOR,,,product_category_sp,subgroup_1974,product,135.00,TRUE,TRUE,200.00
product_template_23,001644,HANDLE BAR ENDALLOY ASSTD,XBE-01,MCC,product_category_sp,subgroup_1974,product,655.20,TRUE,TRUE,952.00
product_template_24,001772,HANDLE BAREND VOXOM ALLOY (DUAL ADJ),,,product_category_sp,subgroup_1974,product,158.00,TRUE,TRUE,230.00
product_template_25,001802,HANDLE BAREND SHORT ALLOY,,HCC,product_category_sp,subgroup_1974,product,360.00,TRUE,TRUE,520.00
product_template_26,002238,BAR END ALLOYBIG TUBE,,CRB,product_category_sp,subgroup_1974,product,130.00,TRUE,TRUE,189.00
product_template_27,002304,BAR END ALLOYIBIS,,HCC,product_category_sp,subgroup_1974,product,220.00,TRUE,TRUE,308.00
product_template_28,003035,BAR END ALLOYASSTD 6061,BEAL112,A&G,product_category_sp,subgroup_1974,product,423.22,TRUE,TRUE,615.00
product_template_29,003207,HANDLE BAR ENDL:92MM CARBON,BE1168 CAL,COMET,product_category_sp,subgroup_1974,product,1053.00,TRUE,TRUE,1500.00
product_template_30,003266,HANDLE BAR ENDALLOY 76MM BLK,BE-1147-3,COMET,product_category_sp,subgroup_1974,product,423.00,TRUE,TRUE,617.00
product_template_31,003267,HANDLE BAR ENDALLOY 76MM WHT,BE1147.3,COMET,product_category_sp,subgroup_1974,product,508.50,TRUE,TRUE,737.00
product_template_32,003268,HANDLE BAR ENDALLOY 100MM BLK,BE-1165 HOTROD-6,COMET,product_category_sp,subgroup_1974,product,558.00,TRUE,TRUE,805.00
product_template_33,003269,HANDLE BAR ENDALLOY 100MM WHT,BE1165 HOTROD6,COMET,product_category_sp,subgroup_1974,product,675.00,TRUE,TRUE,970.00
product_template_34,003530,BAR END ALLOYFLAT ASSTD,,MCKY,product_category_sp,subgroup_1974,product,115.00,TRUE,TRUE,165.00
product_template_35,001570,"BELLDINGDONG ALLOY, SMALL",,,product_category_sp,subgroup_1975,product,28.00,TRUE,TRUE,45.00
product_template_36,002583,BELLALLOY,DDB01-Q76-001,HCC,product_category_sp,subgroup_1975,product,38.00,TRUE,TRUE,57.00
product_template_37,003152,BELLALLOY,,B. LIONG,product_category_sp,subgroup_1975,product,210.00,TRUE,TRUE,275.00
product_template_38,003297,WIND BELLLPB-1000 ASSTD,,CMT,product_category_sp,subgroup_1975,product,129.00,TRUE,TRUE,202.00
product_template_39,000874,ADJUSTERBRAKE LEVER ALLOY,,,product_category_sp,subgroup_1976,product,3.40,TRUE,TRUE,7.00
product_template_40,000134,ADJUSTERCABLE CP,,,product_category_sp,subgroup_1977,product,1.80,TRUE,TRUE,6.00
product_template_41,000896,CABLE ENDALLOY ASSTD COLOR,,BRU/HCC,product_category_sp,subgroup_1978,product,2.00,TRUE,TRUE,4.00
product_template_42,000138,PLASTIC STRAPWHITE,,,product_category_sp,subgroup_1979,product,,TRUE,TRUE,5.00
product_template_43,001373,PLASTIC STRAPNYLON,,,product_category_sp,subgroup_1979,product,0.85,TRUE,TRUE,5.00
product_template_44,003181,PLASTIC STRAP/NYLON CABLE TIE 4 IN 1 COLOR,,COMMON,product_category_sp,subgroup_1979,product,30.00,TRUE,TRUE,45.00
product_template_45,003182,PLASTIC STRAP/NYLON CABLE TIE 3 IN 1 COLOR,,COMMON,product_category_sp,subgroup_1979,product,20.00,TRUE,TRUE,30.00
product_template_46,000136,CAPCABLE ALLOY BIG,,,product_category_sp,subgroup_1980,product,1.00,TRUE,TRUE,3.50
product_template_47,000137,CAPCABLE SMALL,,,product_category_sp,subgroup_1980,product,,TRUE,TRUE,1.00
product_template_48,000244,"CAPDUST, L & R/H",,,product_category_sp,subgroup_1980,product,,TRUE,TRUE,28.00
product_template_49,000245,"CAPDUST, R/H",,,product_category_sp,subgroup_1980,product,,TRUE,TRUE,35.00
product_template_50,000246,"CAPDUST, R/H",,,product_category_sp,subgroup_1980,product,,TRUE,TRUE,35.00
product_template_51,000820,"T-BOLTONLY, BRAKE CALIPER",,,product_category_sp,subgroup_1980,product,4.00,TRUE,TRUE,8.00
product_template_52,000821,VALVE CAPALLOY,,,product_category_sp,subgroup_1980,product,,TRUE,TRUE,7.50
product_template_53,000822,VALVE CAPSTEEL,,,product_category_sp,subgroup_1980,product,,TRUE,TRUE,5.50
product_template_54,001494,"CAPAXLE, CRANK ET W/ RING",,,product_category_sp,subgroup_1980,product,25.00,TRUE,TRUE,40.00
product_template_55,002274,CAPHUB CART 6203,,,product_category_sp,subgroup_1980,product,150.00,TRUE,TRUE,220.00
product_template_56,002904,CABLEOUTER CASING CAP #23,,HCC,product_category_sp,subgroup_1980,product,36.00,TRUE,TRUE,53.00
product_template_57,002905,CABLEOUTER CASING #22,,HCC,product_category_sp,subgroup_1980,product,26.00,TRUE,TRUE,38.00
product_template_58,000140,CARRIER#20 CP,,HCC,product_category_sp,subgroup_1981,product,92.00,TRUE,TRUE,138.00
product_template_59,000141,CARRIERMTB ALLOYV FOR SEAT POST,,CRB,product_category_sp,subgroup_1981,product,750.00,TRUE,TRUE,1090.00
product_template_60,002093,CARRIER#26 BLK,,,product_category_sp,subgroup_1981,product,,TRUE,TRUE,140.00
product_template_61,003566,CARRIERSET BIKE CAR,YT85643-3NC,TRK,product_category_sp,subgroup_1981,product,3500.00,TRUE,TRUE,5260.00
product_template_62,003567,CARRIERSET BIKE CAR TW,YT8048,TRK,product_category_sp,subgroup_1981,product,2500.00,TRUE,TRUE,3760.00
product_template_63,002909,CASINGROUND SILVER,,A47-R,product_category_sp,subgroup_1982,product,127.16,TRUE,TRUE,152.50
product_template_64,002931,CASINGSQAURE SILVER,A047-R,JIM,product_category_sp,subgroup_1982,product,152.60,TRUE,TRUE,183.50
product_template_65,003511,HOUSINGOUTER CASING FOR SET BLK SIS,,A&G,product_category_sp,subgroup_1982,product,24.37,TRUE,TRUE,35.00
product_template_66,003435,PROTECTORCHAIN STAY CARBON NEOPENE BLK,PRAC0001,CMT,product_category_sp,subgroup_1983,product,195.00,TRUE,TRUE,285.00
product_template_67,003790,STAYCHAIN XL BLK,,DRJ,product_category_sp,subgroup_1983,product,225.00,TRUE,TRUE,310.00
product_template_68,003743,CHAIN RINGSINGLE BLK BCD104,,SDBIC,product_category_sp,subgroup_1984,product,709.55,TRUE,TRUE,1140.00
product_template_69,003585,SEAT CLAMPALLOY ASSTD 34.9 QR S.PIN,,TRK,product_category_sp,subgroup_1985,product,150.00,TRUE,TRUE,220.00
product_template_70,003586,SEAT CLAMPALLOY 34.9 ALLEN TYPE,,TRK,product_category_sp,subgroup_1985,product,100.00,TRUE,TRUE,150.00
product_template_71,003587,SEAT CLAMPALLOY 31.8 QR S.PIN ASSTD,,TRK,product_category_sp,subgroup_1985,product,80.00,TRUE,TRUE,122.00
product_template_72,003407,CLEAT SETSM-SH10,,CMT,product_category_sp,subgroup_1986,product,366.00,TRUE,TRUE,515.00
product_template_73,003408,CLEAT SETSM-SH12,,CMT,product_category_sp,subgroup_1986,product,366.00,TRUE,TRUE,515.00
product_template_74,003409,CLEAT SETSM-SH56,,CMT,product_category_sp,subgroup_1986,product,294.00,TRUE,TRUE,415.00
product_template_75,003622,CLEAT SETRACER SELF ALIGNING,SM-SH11,AG,product_category_sp,subgroup_1987,product,513.00,TRUE,TRUE,720.00
product_template_76,003317,PHONE HOLDERHANDLE BAR CLIP RORATABLE,,FH,product_category_sp,subgroup_1988,product,393.42,TRUE,TRUE,590.00
product_template_77,000828,CLIPTOE,,,product_category_sp,subgroup_1989,product,48.00,TRUE,TRUE,80.00
product_template_78,002972,CYCLE TRAINERHD,,CRB,product_category_sp,subgroup_1990,product,1500.00,TRUE,TRUE,2200.00
product_template_79,003581,DISPLAY STANDFOR BIKE,,TRK,product_category_sp,subgroup_1991,product,400.00,TRUE,TRUE,610.00
product_template_80,001977,DUCK TAIL,,,product_category_sp,subgroup_1992,product,137.75,TRUE,TRUE,200.00
product_template_81,003356,FLOOR PUMPKOMPRESS AIR W/ GAUGE HD,G160,CMT,product_category_sp,subgroup_1993,product,1379.00,TRUE,TRUE,1952.00
product_template_82,003357,FLOOR PUMPPROPELAIR 160 SILVER,,CMT,product_category_sp,subgroup_1993,product,484.00,TRUE,TRUE,680.00
product_template_83,003358,FLOOR PUMPPROPELAIR W/ GAUGE RED G160,,CMT,product_category_sp,subgroup_1993,product,684.00,TRUE,TRUE,963.00
product_template_84,000247,FOOT PUMP1/2 CT RED,,PBC,product_category_sp,subgroup_1994,product,78.00,TRUE,TRUE,120.00
product_template_85,000248,ADAPTORFOOT PUMP CT HALF PLASTIC,,PBC,product_category_sp,subgroup_1994,product,7.50,TRUE,TRUE,12.00
product_template_86,000249,FOOT PUMPBETO,,,product_category_sp,subgroup_1994,product,,TRUE,TRUE,330.00
