"id","approval_rule_id:id","hr_job_id:id","amount","priority"
"approval_chain_1","approval_rule_petty cash fund replenishment_revolving fund","muti_hrms_data.14005",0,1
"approval_chain_2","approval_rule_petty cash fund replenishment_revolving fund","muti_hrms_data.1135",0,2
"approval_chain_3","approval_rule_petty cash fund replenishment_management fund","muti_hrms_data.6129",0,1
"approval_chain_4","approval_rule_petty cash fund replenishment_management fund","muti_hrms_data.11033",0,2
"approval_chain_5","approval_rule_petty cash fund replenishment_management fund","muti_hrms_data.6186",0,3
"approval_chain_6","approval_rule_advances for operation_management fund1","muti_treasury_data.hr_job_immediate superior",0,1
"approval_chain_7","approval_rule_advances for operation_management fund1","muti_hrms_data.11033",0,2
"approval_chain_8","approval_rule_advances for operation_management fund1","muti_hrms_data.6186",0,3
"approval_chain_9","approval_rule_advances for operation_pumgas head office","muti_hrms_data.6208",0,1
"approval_chain_10","approval_rule_advances for operation_pumgas head office","muti_hrms_data.1136",0,2
"approval_chain_11","approval_rule_petty cash fund replenishment_pumgas head office","muti_hrms_data.6208",0,1
"approval_chain_12","approval_rule_petty cash fund replenishment_pumgas head office","muti_hrms_data.1136",0,2
"approval_chain_13","approval_rule_fund transfer_pumgas head office","muti_hrms_data.6208",0,1
"approval_chain_14","approval_rule_fund transfer_pumgas head office","muti_hrms_data.1136",0,2
"approval_chain_15","approval_rule_13'th month_pumgas head office","muti_hrms_data.6208",0,1
"approval_chain_16","approval_rule_13'th month_pumgas head office","muti_hrms_data.1136",0,2
"approval_chain_17","approval_rule_13'th month_pumgas head office","muti_treasury_data.hr_job_comptroller",0,3
"approval_chain_18","approval_rule_loan payment_pumgas head office","muti_hrms_data.6208",0,1
"approval_chain_19","approval_rule_loan payment_pumgas head office","muti_hrms_data.1136",0,2
"approval_chain_20","approval_rule_loan payment_pumgas head office","muti_hrms_data.1043",0,3
"approval_chain_21","approval_rule_employees incentives_pumgas head office","muti_hrms_data.6208",0,1
"approval_chain_22","approval_rule_employees incentives_pumgas head office","muti_hrms_data.1136",0,2
"approval_chain_23","approval_rule_employees incentives_pumgas head office","muti_hrms_data.1043",0,3
"approval_chain_24","approval_rule_payables_pumgas head office","muti_hrms_data.6208",0,1
"approval_chain_25","approval_rule_payables_pumgas head office","muti_hrms_data.1136",0,2
"approval_chain_26","approval_rule_salaries and wages_pumgas head office","muti_hrms_data.6208",0,1
"approval_chain_27","approval_rule_salaries and wages_pumgas head office","muti_hrms_data.1136",0,2
"approval_chain_28","approval_rule_salaries and wages_pumgas head office","muti_treasury_data.hr_job_comptroller",0,3
"approval_chain_29","approval_rule_advances for operation_management fund2","muti_treasury_data.hr_job_immediate superior",0,1
"approval_chain_30","approval_rule_advances for operation_management fund2","muti_treasury_data.hr_job_group manager",0,2
"approval_chain_31","approval_rule_advances for operation_management fund2","muti_hrms_data.11033",0,3
"approval_chain_32","approval_rule_advances for operation_management fund2","muti_hrms_data.6186",0,4
"approval_chain_33","approval_rule_separation fee_pumgas head office","muti_hrms_data.6208",0,1
"approval_chain_34","approval_rule_separation fee_pumgas head office","muti_hrms_data.1136",0,2
"approval_chain_35","approval_rule_separation fee_pumgas head office","muti_treasury_data.hr_job_comptroller",0,3
"approval_chain_36","approval_rule_statutory expenses_pumgas head office","muti_hrms_data.6208",0,1
"approval_chain_37","approval_rule_statutory expenses_pumgas head office","muti_hrms_data.1136",0,2
"approval_chain_38","approval_rule_statutory expenses_pumgas head office","muti_treasury_data.hr_job_comptroller",0,3
"approval_chain_39","approval_rule_purchase ( capex )_pumgas head office","muti_hrms_data.6208",0,1
"approval_chain_40","approval_rule_purchase ( capex )_pumgas head office","muti_hrms_data.1136",0,2
"approval_chain_41","approval_rule_purchase ( capex )_pumgas head office","muti_hrms_data.1043",0,3
"approval_chain_42","approval_rule_purchase ( capex it-equipment )_pumgas head office","muti_hrms_data.6208",0,1
"approval_chain_43","approval_rule_purchase ( capex it-equipment )_pumgas head office","muti_hrms_data.1136",0,2
"approval_chain_44","approval_rule_purchase ( capex it-equipment )_pumgas head office","muti_hrms_data.6222",0,3
"approval_chain_45","approval_rule_purchase ( capex it-equipment )_pumgas head office","muti_hrms_data.1043",0,4
"approval_chain_46","approval_rule_purchases ( supplies )_pumgas head office","muti_hrms_data.6208",0,1
"approval_chain_47","approval_rule_purchases ( supplies )_pumgas head office","muti_hrms_data.1136",0,2
"approval_chain_48","approval_rule_purchase - trade inventory (gas and oil)_pumgas head office","muti_hrms_data.6208",0,1
"approval_chain_49","approval_rule_purchase - trade inventory (gas and oil)_pumgas head office","muti_hrms_data.1136",0,2
"approval_chain_50","approval_rule_purchase - trade inventory (nest)_pumgas head office","muti_hrms_data.6208",0,1
"approval_chain_51","approval_rule_purchase - trade inventory (nest)_pumgas head office","muti_hrms_data.1136",0,2
"approval_chain_52","approval_rule_repairs and maintenance_pumgas head office","muti_hrms_data.6208",0,1
"approval_chain_53","approval_rule_repairs and maintenance_pumgas head office","muti_hrms_data.1136",0,2
"approval_chain_54","approval_rule_purchase ( capex )_management fund1","muti_treasury_data.hr_job_immediate superior",0,1
"approval_chain_55","approval_rule_purchase ( capex )_management fund1","muti_hrms_data.6222",0,2
"approval_chain_56","approval_rule_purchase ( capex )_management fund1","muti_hrms_data.11033",0,3
"approval_chain_57","approval_rule_purchase ( capex )_management fund1","muti_hrms_data.6186",0,4
"approval_chain_58","approval_rule_purchase ( capex )_management fund2","muti_treasury_data.hr_job_immediate superior",0,1
"approval_chain_59","approval_rule_purchase ( capex )_management fund2","muti_treasury_data.hr_job_group manager",0,2
"approval_chain_60","approval_rule_purchase ( capex )_management fund2","muti_hrms_data.11033",0,3
"approval_chain_61","approval_rule_purchase ( capex )_management fund2","muti_hrms_data.6186",0,4
