id,name,active,department_level_id:id,request_categ_id:id,department_id:id,approval_rule_ids:id
config_approval_cashasi,CASHASI,t,config_level_asi,request_categ_cash,,"approval_rule_advances to sister company_management fund"
config_approval_cashbrdc head office,CASHBRDC Head Office,t,config_level_brdc head office,request_categ_cash,,,
config_approval_cashepfc branch,CASHEPFC Branch,t,config_level_epfc branch,request_categ_cash,,"approval_rule_advances for operation_revolving fund,approval_rule_petty cash fund replenishment_revolving fund,approval_rule_unit registration fund_revolving fund"
config_approval_cashepfc head officefinance,CASHEPFC Head OfficeFINANCE,t,config_level_epfc head office,request_categ_cash,muti_hrms_data.6000019,approval_rule_advances for operation_petty cash fund (h)
config_approval_cashepfc head officeoperations group,CASHEPFC Head OfficeOPERATIONS GROUP,t,config_level_epfc head office,request_categ_cash,muti_hrms_data.6000060,approval_rule_advances for operation_petty cash fund (h)
config_approval_cashhlrdc head office,CASHHLRDC Head Office,t,config_level_hlrdc head office,request_categ_cash,,
config_approval_cashhsi branch,CASHHSI BRANCH,t,config_level_hsi branch,request_categ_cash,,"approval_rule_petty cash fund replenishment_revolving fund,approval_rule_advances for operation_revolving fund,approval_rule_unit registration fund_revolving fund"
config_approval_cashhsi head office,CASHHSI HEAD OFFICE,t,config_level_hsi head office,request_categ_cash,,approval_rule_advances for operation_petty cash fund (h)
config_approval_cashmsg,CASHMSG,t,config_level_msg,request_categ_cash,,"approval_rule_advances for operation_muti head office (m),approval_rule_advances for operation_hsi head office (m),approval_rule_petty cash fund replenishment_management fund,approval_rule_advances for operation_management fund2,approval_rule_advances for operation_petty cash fund (h)"
config_approval_cashmsgmis,CASHMSGMIS,t,config_level_msg,request_categ_cash,muti_hrms_data.6000030,"approval_rule_advances for operation_petty cash fund (h),approval_rule_advances for operation_management fund1"
config_approval_cashmuti branch,CASHMUTI Branch,t,config_level_muti branch,request_categ_cash,,"approval_rule_advances for operation_revolving fund,approval_rule_special fund - unit registration_muti head office,approval_rule_petty cash fund replenishment_revolving fund,approval_rule_unit registration fund_revolving fund"
config_approval_cashmuti head officefinance,CASHMUTI Head OfficeFINANCE,t,config_level_muti head office,request_categ_cash,muti_hrms_data.1000016,"approval_rule_advances for operation_muti head office,approval_rule_fund transfer_muti head office,approval_rule_petty cash fund replenishment_muti head office,approval_rule_advances for operation_petty cash fund (h)"
config_approval_cashmuti head officeoperations group,CASHMUTI Head OfficeOPERATIONS GROUP,t,config_level_muti head office,request_categ_cash,muti_hrms_data.1000045,"approval_rule_advances for operation_petty cash fund (h),approval_rule_advances for operation_muti head office"
config_approval_cashpumgas head office,CASHPUMGAS Head Office,t,config_level_pumgas head office,request_categ_cash,,"approval_rule_petty cash fund replenishment_pumgas head office,approval_rule_fund transfer_pumgas head office,approval_rule_advances for operation_pumgas head office"
config_approval_othersepfc branch,OTHERSEPFC Branch,t,config_level_epfc branch,request_categ_others,,
config_approval_othershsi branch,OTHERSHSI BRANCH,t,config_level_hsi branch,request_categ_others,,
config_approval_othersmuti branch,OTHERSMUTI Branch,t,config_level_muti branch,request_categ_others,,"approval_rule_trade inventory - mc units_muti head office,approval_rule_trade inventory - spare parts_muti head office,approval_rule_accountable forms_muti head office"
config_approval_otherspumgas head office,OTHERSPUMGAS Head Office,t,config_level_pumgas head office,request_categ_others,,
config_approval_paymentasi,PAYMENTASI,t,config_level_asi,request_categ_payment,,
config_approval_paymentbrdc head office,PAYMENTBRDC Head Office,t,config_level_brdc head office,request_categ_payment,,
config_approval_paymentepfc branch,PAYMENTEPFC Branch,t,config_level_epfc branch,request_categ_payment,,"approval_rule_payables_revolving fund,approval_rule_rental_revolving fund,approval_rule_retainer's fee_revolving fund"
config_approval_paymentepfc head officefinance,PAYMENTEPFC Head OfficeFINANCE,t,config_level_epfc head office,request_categ_payment,muti_hrms_data.6000019,
config_approval_paymenthlrdc head office,PAYMENTHLRDC Head Office,t,config_level_hlrdc head office,request_categ_payment,,
config_approval_paymenthsi branch,PAYMENTHSI BRANCH,t,config_level_hsi branch,request_categ_payment,,"approval_rule_rental_revolving fund,approval_rule_retainer's fee_revolving fund,approval_rule_payables_revolving fund"
config_approval_paymenthsi head office,PAYMENTHSI HEAD OFFICE,t,config_level_hsi head office,request_categ_payment,,
config_approval_paymentmsg,PAYMENTMSG,t,config_level_msg,request_categ_payment,,approval_rule_dividend_management fund
config_approval_paymentmuti branch,PAYMENTMUTI Branch,t,config_level_muti branch,request_categ_payment,,"approval_rule_payables_revolving fund,approval_rule_rental_revolving fund,approval_rule_retainer's fee_revolving fund"
config_approval_paymentmuti head officefinance,PAYMENTMUTI Head OfficeFINANCE,t,config_level_muti head office,request_categ_payment,muti_hrms_data.1000016,"approval_rule_payables_muti head office,approval_rule_rental_muti head office,approval_rule_retainer's fee_muti head office,approval_rule_salaries and wages_muti head office,approval_rule_statutory expenses_muti head office,approval_rule_employees incentives_muti head office,approval_rule_13'th month_muti head office,approval_rule_separation fee_muti head office,approval_rule_loan payment_muti head office"
config_approval_paymentpumgas head office,PAYMENTPUMGAS Head Office,t,config_level_pumgas head office,request_categ_payment,,"approval_rule_statutory expenses_pumgas head office,approval_rule_employees incentives_pumgas head office,approval_rule_payables_pumgas head office,approval_rule_separation fee_pumgas head office,approval_rule_13'th month_pumgas head office,approval_rule_salaries and wages_pumgas head office,approval_rule_loan payment_pumgas head office"
config_approval_purchasebrdc head office,PURCHASEBRDC Head Office,t,config_level_brdc head office,request_categ_purchase,,
config_approval_purchaseepfc branch,PURCHASEEPFC Branch,t,config_level_epfc branch,request_categ_purchase,,approval_rule_purchases ( supplies )_revolving fund
config_approval_purchaseepfc head officefinance,PURCHASEEPFC Head OfficeFINANCE,t,config_level_epfc head office,request_categ_purchase,muti_hrms_data.6000019,
config_approval_purchaseepfc head officeoperations group,PURCHASEEPFC Head OfficeOPERATIONS GROUP,t,config_level_epfc head office,request_categ_purchase,muti_hrms_data.6000060,
config_approval_purchasehlrdc head office,PURCHASEHLRDC Head Office,t,config_level_hlrdc head office,request_categ_purchase,,
config_approval_purchasehsi branch,PURCHASEHSI BRANCH,t,config_level_hsi branch,request_categ_purchase,,approval_rule_purchases ( supplies )_revolving fund
config_approval_purchasehsi head office,PURCHASEHSI HEAD OFFICE,t,config_level_hsi head office,request_categ_purchase,,
config_approval_purchasemsg,PURCHASEMSG,t,config_level_msg,request_categ_purchase,,"approval_rule_purchase ( capex )_management fund2,approval_rule_purchase ( capex it-equipment )_management fund1,approval_rule_purchases ( supplies )_management fund1"
config_approval_purchasemsgmis,PURCHASEMSGMIS,t,config_level_msg,request_categ_purchase,muti_hrms_data.6000030,"approval_rule_purchases ( supplies )_management fund2,approval_rule_purchase ( capex it-equipment )_management fund2,approval_rule_purchase ( capex )_management fund1"
config_approval_purchasemuti branch,PURCHASEMUTI Branch,t,config_level_muti branch,request_categ_purchase,,"approval_rule_purchases ( supplies )_revolving fund,approval_rule_purchase ( capex it-equipment )_muti head office2,approval_rule_purchase ( capex )_muti head office1"
config_approval_purchasemuti head officefinance,PURCHASEMUTI Head OfficeFINANCE,t,config_level_muti head office,request_categ_purchase,muti_hrms_data.1000016,"approval_rule_purchase ( capex it-equipment )_muti head office1,approval_rule_purchases ( supplies )_muti head office,approval_rule_purchase ( capex )_muti head office2"
config_approval_purchasemuti head officeoperations group,PURCHASEMUTI Head OfficeOPERATIONS GROUP,t,config_level_muti head office,request_categ_purchase,muti_hrms_data.1000045,"approval_rule_purchases ( supplies )_muti head office,approval_rule_purchase - trade inventory (sp)_muti head office,approval_rule_purchase ( capex it-equipment )_muti head office1,approval_rule_purchase - trade inventory (mc)_muti head office,approval_rule_purchase ( capex )_muti head office2"
