"id","name","company_id:id","department_id:id","bu_code","area_id","dept_code"
"config_assigned_code_audit","AUDIT","muti_base.res_company_epfchomeofficeid","muti_hrms_data.6000013","10","1","01"
"config_assigned_code_comptrollership","COMPTROLLERSHIP","muti_base.res_company_epfchomeofficeid","muti_hrms_data.6000093","10","1","02"
"config_assigned_code_finance_epfc","FINANCE","muti_base.res_company_epfchomeofficeid","muti_hrms_data.6000019","10","1","92"
"config_assigned_code_corporate planning & market research development","CORPORATE PLANNING & MARKET RESEARCH DEVELOPMENT","muti_base.res_company_epfchomeofficeid","muti_hrms_data.6000066","10","1","03"
"config_assigned_code_human capital management","HUMAN CAPITAL MANAGEMENT","muti_base.res_company_epfchomeofficeid","muti_hrms_data.6000097","10","1","04"
"config_assigned_code_mis","MIS","muti_base.res_company_epfchomeofficeid","muti_hrms_data.6000030","10","1","06"
"config_assigned_code_marketing","MARKETING","muti_base.res_company_epfchomeofficeid","muti_hrms_data.6000035","10","1","09"
"config_assigned_code_materials management","MATERIALS MANAGEMENT","muti_base.res_company_epfchomeofficeid","muti_hrms_data.6000078","10","1","10"
"config_assigned_code_legal","LEGAL","muti_base.res_company_epfchomeofficeid","muti_hrms_data.6000042","10","1","11"
"config_assigned_code_internal control","INTERNAL CONTROL","muti_base.res_company_epfchomeofficeid","muti_hrms_data.6000090","10","1","13"
"config_assigned_code_marbel","MARBEL","muti_base.res_company_mutimainid","muti_hrms_data.1000040","15","1","01"
"config_assigned_code_finance_muti","FINANCE","muti_base.res_company_mutimainid","muti_hrms_data.1000016","15","1","02"
"config_assigned_code_koronadal_muti","KORONADAL","muti_base.res_company_mutimainid","muti_hrms_data.1000029","15","1","03"
"config_assigned_code_operations group_muti","OPERATIONS GROUP","muti_base.res_company_mutimainid","muti_hrms_data.1000045","15","1","04"
"config_assigned_code_polomolok","POLOMOLOK","muti_base.res_company_mutipolomolokid","muti_hrms_data.1000004","15","1","05"
"config_assigned_code_surallah","SURALLAH","muti_base.res_company_mutisurallahid","muti_hrms_data.1000102","15","1","06"
"config_assigned_code_tacurong","TACURONG","muti_base.res_company_mutitacid","muti_hrms_data.1000006","15","1","07"
"config_assigned_code_villa amor showroom - m","VILLA AMOR SHOWROOM - M","muti_base.res_company_mutivillaamorid","muti_hrms_data.1000109","15","1","08"
"config_assigned_code_isulan_muti","ISULAN","muti_base.res_company_mutiisulanid","muti_hrms_data.1000005","15","1","09"
