"id","dept_approver_id:id","user_id:id","hr_job:id"
"config_authority_user_1","config_department_approver_marbelmuti marbel","muti_users_data.res_users_m0047","muti_hrms_data.1135"
"config_authority_user_2","config_department_approver_marbelmuti marbel","muti_users_data.res_users_m0838","muti_hrms_data.1136"
"config_authority_user_4","config_department_approver_marbelmuti marbel","muti_users_data.res_users_m0047","muti_hrms_data.6141"
"config_authority_user_6","config_department_approver_marbelmuti marbel","muti_users_data.res_users_m1040","muti_hrms_data.6222"
"config_authority_user_7","config_department_approver_marbelmuti marbel","muti_users_data.res_users_m0326","muti_hrms_data.14005"
"config_authority_user_8","config_department_approver_marbelmuti marbel","muti_users_data.res_users_m0724","muti_hrms_data.11033"
"config_authority_user_49","config_department_approver_villa amor showroom - mmuti villa amor",,"muti_hrms_data.1135"
"config_authority_user_50","config_department_approver_villa amor showroom - mmuti villa amor",,"muti_hrms_data.1136"
"config_authority_user_52","config_department_approver_villa amor showroom - mmuti villa amor",,"muti_hrms_data.6141"
"config_authority_user_55","config_department_approver_villa amor showroom - mmuti villa amor",,"muti_hrms_data.14005"
"config_authority_user_3","config_department_approver_marbelmuti marbel","muti_users_data.res_users_m0950","muti_hrms_data.6005"
"config_authority_user_5","config_department_approver_marbelmuti marbel","muti_users_data.res_users_m0074","muti_hrms_data.6208"
"config_authority_user_9","config_department_approver_isulanmuti isulan","muti_users_data.res_users_m0144","muti_hrms_data.1135"
"config_authority_user_10","config_department_approver_isulanmuti isulan","muti_users_data.res_users_m0838","muti_hrms_data.1136"
"config_authority_user_11","config_department_approver_isulanmuti isulan","muti_users_data.res_users_m0950","muti_hrms_data.6005"
"config_authority_user_12","config_department_approver_isulanmuti isulan","muti_users_data.res_users_m0144","muti_hrms_data.6141"
"config_authority_user_13","config_department_approver_isulanmuti isulan","muti_users_data.res_users_m0074","muti_hrms_data.6208"
"config_authority_user_14","config_department_approver_isulanmuti isulan","muti_users_data.res_users_m1040","muti_hrms_data.6222"
"config_authority_user_15","config_department_approver_isulanmuti isulan","muti_users_data.res_users_m1104","muti_hrms_data.14005"
"config_authority_user_16","config_department_approver_isulanmuti isulan","muti_users_data.res_users_m0724","muti_hrms_data.11033"
"config_authority_user_17","config_department_approver_koronadalmuti marbel","muti_users_data.res_users_m0027","muti_hrms_data.1135"
"config_authority_user_18","config_department_approver_koronadalmuti marbel","muti_users_data.res_users_m0838","muti_hrms_data.1136"
"config_authority_user_19","config_department_approver_koronadalmuti marbel","muti_users_data.res_users_m0950","muti_hrms_data.6005"
"config_authority_user_20","config_department_approver_koronadalmuti marbel","muti_users_data.res_users_m0027","muti_hrms_data.6141"
"config_authority_user_21","config_department_approver_koronadalmuti marbel","muti_users_data.res_users_m0074","muti_hrms_data.6208"
"config_authority_user_22","config_department_approver_koronadalmuti marbel","muti_users_data.res_users_m1040","muti_hrms_data.6222"
"config_authority_user_23","config_department_approver_koronadalmuti marbel","muti_users_data.res_users_m0034","muti_hrms_data.14005"
"config_authority_user_24","config_department_approver_koronadalmuti marbel","muti_users_data.res_users_m0724","muti_hrms_data.11033"
"config_authority_user_25","config_department_approver_polomolokmuti polomolok","muti_users_data.res_users_m0038","muti_hrms_data.1135"
"config_authority_user_26","config_department_approver_polomolokmuti polomolok","muti_users_data.res_users_m0838","muti_hrms_data.1136"
"config_authority_user_27","config_department_approver_polomolokmuti polomolok","muti_users_data.res_users_m0950","muti_hrms_data.6005"
"config_authority_user_28","config_department_approver_polomolokmuti polomolok","muti_users_data.res_users_m0038","muti_hrms_data.6141"
"config_authority_user_29","config_department_approver_polomolokmuti polomolok","muti_users_data.res_users_m0074","muti_hrms_data.6208"
"config_authority_user_30","config_department_approver_polomolokmuti polomolok","muti_users_data.res_users_m1040","muti_hrms_data.6222"
"config_authority_user_32","config_department_approver_polomolokmuti polomolok","muti_users_data.res_users_m0724","muti_hrms_data.11033"
"config_authority_user_33","config_department_approver_surallahmuti surallah","muti_users_data.res_users_m0080","muti_hrms_data.1135"
"config_authority_user_34","config_department_approver_surallahmuti surallah","muti_users_data.res_users_m0838","muti_hrms_data.1136"
"config_authority_user_35","config_department_approver_surallahmuti surallah","muti_users_data.res_users_m0950","muti_hrms_data.6005"
"config_authority_user_36","config_department_approver_surallahmuti surallah","muti_users_data.res_users_m0080","muti_hrms_data.6141"
"config_authority_user_37","config_department_approver_surallahmuti surallah","muti_users_data.res_users_m0074","muti_hrms_data.6208"
"config_authority_user_38","config_department_approver_surallahmuti surallah","muti_users_data.res_users_m1040","muti_hrms_data.6222"
"config_authority_user_39","config_department_approver_surallahmuti surallah","muti_users_data.res_users_m1099","muti_hrms_data.14005"
"config_authority_user_40","config_department_approver_surallahmuti surallah","muti_users_data.res_users_m0724","muti_hrms_data.11033"
"config_authority_user_41","config_department_approver_tacurongmuti tac","muti_users_data.res_users_m0157","muti_hrms_data.1135"
"config_authority_user_42","config_department_approver_tacurongmuti tac","muti_users_data.res_users_m0838","muti_hrms_data.1136"
"config_authority_user_43","config_department_approver_tacurongmuti tac","muti_users_data.res_users_m0950","muti_hrms_data.6005"
"config_authority_user_44","config_department_approver_tacurongmuti tac","muti_users_data.res_users_m0157","muti_hrms_data.6141"
"config_authority_user_45","config_department_approver_tacurongmuti tac","muti_users_data.res_users_m0074","muti_hrms_data.6208"
"config_authority_user_46","config_department_approver_tacurongmuti tac","muti_users_data.res_users_m1040","muti_hrms_data.6222"
"config_authority_user_47","config_department_approver_tacurongmuti tac","muti_users_data.res_users_m0881","muti_hrms_data.14005"
"config_authority_user_48","config_department_approver_tacurongmuti tac","muti_users_data.res_users_m0724","muti_hrms_data.11033"
"config_authority_user_31","config_department_approver_polomolokmuti polomolok","muti_users_data.res_users_m0319","muti_hrms_data.14005"
"config_authority_user_51","config_department_approver_villa amor showroom - mmuti villa amor","muti_users_data.res_users_m0768","muti_hrms_data.6005"
"config_authority_user_53","config_department_approver_villa amor showroom - mmuti villa amor","muti_users_data.res_users_m0074","muti_hrms_data.6208"
"config_authority_user_54","config_department_approver_villa amor showroom - mmuti villa amor","muti_users_data.res_users_m1040","muti_hrms_data.6222"
"config_authority_user_56","config_department_approver_villa amor showroom - mmuti villa amor","muti_users_data.res_users_m0724","muti_hrms_data.11033"
"config_authority_user_57","config_department_approver_digosmuti digos","muti_users_data.res_users_m0719","muti_hrms_data.1135"
"config_authority_user_58","config_department_approver_digosmuti digos","muti_users_data.res_users_m0838","muti_hrms_data.1136"
"config_authority_user_59","config_department_approver_digosmuti digos","muti_users_data.res_users_m0950","muti_hrms_data.6005"
"config_authority_user_60","config_department_approver_digosmuti digos","muti_users_data.res_users_m0719","muti_hrms_data.6141"
"config_authority_user_61","config_department_approver_digosmuti digos","muti_users_data.res_users_m0074","muti_hrms_data.6208"
"config_authority_user_62","config_department_approver_digosmuti digos","muti_users_data.res_users_m1040","muti_hrms_data.6222"
"config_authority_user_63","config_department_approver_digosmuti digos","muti_users_data.res_users_m0332","muti_hrms_data.14005"
"config_authority_user_64","config_department_approver_digosmuti digos","muti_users_data.res_users_m0724","muti_hrms_data.11033"
"config_authority_user_65","config_department_approver_kidapawanmuti kidapawan","muti_users_data.res_users_m0727","muti_hrms_data.1135"
"config_authority_user_66","config_department_approver_kidapawanmuti kidapawan","muti_users_data.res_users_m0838","muti_hrms_data.1136"
"config_authority_user_67","config_department_approver_kidapawanmuti kidapawan","muti_users_data.res_users_m0950","muti_hrms_data.6005"
"config_authority_user_68","config_department_approver_kidapawanmuti kidapawan","muti_users_data.res_users_m0727","muti_hrms_data.6141"
"config_authority_user_69","config_department_approver_kidapawanmuti kidapawan","muti_users_data.res_users_m0074","muti_hrms_data.6208"
"config_authority_user_70","config_department_approver_kidapawanmuti kidapawan","muti_users_data.res_users_m1040","muti_hrms_data.6222"
"config_authority_user_72","config_department_approver_kidapawanmuti kidapawan","muti_users_data.res_users_m0724","muti_hrms_data.11033"
"config_authority_user_73","config_department_approver_valenciamuti valencia","muti_users_data.res_users_m1170","muti_hrms_data.1135"
"config_authority_user_74","config_department_approver_valenciamuti valencia","muti_users_data.res_users_m0838","muti_hrms_data.1136"
"config_authority_user_71","config_department_approver_kidapawanmuti kidapawan","muti_users_data.res_users_m0584","muti_hrms_data.14005"
"config_authority_user_75","config_department_approver_valenciamuti valencia","muti_users_data.res_users_m0950","muti_hrms_data.6005"
"config_authority_user_76","config_department_approver_valenciamuti valencia","muti_users_data.res_users_m1170","muti_hrms_data.6141"
"config_authority_user_77","config_department_approver_valenciamuti valencia","muti_users_data.res_users_m0074","muti_hrms_data.6208"
"config_authority_user_78","config_department_approver_valenciamuti valencia","muti_users_data.res_users_m1040","muti_hrms_data.6222"
"config_authority_user_79","config_department_approver_valenciamuti valencia","muti_users_data.res_users_m0712","muti_hrms_data.14005"
"config_authority_user_80","config_department_approver_valenciamuti valencia","muti_users_data.res_users_m0724","muti_hrms_data.11033"
"config_authority_user_81","config_department_approver_lapasanmuti lapasan","muti_users_data.res_users_m0573","muti_hrms_data.1135"
"config_authority_user_82","config_department_approver_lapasanmuti lapasan","muti_users_data.res_users_m0838","muti_hrms_data.1136"
"config_authority_user_83","config_department_approver_lapasanmuti lapasan","muti_users_data.res_users_m0950","muti_hrms_data.6005"
"config_authority_user_84","config_department_approver_lapasanmuti lapasan","muti_users_data.res_users_m0573","muti_hrms_data.6141"
"config_authority_user_85","config_department_approver_lapasanmuti lapasan","muti_users_data.res_users_m0074","muti_hrms_data.6208"
"config_authority_user_86","config_department_approver_lapasanmuti lapasan","muti_users_data.res_users_m1040","muti_hrms_data.6222"
"config_authority_user_87","config_department_approver_lapasanmuti lapasan","muti_users_data.res_users_m1218","muti_hrms_data.14005"
"config_authority_user_88","config_department_approver_lapasanmuti lapasan","muti_users_data.res_users_m0724","muti_hrms_data.11033"
"config_authority_user_103","config_department_approver_maramaghonda maramag",,"muti_hrms_data.1135"
"config_authority_user_106","config_department_approver_maramaghonda maramag",,"muti_hrms_data.6141"
"config_authority_user_89","config_department_approver_isulanhonda isulan","muti_users_data.res_users_m0125","muti_hrms_data.1135"
"config_authority_user_90","config_department_approver_isulanhonda isulan","muti_users_data.res_users_m0838","muti_hrms_data.1136"
"config_authority_user_91","config_department_approver_isulanhonda isulan","muti_users_data.res_users_m0950","muti_hrms_data.6005"
"config_authority_user_92","config_department_approver_isulanhonda isulan","muti_users_data.res_users_m0125","muti_hrms_data.6141"
"config_authority_user_114","config_department_approver_surallahhonda surallah","muti_users_data.res_users_m0090","muti_hrms_data.6208"
"config_authority_user_94","config_department_approver_isulanhonda isulan","muti_users_data.res_users_m1040","muti_hrms_data.6222"
"config_authority_user_95","config_department_approver_isulanhonda isulan","muti_users_data.res_users_m1254","muti_hrms_data.14005"
"config_authority_user_96","config_department_approver_koronadalhonda marbel","muti_users_data.res_users_m0030","muti_hrms_data.1135"
"config_authority_user_97","config_department_approver_koronadalhonda marbel","muti_users_data.res_users_m0838","muti_hrms_data.1136"
"config_authority_user_98","config_department_approver_koronadalhonda marbel","muti_users_data.res_users_m0950","muti_hrms_data.6005"
"config_authority_user_99","config_department_approver_koronadalhonda marbel","muti_users_data.res_users_m0030","muti_hrms_data.6141"
"config_authority_user_115","config_department_approver_surallahhonda surallah","muti_users_data.res_users_m1040","muti_hrms_data.6222"
"config_authority_user_101","config_department_approver_koronadalhonda marbel","muti_users_data.res_users_m1040","muti_hrms_data.6222"
"config_authority_user_104","config_department_approver_maramaghonda maramag","muti_users_data.res_users_m0838","muti_hrms_data.1136"
"config_authority_user_105","config_department_approver_maramaghonda maramag","muti_users_data.res_users_m0950","muti_hrms_data.6005"
"config_authority_user_107","config_department_approver_maramaghonda maramag","muti_users_data.res_users_m0090","muti_hrms_data.6208"
"config_authority_user_108","config_department_approver_maramaghonda maramag","muti_users_data.res_users_m1040","muti_hrms_data.6222"
"config_authority_user_109","config_department_approver_maramaghonda maramag","muti_users_data.res_users_m1250","muti_hrms_data.14005"
"config_authority_user_100","config_department_approver_koronadalhonda marbel","muti_users_data.res_users_m0090","muti_hrms_data.6208"
"config_authority_user_93","config_department_approver_isulanhonda isulan","muti_users_data.res_users_m0090","muti_hrms_data.6208"
"config_authority_user_110","config_department_approver_surallahhonda surallah","muti_users_data.res_users_m0032","muti_hrms_data.1135"
"config_authority_user_111","config_department_approver_surallahhonda surallah","muti_users_data.res_users_m0838","muti_hrms_data.1136"
"config_authority_user_112","config_department_approver_surallahhonda surallah","muti_users_data.res_users_m0950","muti_hrms_data.6005"
"config_authority_user_113","config_department_approver_surallahhonda surallah","muti_users_data.res_users_m0032","muti_hrms_data.6141"
"config_authority_user_116","config_department_approver_surallahhonda surallah","muti_users_data.res_users_m0372","muti_hrms_data.14005"
"config_authority_user_102","config_department_approver_koronadalhonda marbel","muti_users_data.res_users_m1441","muti_hrms_data.14005"
"config_authority_user_117","config_department_approver_buhanginmuti buhangin",,"muti_hrms_data.1135"
"config_authority_user_120","config_department_approver_buhanginmuti buhangin",,"muti_hrms_data.6141"
"config_authority_user_123","config_department_approver_buhanginmuti buhangin",,"muti_hrms_data.14005"
"config_authority_user_141","config_department_approver_tagummuti tagum",,"muti_hrms_data.1135"
"config_authority_user_144","config_department_approver_tagummuti tagum",,"muti_hrms_data.6141"
"config_authority_user_125","config_department_approver_calinanmuti calinan","muti_users_data.res_users_m0772","muti_hrms_data.1135"
"config_authority_user_126","config_department_approver_calinanmuti calinan","muti_users_data.res_users_m0838","muti_hrms_data.1136"
"config_authority_user_127","config_department_approver_calinanmuti calinan","muti_users_data.res_users_m0950","muti_hrms_data.6005"
"config_authority_user_128","config_department_approver_calinanmuti calinan","muti_users_data.res_users_m0772","muti_hrms_data.6141"
"config_authority_user_129","config_department_approver_calinanmuti calinan","muti_users_data.res_users_m0074","muti_hrms_data.6208"
"config_authority_user_130","config_department_approver_calinanmuti calinan","muti_users_data.res_users_m1040","muti_hrms_data.6222"
"config_authority_user_122","config_department_approver_buhanginmuti buhangin","muti_users_data.res_users_m1040","muti_hrms_data.6222"
"config_authority_user_132","config_department_approver_calinanmuti calinan","muti_users_data.res_users_m0724","muti_hrms_data.11033"
"config_authority_user_149","config_department_approver_financemuti marbel","muti_users_data.res_users_m0838","muti_hrms_data.1136"
"config_authority_user_118","config_department_approver_buhanginmuti buhangin","muti_users_data.res_users_m0838","muti_hrms_data.1136"
"config_authority_user_119","config_department_approver_buhanginmuti buhangin","muti_users_data.res_users_m0950","muti_hrms_data.6005"
"config_authority_user_121","config_department_approver_buhanginmuti buhangin","muti_users_data.res_users_m0074","muti_hrms_data.6208"
"config_authority_user_124","config_department_approver_buhanginmuti buhangin","muti_users_data.res_users_m0724","muti_hrms_data.11033"
"config_authority_user_133","config_department_approver_panabomuti panabo","muti_users_data.res_users_m0601","muti_hrms_data.1135"
"config_authority_user_134","config_department_approver_panabomuti panabo","muti_users_data.res_users_m0838","muti_hrms_data.1136"
"config_authority_user_135","config_department_approver_panabomuti panabo","muti_users_data.res_users_m0950","muti_hrms_data.6005"
"config_authority_user_136","config_department_approver_panabomuti panabo","muti_users_data.res_users_m0601","muti_hrms_data.6141"
"config_authority_user_137","config_department_approver_panabomuti panabo","muti_users_data.res_users_m0074","muti_hrms_data.6208"
"config_authority_user_138","config_department_approver_panabomuti panabo","muti_users_data.res_users_m1040","muti_hrms_data.6222"
"config_authority_user_139","config_department_approver_panabomuti panabo","muti_users_data.res_users_m0640","muti_hrms_data.14005"
"config_authority_user_140","config_department_approver_panabomuti panabo","muti_users_data.res_users_m0724","muti_hrms_data.11033"
"config_authority_user_142","config_department_approver_tagummuti tagum","muti_users_data.res_users_m0838","muti_hrms_data.1136"
"config_authority_user_143","config_department_approver_tagummuti tagum","muti_users_data.res_users_m0950","muti_hrms_data.6005"
"config_authority_user_145","config_department_approver_tagummuti tagum","muti_users_data.res_users_m0074","muti_hrms_data.6208"
"config_authority_user_146","config_department_approver_tagummuti tagum","muti_users_data.res_users_m1040","muti_hrms_data.6222"
"config_authority_user_147","config_department_approver_tagummuti tagum","muti_users_data.res_users_m0617","muti_hrms_data.14005"
"config_authority_user_148","config_department_approver_tagummuti tagum","muti_users_data.res_users_m0724","muti_hrms_data.11033"
