id,hr_department_id:id
config_department_approver_digosmuti digos,muti_hrms_data.1000009
config_department_approver_lapasanmuti lapasan,muti_hrms_data.1000070
config_department_approver_buhanginmuti buhangin,muti_hrms_data.1000069
config_department_approver_isulanhonda isulan,muti_hrms_data.3000003
config_department_approver_financemuti marbel,muti_hrms_data.1000016
config_department_approver_calinanmuti calinan,muti_hrms_data.1000067
config_department_approver_credit and collectionepfc home office,muti_hrms_data.6000088
config_department_approver_financeepfc home office,muti_hrms_data.6000019
config_department_approver_auditepfc home office,muti_hrms_data.6000013
config_department_approver_comptrollershipepfc home office,muti_hrms_data.6000093
config_department_approver_corporate planning & market research developmentepfc home office,muti_hrms_data.6000066
config_department_approver_execomepfc home office,muti_hrms_data.6000059
config_department_approver_human capital managementepfc home office,muti_hrms_data.6000097
config_department_approver_internal controlepfc home office,muti_hrms_data.6000090
config_department_approver_legalepfc home office,muti_hrms_data.6000042
config_department_approver_admin & general servicesbrdc head office,muti_hrms_data.10000010
config_department_approver_auberonauberon solutions,muti_hrms_data.20000001
config_department_approver_financebrdc head office,muti_hrms_data.10000009
config_department_approver_admin & financebrdc head office,muti_hrms_data.10000004
config_department_approver_admin & financehlrdc head office,muti_hrms_data.7000007
config_department_approver_hlrdc-quarryhlrdc-quarry,muti_hrms_data.7000004
config_department_approver_maramaghonda maramag,muti_hrms_data.3000012
config_department_approver_marketingepfc home office,muti_hrms_data.6000035
config_department_approver_isulanmuti isulan,muti_hrms_data.1000005
config_department_approver_koronadalmuti marbel,muti_hrms_data.1000029
config_department_approver_valenciamuti valencia,muti_hrms_data.1000061
config_department_approver_surallahmuti surallah,muti_hrms_data.1000102
config_department_approver_materials managementepfc home office,muti_hrms_data.6000078
config_department_approver_operations groupmuti marbel,muti_hrms_data.1000045
config_department_approver_marbelmuti marbel,muti_hrms_data.1000040
config_department_approver_tacurongmuti tac,muti_hrms_data.1000006
config_department_approver_polomolokmuti polomolok,muti_hrms_data.1000004
config_department_approver_villa amor showroom - mmuti villa amor,muti_hrms_data.1000109
config_department_approver_surallahhonda surallah,muti_hrms_data.3000002
config_department_approver_panabomuti panabo,muti_hrms_data.1000049
config_department_approver_koronadalhonda marbel,muti_hrms_data.3000011
config_department_approver_misepfc home office,muti_hrms_data.6000030
config_department_approver_buhangin - mepfc buhangin,muti_hrms_data.6000101
config_department_approver_tagummuti tagum,muti_hrms_data.1000047
config_department_approver_kidapawanmuti kidapawan,muti_hrms_data.1000044
config_department_approver_operations groupepfc home office,muti_hrms_data.6000060
config_department_approver_treasuryepfc home office,muti_hrms_data.6000061
config_department_approver_operationshlrdc head office,muti_hrms_data.7000005
config_department_approver_planning & designhlrdc head office,muti_hrms_data.7000008
config_department_approver_phoenixpumgas sinawal,muti_hrms_data.17000001
config_department_approver_sales & marketingbrdc head office,muti_hrms_data.10000006
config_department_approver_office of the presidenthlrdc head office,muti_hrms_data.7000006
config_department_approver_calinan-mepfc calinan,muti_hrms_data.6000080
config_department_approver_digos-mepfc digos,muti_hrms_data.6000055
config_department_approver_isulan-hepfc isulan 1,muti_hrms_data.6000057
config_department_approver_isulan-mepfc isulan 2,muti_hrms_data.6000052
config_department_approver_kidapawan-mepfc kidapawan,muti_hrms_data.6000058
config_department_approver_koronadal-hepfc koronadal 1,muti_hrms_data.6000050
config_department_approver_koronadal-mepfc koronadal 2,muti_hrms_data.6000054
config_department_approver_lapasan – mepfc lapasan,muti_hrms_data.6000076
config_department_approver_maramag-hepfc maramag,muti_hrms_data.6000079
config_department_approver_marbel-mepfc marbel,muti_hrms_data.6000049
config_department_approver_panabo-mepfc panabo,muti_hrms_data.6000064
config_department_approver_polomolok-mepfc polomolok,muti_hrms_data.6000053
config_department_approver_surallah-hepfc surallah 1,muti_hrms_data.6000056
config_department_approver_surallah-mepfc surallah 2,muti_hrms_data.6000092
config_department_approver_tacurong-mepfc tacurong,muti_hrms_data.6000051
config_department_approver_tagum-mepfc tagum,muti_hrms_data.6000065
config_department_approver_valencia-mepfc valencia,muti_hrms_data.6000071
