"id","active","name","hr_department_ids:id"
"config_level_asi","True","ASI","muti_hrms_data.20000001"
"config_level_brdc head office","True","BRDC Head Office","muti_hrms_data.10000004"
"","","","muti_hrms_data.10000010"
"","","","muti_hrms_data.10000009"
"","","","muti_hrms_data.10000006"
"config_level_brdc branch","True","BRDC Branch",""
"config_level_hlrdc head office","True","HLRDC Head Office","muti_hrms_data.7000007"
"","","","muti_hrms_data.7000004"
"","","","muti_hrms_data.7000006"
"","","","muti_hrms_data.7000005"
"","","","muti_hrms_data.7000008"
"config_level_hlrdc branch","True","HLRDC Branch",""
"config_level_pumgas head office","True","PUMGAS Head Office","muti_hrms_data.17000001"
"config_level_pumgas branch","True","PUMGAS Branch",""
"config_level_muti head office","True","MUTI Head Office","muti_hrms_data.1000016"
"","","","muti_hrms_data.1000045"
"config_level_muti branch","True","MUTI Branch","muti_hrms_data.1000069"
"","","","muti_hrms_data.1000067"
"","","","muti_hrms_data.1000009"
"","","","muti_hrms_data.1000005"
"","","","muti_hrms_data.1000044"
"","","","muti_hrms_data.1000029"
"","","","muti_hrms_data.1000070"
"","","","muti_hrms_data.1000040"
"","","","muti_hrms_data.1000049"
"","","","muti_hrms_data.1000004"
"","","","muti_hrms_data.1000102"
"","","","muti_hrms_data.1000006"
"","","","muti_hrms_data.1000047"
"","","","muti_hrms_data.1000061"
"","","","muti_hrms_data.1000109"
"config_level_epfc head office","True","EPFC Head Office","muti_hrms_data.6000088"
"","","","muti_hrms_data.6000019"
"","","","muti_hrms_data.6000060"
"config_level_epfc branch","True","EPFC Branch","muti_hrms_data.6000101"
"","","","muti_hrms_data.6000080"
"","","","muti_hrms_data.6000055"
"","","","muti_hrms_data.6000057"
"","","","muti_hrms_data.6000052"
"","","","muti_hrms_data.6000058"
"","","","muti_hrms_data.6000050"
"","","","muti_hrms_data.6000054"
"","","","muti_hrms_data.6000076"
"","","","muti_hrms_data.6000079"
"","","","muti_hrms_data.6000049"
"","","","muti_hrms_data.6000064"
"","","","muti_hrms_data.6000053"
"","","","muti_hrms_data.6000056"
"","","","muti_hrms_data.6000092"
"","","","muti_hrms_data.6000051"
"","","","muti_hrms_data.6000065"
"","","","muti_hrms_data.6000071"
"config_level_msg","True","MSG","muti_hrms_data.6000013"
"","","","muti_hrms_data.6000093"
"","","","muti_hrms_data.6000066"
"","","","muti_hrms_data.6000059"
"","","","muti_hrms_data.6000097"
"","","","muti_hrms_data.6000090"
"","","","muti_hrms_data.6000042"
"","","","muti_hrms_data.6000035"
"","","","muti_hrms_data.6000078"
"","","","muti_hrms_data.6000030"
"","","","muti_hrms_data.6000061"
"config_level_hsi branch","True","HSI BRANCH","muti_hrms_data.3000003"
"","","","muti_hrms_data.3000011"
"","","","muti_hrms_data.3000012"
"","","","muti_hrms_data.3000002"
"config_level_hsi head office","True","HSI HEAD OFFICE",""
"config_level_cfi branch","True","CFI BRANCH",""
"config_level_cfi head office","True","CFI HEAD OFFICE",""
"config_level_insurance services","True","INSURANCE SERVICES",""
