"id","active","name"
"muti_treasury_data.request_type_13'th month","True","13'TH MONTH"
"muti_treasury_data.request_type_accountable forms","True","ACCOUNTABLE FORMS"
"muti_treasury_data.request_type_advances for operation","True","ADVANCES FOR OPERATION"
"muti_treasury_data.request_type_advances to sister company","True","ADVANCES TO SISTER COMPANY"
"muti_treasury_data.request_type_dividend","True","DIVIDEND"
"muti_treasury_data.request_type_employees incentives","True","EMPLOYEES' INCENTIVES"
"muti_treasury_data.request_type_fund transfer","True","FUND TRANSFER"
"muti_treasury_data.request_type_loan payment","True","LOAN PAYMENT"
"muti_treasury_data.request_type_payables","True","PAYABLES"
"muti_treasury_data.request_type_petty cash fund replenishment","True","PETTY CASH FUND REPLENISHMENT"
"muti_treasury_data.request_type_purchase ( capex )","True","PURCHASE ( CAPEX )"
"muti_treasury_data.request_type_purchase ( capex it-equipment )","True","PURCHASE ( CAPEX IT-EQUIPMENT )"
"muti_treasury_data.request_type_purchases ( supplies )","True","PURCHASES ( SUPPLIES )"
"muti_treasury_data.request_type_purchase - trade inventory (gas and oil)","True","PURCHASE - TRADE INVENTORY (GAS AND OIL)"
"muti_treasury_data.request_type_purchase - trade inventory (mc)","True","PURCHASE - TRADE INVENTORY (MC)"
"muti_treasury_data.request_type_purchase - trade inventory (nest)","True","PURCHASE - TRADE INVENTORY (NEST)"
"muti_treasury_data.request_type_purchase - trade inventory (sp)","True","PURCHASE - TRADE INVENTORY (SP)"
"muti_treasury_data.request_type_rental","True","RENTAL"
"muti_treasury_data.request_type_repairs and maintenance","True","REPAIRS AND MAINTENANCE"
"muti_treasury_data.request_type_retainers fee","True","RETAINER'S FEE"
"muti_treasury_data.request_type_revolving fund replenishment","True","REVOLVING FUND REPLENISHMENT"
"muti_treasury_data.request_type_salaries and wages","True","SALARIES AND WAGES"
"muti_treasury_data.request_type_separation fee","True","SEPARATION FEE"
"muti_treasury_data.request_type_special fund - unit registration","True","SPECIAL FUND - UNIT REGISTRATION"
"muti_treasury_data.request_type_statutory expenses","True","STATUTORY EXPENSES"
"muti_treasury_data.request_type_trade inventory - mc units","True","TRADE INVENTORY - MC UNITS"
"muti_treasury_data.request_type_trade inventory - spare parts","True","TRADE INVENTORY - SPARE PARTS"
"muti_treasury_data.request_type_unit registration fund","True","UNIT REGISTRATION FUND"
