id,hr_department_ids:id,user_id:id
muti_hrms_data.M1223,muti_hrms_data.6000030,muti_users_data.res_users_m1223
muti_hrms_data.M0147,muti_hrms_data.6000061,muti_users_data.res_users_m0147
muti_hrms_data.M0620,muti_hrms_data.1000016,muti_users_data.res_users_m0620
muti_hrms_data.M1170,"muti_hrms_data.1000061,muti_hrms_data.6000071",muti_users_data.res_users_m1170
muti_hrms_data.M0307,"muti_hrms_data.3000002,muti_hrms_data.6000056",muti_users_data.res_users_m0307
muti_hrms_data.M0149,"muti_hrms_data.6000053,muti_hrms_data.1000004",muti_users_data.res_users_m0149
muti_hrms_data.M0326,"muti_hrms_data.6000049,muti_hrms_data.1000040",muti_users_data.res_users_m0326
muti_hrms_data.M0633,"muti_hrms_data.6000064,muti_hrms_data.1000049",muti_users_data.res_users_m0633
muti_hrms_data.M0696,"muti_hrms_data.6000080,muti_hrms_data.1000067",muti_users_data.res_users_m0696
muti_hrms_data.M0054,"muti_hrms_data.6000054,muti_hrms_data.1000037",muti_users_data.res_users_m0054
muti_hrms_data.M0536,"muti_hrms_data.6000097,muti_hrms_data.1000091",muti_users_data.res_users_m0536
muti_hrms_data.M1026,"muti_hrms_data.6000101,muti_hrms_data.1000069",muti_users_data.res_users_m1026
muti_hrms_data.M1107,"muti_hrms_data.3000003,muti_hrms_data.6000057",muti_users_data.res_users_m1107
muti_hrms_data.M1192,"muti_hrms_data.6000049,muti_hrms_data.1000056",muti_users_data.res_users_m1192
muti_hrms_data.M0573,"muti_hrms_data.1000070,muti_hrms_data.6000076",muti_users_data.res_users_m0573
muti_hrms_data.M0709,muti_hrms_data.6000064,muti_users_data.res_users_m0709
muti_hrms_data.M0125,"muti_hrms_data.3000003,muti_hrms_data.6000057",muti_users_data.res_users_m0125
muti_hrms_data.M1084,"muti_hrms_data.1000005,muti_hrms_data.6000052",muti_users_data.res_users_m1084
muti_hrms_data.M0297,"muti_hrms_data.6000057,muti_hrms_data.3000003",muti_users_data.res_users_m0297
muti_hrms_data.M0038,"muti_hrms_data.1000004,muti_hrms_data.6000053",muti_users_data.res_users_m0038
muti_hrms_data.M0617,"muti_hrms_data.6000065,muti_hrms_data.1000047",muti_users_data.res_users_m0617
muti_hrms_data.M0953,"muti_hrms_data.6000052,muti_hrms_data.1000005",muti_users_data.res_users_m0953
muti_hrms_data.M0044,"muti_hrms_data.6000054,muti_hrms_data.1000037",muti_users_data.res_users_m0044
muti_hrms_data.M0030,"muti_hrms_data.3000011,muti_hrms_data.6000050",muti_users_data.res_users_m0030
muti_hrms_data.M0080,"muti_hrms_data.1000102,muti_hrms_data.6000092",muti_users_data.res_users_m0080
muti_hrms_data.M0703,"muti_hrms_data.6000056,muti_hrms_data.3000002",muti_users_data.res_users_m0703
muti_hrms_data.M0432,"muti_hrms_data.6000052,muti_hrms_data.1000005",muti_users_data.res_users_m0432
muti_hrms_data.M1229,"muti_hrms_data.1000067,muti_hrms_data.6000080",muti_users_data.res_users_m1229
muti_hrms_data.M1218,"muti_hrms_data.6000076,muti_hrms_data.1000070",muti_users_data.res_users_m1218
muti_hrms_data.M1225,"muti_hrms_data.1000029,muti_hrms_data.6000054",muti_users_data.res_users_m1225
