"id","name","code","prefix","padding"
"ir_sequence_req_code_auberon-55","req_code_auberon-55","req_code_auberon-55","16-55-1-1",5
"ir_sequence_req_code_park maintenance & development-55","req_code_park maintenance & development-55","req_code_park maintenance & development-55","16-35-1-1",5
"ir_sequence_req_code_admin & finance-55","req_code_admin & finance-55","req_code_admin & finance-55","16-35-1-2",5
"ir_sequence_req_code_admin & general services-55","req_code_admin & general services-55","req_code_admin & general services-55","16-35-1-3",5
"ir_sequence_req_code_finance-55","req_code_finance-55","req_code_finance-55","16-35-1-4",5
"ir_sequence_req_code_sales & marketing-55","req_code_sales & marketing-55","req_code_sales & marketing-55","16-35-1-5",5
"ir_sequence_req_code_office of the president-55","req_code_office of the president-55","req_code_office of the president-55","16-35-1-6",5
"ir_sequence_req_code_care foundation ii-40","req_code_care foundation ii-40","req_code_care foundation ii-40","16-35-1-7",5
"ir_sequence_req_code_cfi - gensan-40","req_code_cfi - gensan-40","req_code_cfi - gensan-40","16-40-1-1",5
"ir_sequence_req_code_cfi - isulan-40","req_code_cfi - isulan-40","req_code_cfi - isulan-40","16-40-1-2",5
"ir_sequence_req_code_care-40","req_code_care-40","req_code_care-40","16-40-1-3",5
"ir_sequence_req_code_cfi - main-40","req_code_cfi - main-40","req_code_cfi - main-40","16-40-1-4",5
"ir_sequence_req_code_cfi-koronadal-40","req_code_cfi-koronadal-40","req_code_cfi-koronadal-40","16-40-1-5",5
"ir_sequence_req_code_isulan-h-25","req_code_isulan-h-25","req_code_isulan-h-25","16-40-1-6",5
"ir_sequence_req_code_isulan-m-25","req_code_isulan-m-25","req_code_isulan-m-25","16-25-1-1",5
"ir_sequence_req_code_koronadal-h-25","req_code_koronadal-h-25","req_code_koronadal-h-25","16-25-1-2",5
"ir_sequence_req_code_koronadal-m-25","req_code_koronadal-m-25","req_code_koronadal-m-25","16-25-1-3",5
"ir_sequence_req_code_marbel-m-25","req_code_marbel-m-25","req_code_marbel-m-25","16-25-1-4",5
"ir_sequence_req_code_polomolok-m-25","req_code_polomolok-m-25","req_code_polomolok-m-25","16-25-1-5",5
"ir_sequence_req_code_surallah-h-25","req_code_surallah-h-25","req_code_surallah-h-25","16-25-1-6",5
"ir_sequence_req_code_surallah-m-25","req_code_surallah-m-25","req_code_surallah-m-25","16-25-1-7",5
"ir_sequence_req_code_tacurong-m-25","req_code_tacurong-m-25","req_code_tacurong-m-25","16-25-1-8",5
"ir_sequence_req_code_planning & design-30","req_code_planning & design-30","req_code_planning & design-30","16-25-1-9",5
"ir_sequence_req_code_operations-30","req_code_operations-30","req_code_operations-30","16-30-1-10",5
"ir_sequence_req_code_office of the president-30","req_code_office of the president-30","req_code_office of the president-30","16-30-1-1",5
"ir_sequence_req_code_admin & finance-30","req_code_admin & finance-30","req_code_admin & finance-30","16-30-1-2",5
"ir_sequence_req_code_hlrdc-quarry-30","req_code_hlrdc-quarry-30","req_code_hlrdc-quarry-30","16-30-1-3",5
"ir_sequence_req_code_isulan-20","req_code_isulan-20","req_code_isulan-20","16-30-1-4",5
"ir_sequence_req_code_maramag-20","req_code_maramag-20","req_code_maramag-20","16-20-1-5",5
"ir_sequence_req_code_operations group-20","req_code_operations group-20","req_code_operations group-20","16-20-1-1",5
"ir_sequence_req_code_office of the president-20","req_code_office of the president-20","req_code_office of the president-20","16-20-1-2",5
"ir_sequence_req_code_parts & services-20","req_code_parts & services-20","req_code_parts & services-20","16-20-1-3",5
"ir_sequence_req_code_management team-20","req_code_management team-20","req_code_management team-20","16-20-1-4",5
"ir_sequence_req_code_finance-20","req_code_finance-20","req_code_finance-20","16-20-1-5",5
"ir_sequence_req_code_koronadal-20","req_code_koronadal-20","req_code_koronadal-20","16-20-1-6",5
"ir_sequence_req_code_surallah-20","req_code_surallah-20","req_code_surallah-20","16-20-1-7",5
"ir_sequence_req_code_kitchen-25","req_code_kitchen-25","req_code_kitchen-25","16-20-1-8",5
"ir_sequence_req_code_suzuki 3s-15","req_code_suzuki 3s-15","req_code_suzuki 3s-15","16-25-1-",5
"ir_sequence_req_code_isulan-15","req_code_isulan-15","req_code_isulan-15","16-15-1-1",5
