"id","qty","particulars","price","amount","request_det_ids:id"
"request_det_16",1,"RF-15-0033-i0",26593.15,26593.15,"request_15-25-24-1-00001"
"request_det_35",1,"BONJOC, EVAN",1350,1350,"request_15-25-32-1-00097"
"request_det_199",1,"FARE",2000,2000,"request_15-20-12-1-00060"
"request_det_41",1,"ELECTRIC BILL ",1606.92,1606.92,"request_15-25-34-1-00032"
"request_det_42",1,"ELECTRIC BILL",5111.4,5111.4,"request_15-25-32-1-00098"
"request_det_43",1,"MARBEL UNIVERSAL TRADING INC",2190.6,2190.6,"request_15-25-32-1-00098"
"request_det_44",1,"PCFS-3010-15-000000023",2142,2142,"request_15-25-32-1-00099"
"request_det_45",1,"GIVE AWAYS",5365.38,5365.38,"request_15-25-32-1-00100"
"request_det_57",6,"MC REGISTRATION",1144.06,6864.36,"request_15-25-24-1-00002"
"request_det_63",1,"SERVICE UNIT RENEWAL",1700,1700,"request_15-25-24-1-00003"
"request_det_64",2,"MC REGISTRATION",1144.06,2288.12,"request_15-25-24-1-00003"
"request_det_48",1,"MC UNIT REG.",1275,1275,"request_15-15-32-1-00033"
"request_det_49",18,"CT 100",46060,829080,"request_15-15-24-1-00001"
"request_det_52",1,"Barako",85000,85000,"request_15-15-24-1-00001"
"request_det_53",0,,0,0,"request_15-15-24-1-00001"
"request_det_51",13,"XRM DS",62100,807300,"request_15-15-24-1-00001"
"request_det_50",2,"CB 125",60700,121400,"request_15-15-24-1-00001"
"request_det_56",1,"LOAN INTEREST",42355.56,42355.56,"request_15-10-11-7-00159"
"request_det_65",1,,123,123,"request_15-25-13-1-00003"
"request_det_40",1,"PCFS-3019-15-000000019",3500.5,3500.5,"request_15-25-12-1-00078"
"request_det_66",1,"MC REGISTRATION",1144.06,1144.06,"request_15-15-24-1-00005"
"request_det_73",1,"PETTY CASH FUND REPLENISHMENT",1299.08,1299.08,"request_15-15-24-1-00006"
"request_det_74",1,"ADVANCES TO SIS COM - EPFC",1734.17,1734.17,"request_15-15-24-1-00006"
"request_det_77",1,"CV-3010-15-000000059",2130.65,2130.65,"request_15-25-32-1-00102"
"request_det_78",1,"CV-3010-15-000000060",2000,2000,"request_15-25-32-1-00102"
"request_det_80",1,"CV-3010-15-000000062",3204.78,3204.78,"request_15-25-32-1-00102"
"request_det_79",1,"CV-3010-15-000000061",2000,2000,"request_15-25-32-1-00102"
"request_det_81",1,"CV-3010-15-000000063",3545.14,3545.14,"request_15-25-32-1-00102"
"request_det_82",1,"CV-3010-15-000000064",2557,2557,"request_15-25-32-1-00102"
"request_det_83",1,"CV-3010-15-000000065",7707.26,7707.26,"request_15-25-32-1-00102"
"request_det_84",1,"CV-3010-15-000000066",2027.39,2027.39,"request_15-25-32-1-00102"
"request_det_76",1,"CV-3010-15-000000058",2854.2,2854.2,"request_15-25-32-1-00102"
"request_det_75",1,"CV-3010-15-000000057",1073.81,1073.81,"request_15-25-32-1-00102"
"request_det_85",1,"EPSON SCANNER",8000,8000,"request_15-15-24-1-00002"
"request_det_129",1,"CV600149000318",350,350,"request_15-15-32-1-00034"
"request_det_130",1,"CV600149000323",1150,1150,"request_15-15-32-1-00034"
"request_det_132",1,"CV600149000325",4540.71,4540.71,"request_15-15-32-1-00034"
"request_det_133",1,"CV600149000326",530.98,530.98,"request_15-15-32-1-00034"
"request_det_134",1,"CV600149000327",313.5,313.5,"request_15-15-32-1-00034"
"request_det_131",1,"CV600149000324",372,372,"request_15-15-32-1-00034"
"request_det_86",1,"MC UNITS PURCHASED (EPFC-MAIN SEPT.1-15, 2015)",1702000,1702000,"request_15-25-11-2-00285"
"request_det_87",2,"TONER",3250,6500,"request_15-10-11-7-00160"
"request_det_88",1,"AR-EPFC SEPT. 1-15",1785500,1785500,"request_15-25-11-2-00286"
"request_det_90",1,"AR-EPFC SEPT. 1-15",1543100,1543100,"request_15-25-11-2-00287"
"request_det_93",1,"AR-EPFC SEPT.1-15",514500,514500,"request_15-25-11-2-00289"
"request_det_95",1,"AR-EPFC SEPT.1-15",425800,425800,"request_15-25-11-2-00291"
"request_det_89",1,"REFUND FOR M' ROSE(GROCERIES FOR MNGT.& EMP. CONSU",25576.1,25576.1,"request_15-10-11-7-00161"
"request_det_92",1,"AR-EPFC JULY1-15",83000,83000,"request_15-25-11-2-00288"
"request_det_91",1,"AR-EPFC SEPT.1-15",1606500,1606500,"request_15-25-11-2-00288"
"request_det_94",1,"AR-EPFC SEPT.1-15",2451500,2451500,"request_15-25-11-2-00290"
"request_det_96",1,"SALARY",2500,2500,"request_15-10-11-7-00162"
"request_det_98",1,"SSS/HDMF/PHIC DEDUCTIONS",-354.2,-354.2,"request_15-10-11-7-00162"
"request_det_100",1,"ADVANCES",-332,-332,"request_15-10-11-7-00162"
"request_det_99",1,"SOCOTECO BILL SHARE",-50,-50,"request_15-10-11-7-00162"
"request_det_97",1,"Commission-Sept. 2015",2000,2000,"request_15-10-11-7-00163"
"request_det_101",1,"AR-EPFC SEPT.1-15",1661400,1661400,"request_15-25-11-2-00292"
"request_det_102",1,"MANAGEMENT MEAL",3400,3400,"request_15-10-11-7-00164"
"request_det_103",1,"AR-EPFC SEPT.1-15",1260100,1260100,"request_15-25-11-2-00293"
"request_det_104",1,"AR-EPFC SEPT.1-15",1409600,1409600,"request_15-25-11-2-00294"
"request_det_105",1,"AR-EPFC SEPT.1-15",661200,661200,"request_15-25-11-2-00295"
"request_det_107",1,"AR-EPFC SEPT.1-15",1217400,1217400,"request_15-25-11-2-00296"
"request_det_108",1,"AR-EPFC SEPT.1-15",1233400,1233400,"request_15-25-11-2-00297"
"request_det_109",1,"PETTY CASH",4290,4290,"request_15-25-11-2-00298"
"request_det_110",1,,1722.94,1722.94,"request_15-25-15-2-00059"
"request_det_111",2,"TIRE, 2.50 X 17",441.36,882.72,"request_15-25-24-1-00007"
"request_det_112",1,"or/cr",1000,1000,"request_15-25-11-2-00299"
"request_det_113",5,"CHATTEL MORTAGE",0,0,"request_15-25-32-1-00103"
"request_det_116",5,"PROMISSORY NOTE",0,0,"request_15-25-32-1-00103"
"request_det_115",5,"MOTOR VEHICLE MORTGAGE REPORT",0,0,"request_15-25-32-1-00103"
"request_det_117",5,"DEED OF RECONVEYANCE",0,0,"request_15-25-32-1-00103"
"request_det_118",5,"DEPOSIT AGREEMENT",0,0,"request_15-25-32-1-00103"
"request_det_119",5,"DEED OF SALE OF A MOTOR VEHICLE",0,0,"request_15-25-32-1-00103"
"request_det_120",5,"DEED OF SALE WITH ASSUMPTION OF MORTGAGE",0,0,"request_15-25-32-1-00103"
"request_det_121",5,"UNDERTAKING",0,0,"request_15-25-32-1-00103"
"request_det_114",5,"INSTALMENT GUIDE",0,0,"request_15-25-32-1-00103"
"request_det_122",5,"SALE WITH RESERVATION OF TITLE",0,0,"request_15-25-32-1-00103"
"request_det_135",1,"MNGT. & EMPLOYEE CONSUMPTION",26964.4,26964.4,"request_15-10-11-7-00165"
"request_det_136",1,"KAWASAKI ORIENTATION ",18620,18620,"request_15-15-11-1-00513"
"request_det_137",1,,12477.13,12477.13,"request_15-25-12-2-00075"
"request_det_138",1,,5610,5610,"request_15-25-12-2-00075"
"request_det_140",1,"CI#7232",35000,35000,"request_15-15-11-1-00514"
"request_det_141",1,"1%EWT",-312.5,-312.5,"request_15-15-11-1-00514"
"request_det_139",1,"PAYMENT FOR S.O.A #15-1674",2069.4,2069.4,"request_15-10-11-7-00166"
"request_det_143",1,"TRAVEL,MEALS & LODGING ALLOWANCE",1800,1800,"request_15-25-32-1-00104"
"request_det_145",1,"PCFS-3007-15-000000018",2820.8,2820.8,"request_15-25-12-2-00076"
"request_det_146",1,"PETTY CASH FUND REPLENISHMENT",2766.15,2766.15,"request_15-25-24-1-00008"
"request_det_147",1,"ADVANCES TO SIS COM - MUTI",364.35,364.35,"request_15-25-24-1-00008"
"request_det_256",3,,63000,189000,"request_15-15-23-1-00033"
"request_det_152",3,"BARAKO175 (KICK STARTER)",77000,231000,"request_15-15-23-1-00033"
"request_det_151",1,"1  YELLOW",95000,95000,"request_15-15-23-1-00033"
"request_det_153",2,"BLACK",52000,104000,"request_15-15-23-1-00033"
"request_det_149",5,"CT150",52000,260000,"request_15-15-23-1-00033"
"request_det_150",2,"FURY125(NEW) MAGS",73000,146000,"request_15-15-23-1-00033"
"request_det_148",15,"8 BLACK, 7 RED",47000,705000,"request_15-15-23-1-00033"
"request_det_191",1,"BEARING",74,74,"request_15-25-23-1-00060"
"request_det_190",1,"INTERIOR(IZUMI 2.25X17)",126,126,"request_15-25-23-1-00060"
"request_det_155",1,"SPEEDOMETER CABLE",35,35,"request_15-25-23-1-00060"
"request_det_156",1,"Barcode Scanner",4000,4000,"request_15-10-11-10-00001"
"request_det_154",1,"Printer L210",8000,8000,"request_15-10-11-10-00001"
"request_det_123",1,"62M001000356",4192,4192,"request_15-15-11-1-00509"
"request_det_157",15,"OFFICIAL RECEIPT",0,0,"request_15-25-23-1-00061"
"request_det_144",1,"MC DEALER",24840.97,24840.97,"request_15-15-11-1-00511"
"request_det_127",1,"DEALER(SP)",121,121,"request_15-15-11-1-00511"
"request_det_128",1,"SPINC_AUG15",69211.92,69211.92,"request_15-15-11-1-00512"
"request_det_124",1,"AUGUST 1-31, 2015",32196.27,32196.27,"request_15-15-11-1-00510"
"request_det_125",1,"2%EWT",-574.93,-574.93,"request_15-15-11-1-00510"
"request_det_126",1,"THUNDER125",130,130,"request_15-25-13-1-00097"
"request_det_164",1,"62-0105-000329",556.87,556.87,"request_15-15-12-1-00035"
"request_det_165",1,"62-0105-000330",826.95,826.95,"request_15-15-12-1-00035"
"request_det_166",1,"62-0105-000331",364.55,364.55,"request_15-15-12-1-00035"
"request_det_167",1,,200,200,"request_15-15-12-1-00036"
"request_det_168",1,,200,200,"request_15-15-12-1-00037"
"request_det_172",15,"chattel mortgage",0,0,"request_15-25-33-1-00081"
"request_det_176",10,"deed of sale with assumption of mortagage",0,0,"request_15-25-33-1-00081"
"request_det_178",10,"motor vehicle mortgage report",0,0,"request_15-25-33-1-00081"
"request_det_174",10,"undertaking",0,0,"request_15-25-33-1-00081"
"request_det_169",10,"installment guide",0,0,"request_15-25-33-1-00081"
"request_det_170",10,"deposit agreement",0,0,"request_15-25-33-1-00081"
"request_det_171",10,"promisorry note",0,0,"request_15-25-33-1-00081"
"request_det_173",10,"deed of sale of motor vehicle",0,0,"request_15-25-33-1-00081"
"request_det_175",10,"deed of reconveyance",0,0,"request_15-25-33-1-00081"
"request_det_177",10,"sale with reservation of title",0,0,"request_15-25-33-1-00081"
"request_det_179",1,"sep pay",4101.34,4101.34,"request_15-25-11-2-00300"
"request_det_180",1,"BRANCH VISIT",11850,11850,"request_15-25-11-2-00301"
"request_det_237",1,"PCFR 62-0303-000177",2281.09,2281.09,"request_15-20-12-1-00061"
"request_det_198",10,"ROD/BIR Reg.",2500,25000,"request_15-25-11-2-00302"
"request_det_187",1,"JAM_SEP15",1000,1000,"request_15-15-11-1-00515"
"request_det_181",1,,14762.55,14762.55,"request_15-25-13-1-00098"
"request_det_182",1,"RF0105-161",31868.06,31868.06,"request_15-15-12-1-00038"
"request_det_183",1,600105000681,150,150,"request_15-15-12-1-00038"
"request_det_184",1,600105000691,3157.23,3157.23,"request_15-15-12-1-00038"
"request_det_185",1,"PCFS-3006-15-000000125",1000,1000,"request_15-25-13-1-00099"
"request_det_186",1,"PCFS-3006-15-000000126",2662,2662,"request_15-25-13-1-00099"
"request_det_188",10,"PVC Molding 1x2",0,0,"request_15-10-11-6-00028"
"request_det_189",1,"TOX and Screw",0,0,"request_15-10-11-6-00028"
"request_det_193",1,"500g HDD",2400,2400,"request_15-10-11-6-00029"
"request_det_192",2,"4gb DDR3 Memory",1650,3300,"request_15-10-11-6-00029"
