"id","create_uid:id","request_date","hr_employee_id:id","department_id:id","request_through:id","request_no","request_categ_id:id","request_type_id:id","source_id:id","state"
"request_15-25-24-1-00001","res.users_m0712-epfc",2015-09-18 13:09:46,"hr.employees_m0712-epfc","muti_hrms.hr_department_epfcvalenciaid","muti_hrms.hr_department_epfcfinanceid","15-25-24-1-00001","request.categ_CASH","approval.ruleREVOLVING FUND REPLENISHMENT_BU MAIN","request.source_BU MAIN","draft"
"request_15-25-32-1-00097","res.users_m0752-epfc",2015-09-21 09:09:22,"hr.employees_m0752-epfc","muti_hrms.hr_department_epfcpanaboid","muti_hrms.hr_department_epfcpanaboid","15-25-32-1-00097","request.categ_PAYMENT","approval.ruleUNIT REGISTRATION_REVOLVING FUND","request.source_REVOLVING FUND","draft"
"request_15-25-12-1-00078","res.users_m1254-epfc",2015-09-22 09:29:23,"hr.employees_m1254-epfc","muti_hrms.hr_department_epfcisulan1id","muti_hrms.hr_department_epfcisulan1id","15-25-12-1-00078","request.categ_CASH","approval.rulePETTY CASH FUND REPLENISHMENT_REVOLVING FUND","request.source_REVOLVING FUND","confirm"
"request_15-20-12-1-00060","res.users_m1254-hsoc",2015-09-21 09:34:40,"hr.employees_m1254-hsoc","muti_hrms.hr_department_hondaisulanid","muti_hrms.hr_department_hondaisulanid","15-20-12-1-00060","request.categ_PAYMENT","approval.ruleTRAVEL EXPENSES_REVOLVING FUND","request.source_REVOLVING FUND","confirm"
"request_15-25-34-1-00032","res.users_m0857",2015-09-21 09:47:29,"hr.employees_m0857","muti_hrms.hr_department_epfcmatiid","muti_hrms.hr_department_epfcmatiid","15-25-34-1-00032","request.categ_PAYMENT","approval.ruleUTILITY BILLS_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-32-1-00098","res.users_m0752-epfc",2015-09-21 10:01:32,"hr.employees_m0752-epfc","muti_hrms.hr_department_epfcpanaboid","muti_hrms.hr_department_epfcpanaboid","15-25-32-1-00098","request.categ_PAYMENT","approval.ruleUTILITY BILLS/RENTALS_REVOLVING FUND","request.source_REVOLVING FUND","draft"
"request_15-25-32-1-00099","res.users_m0752-epfc",2015-09-21 10:02:06,"hr.employees_m0752-epfc","muti_hrms.hr_department_epfcpanaboid","muti_hrms.hr_department_epfcpanaboid","15-25-32-1-00099","request.categ_CASH","approval.rulePETTY CASH FUND REPLENISHMENT_REVOLVING FUND","request.source_REVOLVING FUND","draft"
"request_15-25-32-1-00100","res.users_m0752-epfc",2015-09-21 10:19:33,"hr.employees_m0752-epfc","muti_hrms.hr_department_epfcpanaboid","muti_hrms.hr_department_epfcpanaboid","15-25-32-1-00100","request.categ_PAYMENT","approval.ruleUTILITY BILLS/RENTALS_REVOLVING FUND","request.source_REVOLVING FUND","draft"
"request_15-25-24-1-00002","res.users_m0712-epfc",2015-09-21 10:24:33,"hr.employees_m0712-epfc","muti_hrms.hr_department_epfcvalenciaid","muti_hrms.hr_department_epfcvalenciaid","15-25-24-1-00002","request.categ_PAYMENT","approval.ruleUNIT REGISTRATION_REVOLVING FUND","request.source_REVOLVING FUND","draft"
"request_15-25-24-1-00003","res.users_m0712-epfc",2015-09-21 14:01:01,"hr.employees_m0712-epfc","muti_hrms.hr_department_epfcvalenciaid","muti_hrms.hr_department_epfcvalenciaid","15-25-24-1-00003","request.categ_PAYMENT","approval.ruleUNIT REGISTRATION_REVOLVING FUND","request.source_REVOLVING FUND","draft"
"request_15-15-32-1-00033","res.users_m0752-muti",2015-09-22 08:20:02,"hr.employees_m0752-muti","muti_hrms.hr_department_mutipanaboid","muti_hrms.hr_department_mutipanaboid","15-15-32-1-00033","request.categ_PAYMENT","approval.ruleUNIT REGISTRATION_REVOLVING FUND","request.source_REVOLVING FUND","confirm"
"request_15-15-24-1-00001","res.users_m1170-muti",2015-09-22 08:35:08,"hr.employees_m1170-muti","muti_hrms.hr_department_mutivalenciaid","muti_hrms.hr_department_imgid","15-15-24-1-00001","request.categ_OTHERS","approval.ruleTRADE INVENTORY_BU MAIN","request.source_BU MAIN","confirm"
"request_15-10-11-7-00159","res.users_m1062",2015-09-22 09:21:46,"hr.employees_m1062","muti_hrms.hr_department_tigid","muti_hrms.hr_department_tigid","15-10-11-7-00159","request.categ_PAYMENT","approval.rulePAYABLES_TIG","request.source_TIG","draft"
"request_15-25-13-1-00003","res.users_m0881-epfc",2015-09-22 09:22:26,"hr.employees_m0881-epfc","muti_hrms.hr_department_epfctacurongid","muti_hrms.hr_department_epfcfinanceid","15-25-13-1-00003","request.categ_OTHERS","approval.ruleREPAIRS & MAINTENANCE_REVOLVING FUND","request.source_REVOLVING FUND","draft"
"request_15-15-24-1-00005","res.users_m0712-muti",2015-09-22 09:53:34,"hr.employees_m0712-muti","muti_hrms.hr_department_mutivalenciaid","muti_hrms.hr_department_mutivalenciaid","15-15-24-1-00005","request.categ_PAYMENT","approval.ruleUNIT REGISTRATION_REVOLVING FUND","request.source_REVOLVING FUND","draft"
"request_15-15-24-1-00006","res.users_m0712-muti",2015-09-22 10:32:23,"hr.employees_m0712-muti","muti_hrms.hr_department_mutivalenciaid","muti_hrms.hr_department_mutivalenciaid","15-15-24-1-00006","request.categ_CASH","approval.rulePETTY CASH FUND REPLENISHMENT_REVOLVING FUND","request.source_REVOLVING FUND","draft"
"request_15-25-32-1-00102","res.users_m0752-epfc",2015-09-22 10:45:49,"hr.employees_m0752-epfc","muti_hrms.hr_department_epfcpanaboid","muti_hrms.hr_department_epfcpanaboid","15-25-32-1-00102","request.categ_CASH","approval.ruleREVOLVING FUND REPLENISHMENT_BU MAIN","request.source_BU MAIN","confirm"
"request_15-15-24-1-00002","res.users_m1170-muti",2015-09-22 11:09:12,"hr.employees_m1170-muti","muti_hrms.hr_department_mutivalenciaid","muti_hrms.hr_department_imgid","15-15-24-1-00002","request.categ_PURCHASE","approval.rulePURCHASES(CAPEX IT EQUIPMENT)_BU MAIN","request.source_BU MAIN","confirm"
"request_15-25-11-2-00285","res.users_m0230",2015-09-23 08:54:42,"hr.employees_m0230","muti_hrms.hr_department_epfcfinanceid","muti_hrms.hr_department_epfcfinanceid","15-25-11-2-00285","request.categ_PAYMENT","approval.rulePAYABLES_BU MAIN","request.source_BU MAIN","confirm"
