"id","hr_job_id:id","priority","amount","approval_rule_id:id"
"approval_chain_02","muti_hrms_data.1135",2,0,"approval_rule_v6_cash_branch__petty cash fund replenishment_revolving fund"
"approval_chain_04","muti_hrms_data.1135",2,0,"approval_rule_v6_cash_branch__revolving fund replenishment_bu main"
"approval_chain_05","muti_hrms_data.11033",3,0,"approval_rule_v6_cash_branch__revolving fund replenishment_bu main"
"approval_chain_06","muti_hrms_data.6208",4,0,"approval_rule_v6_cash_branch__revolving fund replenishment_bu main"
"approval_chain_08","muti_hrms_data.1135",2,0,"approval_rule_v6_others_branch__accountable forms_bu main"
"approval_chain_10","muti_hrms_data.1135",2,0,"approval_rule_v6_others_branch__borrowing of equipment_bu main"
"approval_chain_11","hr_job_area manager",3,0,"approval_rule_v6_others_branch__borrowing of equipment_bu main"
"approval_chain_13","muti_hrms_data.1135",2,0,"approval_rule_v6_others_branch__repairs (capex)_revolving fund"
"approval_chain_14","hr_job_area manager",3,0,"approval_rule_v6_others_branch__repairs (capex)_revolving fund"
"approval_chain_15","muti_hrms_data.1136",4,0,"approval_rule_v6_others_branch__repairs (capex)_revolving fund"
"approval_chain_17","muti_hrms_data.1135",2,0,"approval_rule_v6_others_branch__repairs & maintenance_revolving fund"
"approval_chain_18","muti_hrms_data.1136",4,5000,"approval_rule_v6_others_branch__repairs & maintenance_revolving fund"
"approval_chain_19","hr_job_area manager",3,2000,"approval_rule_v6_others_branch__repairs & maintenance_revolving fund"
"approval_chain_21","muti_hrms_data.1135",2,0,"approval_rule_v6_others_branch__trade inventory_bu main"
"approval_chain_24","muti_hrms_data.1135",2,0,"approval_rule_v6_payment_branch__marketing expenses_revolving fund"
"approval_chain_25","hr_job_area manager",3,2000,"approval_rule_v6_payment_branch__marketing expenses_revolving fund"
"approval_chain_26","muti_hrms_data.1136",4,5000,"approval_rule_v6_payment_branch__marketing expenses_revolving fund"
"approval_chain_28","muti_hrms_data.1135",2,0,"approval_rule_v6_payment_branch__penalty fees to goverment agencies_revolving fund"
"approval_chain_29","hr_job_area manager",3,0,"approval_rule_v6_payment_branch__penalty fees to goverment agencies_revolving fund"
"approval_chain_30","muti_hrms_data.1136",4,0,"approval_rule_v6_payment_branch__penalty fees to goverment agencies_revolving fund"
"approval_chain_32","muti_hrms_data.1135",2,0,"approval_rule_v6_payment_branch__retainer's fee_revolving fund"
"approval_chain_34","muti_hrms_data.1135",2,0,"approval_rule_v6_payment_branch__special fund for unit registration_bu main"
"approval_chain_35","muti_hrms_data.11033",3,0,"approval_rule_v6_payment_branch__special fund for unit registration_bu main"
"approval_chain_36","muti_hrms_data.6208",4,0,"approval_rule_v6_payment_branch__special fund for unit registration_bu main"
"approval_chain_38","muti_hrms_data.1135",2,0,"approval_rule_v6_payment_branch__unit registration_revolving fund"
"approval_chain_40","muti_hrms_data.1135",2,0,"approval_rule_v6_payment_branch__utility bills/rentals_revolving fund"
"approval_chain_42","muti_hrms_data.1135",2,0,"approval_rule_v6_purchase_branch__purchase (not capex)_revolving fund"
"approval_chain_43","hr_job_area manager",3,0,"approval_rule_v6_purchase_branch__purchase (not capex)_revolving fund"
"approval_chain_44","muti_hrms_data.1136",4,0,"approval_rule_v6_purchase_branch__purchase (not capex)_revolving fund"
"approval_chain_46","muti_hrms_data.1135",2,0,"approval_rule_v6_purchase_branch__purchases (capex)_bu main"
"approval_chain_47","hr_job_area manager",3,0,"approval_rule_v6_purchase_branch__purchases (capex)_bu main"
"approval_chain_48","muti_hrms_data.1136",4,0,"approval_rule_v6_purchase_branch__purchases (capex)_bu main"
"approval_chain_49","muti_hrms_data.1043",5,0,"approval_rule_v6_purchase_branch__purchases (capex)_bu main"
"approval_chain_51","muti_hrms_data.1135",2,0,"approval_rule_v6_purchase_branch__purchases(capex it equipment)_bu main"
"approval_chain_52","hr_job_area manager",3,0,"approval_rule_v6_purchase_branch__purchases(capex it equipment)_bu main"
"approval_chain_53","muti_hrms_data.6222",5,0,"approval_rule_v6_purchase_branch__purchases(capex it equipment)_bu main"
"approval_chain_55","hr_job_immediate superior",2,0,"approval_rule_v6_cash_head office__advances for operations_bu main"
"approval_chain_56","muti_hrms_data.11033",3,0,"approval_rule_v6_cash_head office__advances for operations_bu main"
"approval_chain_57","muti_hrms_data.6208",4,5000,"approval_rule_v6_cash_head office__advances for operations_bu main"
"approval_chain_58","muti_hrms_data.1136",5,10000,"approval_rule_v6_cash_head office__advances for operations_bu main"
"approval_chain_60","muti_hrms_data.11033",2,0,"approval_rule_v6_cash_head office__iou's_bu main"
"approval_chain_61","muti_hrms_data.6268",3,0,"approval_rule_v6_cash_head office__iou's_bu main"
"approval_chain_62","muti_hrms_data.6208",4,0,"approval_rule_v6_cash_head office__iou's_bu main"
"approval_chain_64","hr_job_immediate superior",2,0,"approval_rule_v6_cash_head office__marketing expenses_bu main"
"approval_chain_65","muti_hrms_data.11033",3,0,"approval_rule_v6_cash_head office__marketing expenses_bu main"
"approval_chain_66","muti_hrms_data.6208",4,0,"approval_rule_v6_cash_head office__marketing expenses_bu main"
"approval_chain_67","muti_hrms_data.1136",5,0,"approval_rule_v6_cash_head office__marketing expenses_bu main"
"approval_chain_69","hr_job_immediate superior",2,0,"approval_rule_v6_cash_head office__travel expenses (thru check)_bu main"
"approval_chain_70","muti_hrms_data.11033",3,0,"approval_rule_v6_cash_head office__travel expenses (thru check)_bu main"
"approval_chain_71","muti_hrms_data.6208",4,0,"approval_rule_v6_cash_head office__travel expenses (thru check)_bu main"
"approval_chain_72","muti_hrms_data.1136",5,0,"approval_rule_v6_cash_head office__travel expenses (thru check)_bu main"
"approval_chain_74","hr_job_immediate superior",2,0,"approval_rule_v6_others_head office__repairs (capex)_bu main"
"approval_chain_75","muti_hrms_data.11033",3,0,"approval_rule_v6_others_head office__repairs (capex)_bu main"
"approval_chain_76","muti_hrms_data.6208",4,0,"approval_rule_v6_others_head office__repairs (capex)_bu main"
"approval_chain_77","muti_hrms_data.1136",5,0,"approval_rule_v6_others_head office__repairs (capex)_bu main"
"approval_chain_78","muti_hrms_data.1043",6,0,"approval_rule_v6_others_head office__repairs (capex)_bu main"
"approval_chain_80","hr_job_immediate superior",2,0,"approval_rule_v6_others_head office__repairs & maintenance_bu main"
"approval_chain_81","muti_hrms_data.6208",3,0,"approval_rule_v6_others_head office__repairs & maintenance_bu main"
"approval_chain_82","muti_hrms_data.1136",4,5000,"approval_rule_v6_others_head office__repairs & maintenance_bu main"
"approval_chain_83","muti_hrms_data.1043",5,10000,"approval_rule_v6_others_head office__repairs & maintenance_bu main"
"approval_chain_85","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_head office__fund transfer_bu main"
"approval_chain_86","muti_hrms_data.1136",3,0,"approval_rule_v6_payment_head office__fund transfer_bu main"
"approval_chain_88","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_head office__managerial fee_bu main"
"approval_chain_89","muti_hrms_data.1136",3,0,"approval_rule_v6_payment_head office__managerial fee_bu main"
"approval_chain_90","muti_hrms_data.1043",4,0,"approval_rule_v6_payment_head office__managerial fee_bu main"
"approval_chain_92","muti_hrms_data.11033",2,0,"approval_rule_v6_payment_head office__payables_bu main"
"approval_chain_93","muti_hrms_data.6208",3,0,"approval_rule_v6_payment_head office__payables_bu main"
"approval_chain_94","muti_hrms_data.1136",4,0,"approval_rule_v6_payment_head office__payables_bu main"
"approval_chain_96","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_head office__rentals_bu main"
"approval_chain_98","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_head office__retainer's fee_bu main"
"approval_chain_102","hr_job_area manager",3,0,"approval_rule_v6_payment_branch__agent's commissions_revolving fund"
"approval_chain_103","muti_hrms_data.1043",7,0,"approval_rule_v6_purchase_branch__purchases(capex it equipment)_bu main"
"approval_chain_104","hr_job_comptroller",4,0,"approval_rule_v6_payment_head office__salaries and wages_bu main"
"approval_chain_105","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_head office__salaries and wages_bu main"
"approval_chain_106","muti_hrms_data.1136",3,0,"approval_rule_v6_payment_head office__salaries and wages_bu main"
"approval_chain_107","hr_job_comptroller",4,0,"approval_rule_v6_payment_head office__separation pay_bu main"
"approval_chain_108","muti_hrms_data.1136",3,0,"approval_rule_v6_payment_head office__separation pay_bu main"
