"id","name","request_categ_id:id","department_id:id","department_level_id:id","approval_rule_ids:id"
"config_approval_v6_CASHASI","CASHASI","request_categ_cash",,"request_level_v6_asi","approval_rule_v6_cash_asi__cash advance_tig,approval_rule_v6_cash_asi__fund transfer_mother account,approval_rule_v6_cash_asi__petty cash fund replenishment_mother account"
"config_approval_v6_CASHBranch","CASHBranch","request_categ_cash",,"request_level_v6_branch","approval_rule_v6_cash_branch__change fund_bu main,approval_rule_v6_cash_branch__iou's_bu main,approval_rule_v6_cash_branch__advances for operations_bu main,approval_rule_v6_cash_branch__petty cash fund replenishment_bu main,approval_rule_v6_cash_branch__petty cash fund replenishment_revolving fund,approval_rule_v6_cash_branch__revolving fund replenishment_bu main,approval_rule_v6_cash_branch__advances for operations_revolving fund"
"config_approval_v6_CASHBRDC Head Office ","CASHBRDC Head Office ","request_categ_cash",,"request_level_v6_brdc head office ","approval_rule_v6_cash_brdc head office __petty cash fund replenishment_revolving fund,approval_rule_v6_cash_brdc head office __marketing expenses_revolving fund,approval_rule_v6_cash_brdc head office __travel expenses_revolving fund"
"config_approval_v6_CASHHead Office","CASHHead Office","request_categ_cash",,"request_level_v6_head office","approval_rule_v6_cash_head office__iou's_bu main,approval_rule_v6_cash_head office__advances for operations_bu main,approval_rule_v6_cash_head office__marketing expenses_bu main,approval_rule_v6_cash_head office__travel expenses (thru check)_bu main,approval_rule_v6_cash_head office__petty cash fund replenishment_bu main"
"config_approval_v6_CASHHLRDC Head Office","CASHHLRDC Head Office","request_categ_cash",,"request_level_v6_hlrdc head office","approval_rule_v6_cash_hlrdc head office__petty cash fund replenishment_bu main,approval_rule_v6_cash_hlrdc head office__marketing expenses_bu main,approval_rule_v6_cash_hlrdc head office__advances for operations_bu main,approval_rule_v6_cash_hlrdc head office__iou's_bu main"
"config_approval_v6_CASHINSURANCE SERVICES","CASHINSURANCE SERVICES","request_categ_cash",,"request_level_v6_insurance services","approval_rule_v6_cash_insurance services__advances for operation_insurance services"
"config_approval_v6_CASHPUMGAS Head Office","CASHPUMGAS Head Office","request_categ_cash",,"request_level_v6_pumgas head office","approval_rule_v6_cash_pumgas head office__advances to employee_mother account,approval_rule_v6_cash_pumgas head office__petty cash fund replenishment_revolving fund,approval_rule_v6_cash_pumgas head office__investment fund_mother account,approval_rule_v6_cash_pumgas head office__travel expenses_revolving fund,approval_rule_v6_cash_pumgas head office__advances for operation_revolving fund,approval_rule_v6_cash_pumgas head office__marketing expenses_revolving fund,approval_rule_v6_cash_pumgas head office__advances for operation_mother account"
"config_approval_v6_CASHTIG","CASHTIG","request_categ_cash",,"request_level_v6_tig","approval_rule_v6_cash_tig__advances for operations_tig,approval_rule_v6_cash_tig__advances for operations_bu main,approval_rule_v6_cash_tig__advances to sister company_tig,approval_rule_v6_cash_tig__advances for operations_cbgfi,approval_rule_v6_cash_tig__employee's benefit_bu main,approval_rule_v6_cash_tig__travel expenses (thru check)_tig,approval_rule_v6_cash_tig__marketing expenses_tig,approval_rule_v6_cash_tig__petty cash fund replenishment_tig,approval_rule_v6_cash_tig__freight and handling_bu main,approval_rule_v6_cash_tig__management meals_tig,approval_rule_v6_cash_tig__travel expenses_bu main,approval_rule_v6_cash_tig__freight and handling_petty cash fund,approval_rule_v6_cash_tig__supplies_petty cash fund,approval_rule_v6_cash_tig__fund transfer_tig,approval_rule_v6_cash_tig__professional fee_tig,approval_rule_v6_cash_tig__mortuary_bu main,approval_rule_v6_cash_tig__travel expenses (thru petty cash fund)_petty cash fund"
"config_approval_v6_CASHTIGMIS","CASHTIGMIS","request_categ_cash","muti_hrms_data.6000030","request_level_v6_tig","approval_rule_v6_cash_tig_mis_fund transfer_tig,approval_rule_v6_cash_tig_mis_mortuary_bu main,approval_rule_v6_cash_tig_mis_professional fee_tig,approval_rule_v6_cash_tig_mis_advances to sister company_tig,approval_rule_v6_cash_tig_mis_advances for operations_bu main,approval_rule_v6_cash_tig_mis_freight and handling_petty cash fund,approval_rule_v6_cash_tig_mis_freight and handling_bu main,approval_rule_v6_cash_tig_mis_supplies_petty cash fund,approval_rule_v6_cash_tig_mis_travel expenses_bu main,approval_rule_v6_cash_tig_mis_management meals_tig,approval_rule_v6_cash_tig_mis_travel expenses (thru petty cash fund)_petty cash fund,approval_rule_v6_cash_tig_mis_travel expenses (thru check)_tig,approval_rule_v6_cash_tig_mis_petty cash fund replenishment_tig,approval_rule_v6_cash_tig_mis_marketing expenses_tig,approval_rule_v6_cash_tig__advances for operations_tig"
"config_approval_v6_OTHERSBranch","OTHERSBranch","request_categ_others",,"request_level_v6_branch","approval_rule_v6_others_branch__item  request_branch,approval_rule_v6_others_branch__trade inventory_bu main,approval_rule_v6_others_branch__repairs & maintenance_revolving fund,approval_rule_v6_others_branch__borrowing of equipment_bu main,approval_rule_v6_others_branch__accountable forms_bu main,approval_rule_v6_others_branch__repairs (capex)_revolving fund"
