"id","request_type_id:id","request_source_id:id"
"approval_rule_v6_cash_asi__fund transfer_mother account","request_type_v6_fund transfer","request_source_v6_mother account"
"approval_rule_v6_cash_asi__cash advance_tig","request_type_v6_cash advance","request_source_v6_tig"
"approval_rule_v6_cash_asi__petty cash fund replenishment_mother account","request_type_v6_petty cash fund replenishment","request_source_v6_mother account"
"approval_rule_v6_cash_branch__petty cash fund replenishment_revolving fund","request_type_v6_petty cash fund replenishment","request_source_v6_revolving fund"
"approval_rule_v6_cash_branch__revolving fund replenishment_bu main","request_type_v6_revolving fund replenishment","request_source_v6_bu main"
"approval_rule_v6_cash_branch__advances for operations_revolving fund","request_type_v6_advances for operations","request_source_v6_revolving fund"
"approval_rule_v6_cash_branch__change fund_bu main","request_type_v6_change fund","request_source_v6_bu main"
"approval_rule_v6_cash_branch__petty cash fund replenishment_bu main","request_type_v6_petty cash fund replenishment","request_source_v6_bu main"
"approval_rule_v6_cash_branch__advances for operations_bu main","request_type_v6_advances for operations","request_source_v6_bu main"
"approval_rule_v6_cash_branch__iou's_bu main","request_type_v6_iou's","request_source_v6_bu main"
"approval_rule_v6_cash_brdc head office __travel expenses_revolving fund","request_type_v6_travel expenses","request_source_v6_revolving fund"
"approval_rule_v6_cash_brdc head office __petty cash fund replenishment_revolving fund","request_type_v6_petty cash fund replenishment","request_source_v6_revolving fund"
"approval_rule_v6_cash_brdc head office __marketing expenses_revolving fund","request_type_v6_marketing expenses","request_source_v6_revolving fund"
"approval_rule_v6_cash_head office__marketing expenses_bu main","request_type_v6_marketing expenses","request_source_v6_bu main"
"approval_rule_v6_cash_head office__iou's_bu main","request_type_v6_iou's","request_source_v6_bu main"
"approval_rule_v6_cash_head office__advances for operations_bu main","request_type_v6_advances for operations","request_source_v6_bu main"
"approval_rule_v6_cash_head office__petty cash fund replenishment_bu main","request_type_v6_petty cash fund replenishment","request_source_v6_bu main"
"approval_rule_v6_cash_head office__travel expenses (thru check)_bu main","request_type_v6_travel expenses (thru check)","request_source_v6_bu main"
"approval_rule_v6_cash_hlrdc head office__petty cash fund replenishment_bu main","request_type_v6_petty cash fund replenishment","request_source_v6_bu main"
"approval_rule_v6_cash_hlrdc head office__iou's_bu main","request_type_v6_iou's","request_source_v6_bu main"
"approval_rule_v6_cash_hlrdc head office__marketing expenses_bu main","request_type_v6_marketing expenses","request_source_v6_bu main"
"approval_rule_v6_cash_hlrdc head office__advances for operations_bu main","request_type_v6_advances for operations","request_source_v6_bu main"
"approval_rule_v6_cash_insurance services__advances for operation_insurance services","request_type_v6_advances for operation","request_source_v6_insurance services"
"approval_rule_v6_cash_pumgas head office__advances for operation_mother account","request_type_v6_advances for operation","request_source_v6_mother account"
