"id","name"
"request_type_v6_accountable forms","ACCOUNTABLE FORMS"
"request_type_v6_advances for operation","ADVANCES FOR OPERATION"
"request_type_v6_advances for operations","ADVANCES FOR OPERATIONS"
"request_type_v6_advances to employee","ADVANCES TO EMPLOYEE"
"request_type_v6_advances to sister company","ADVANCES TO SISTER COMPANY"
"request_type_v6_agent's commissions","AGENT'S COMMISSIONS"
"request_type_v6_borrowing company property","BORROWING COMPANY PROPERTY"
"request_type_v6_borrowing of equipment","BORROWING OF EQUIPMENT"
"request_type_v6_business travel authority (bta)","BUSINESS TRAVEL AUTHORITY (BTA)"
"request_type_v6_cash advance","CASH ADVANCE"
"request_type_v6_change fund","CHANGE FUND"
"request_type_v6_dividend","DIVIDEND"
"request_type_v6_employee's benefit","EMPLOYEE'S BENEFIT"
"request_type_v6_employee's incentives","EMPLOYEE'S INCENTIVES"
"request_type_v6_employees' incentives","EMPLOYEES' INCENTIVES"
"request_type_v6_freight and handling","FREIGHT AND HANDLING"
"request_type_v6_fund transfer","FUND TRANSFER"
"request_type_v6_give aways","GIVE AWAYS"
"request_type_v6_gratuity expenses","GRATUITY EXPENSES"
"request_type_v6_insurance claim","INSURANCE CLAIM"
"request_type_v6_inventory","INVENTORY"
"request_type_v6_inventory transfer","INVENTORY TRANSFER"
"request_type_v6_investment fund","INVESTMENT FUND"
"request_type_v6_iou's","IOU'S"
"request_type_v6_item request","ITEM REQUEST"
"request_type_v6_item  request","ITEM  REQUEST"
"request_type_v6_labor services","LABOR SERVICES"
"request_type_v6_management fee","MANAGEMENT FEE"
"request_type_v6_management meals","MANAGEMENT MEALS"
"request_type_v6_managerial fee","MANAGERIAL FEE"
"request_type_v6_marketing activity","MARKETING ACTIVITY"
"request_type_v6_marketing expenses","MARKETING EXPENSES"
"request_type_v6_mortuary","MORTUARY"
"request_type_v6_opex","OPEX"
"request_type_v6_payables","PAYABLES"
"request_type_v6_penalty fees to goverment agencies","PENALTY FEES TO GOVERMENT AGENCIES"
"request_type_v6_permit and licenses/processing fee","PERMIT AND LICENSES/PROCESSING FEE"
"request_type_v6_perpetual care fund","PERPETUAL CARE FUND"
"request_type_v6_petty cash fund replenishment","PETTY CASH FUND REPLENISHMENT"
"request_type_v6_professional fee","PROFESSIONAL FEE"
"request_type_v6_purchase ( capex )","PURCHASE ( CAPEX )"
"request_type_v6_purchase ( capex-it equipment)","PURCHASE ( CAPEX-IT EQUIPMENT)"
"request_type_v6_purchase (not capex)","PURCHASE (NOT CAPEX)"
"request_type_v6_purchase ( not capex-it equipment)","PURCHASE ( NOT CAPEX-IT EQUIPMENT)"
"request_type_v6_purchases (capex)","PURCHASES (CAPEX)"
"request_type_v6_purchases(capex)","PURCHASES(CAPEX)"
"request_type_v6_purchases(capex it equipment)","PURCHASES(CAPEX IT EQUIPMENT)"
"request_type_v6_purchases (non-capex it equipment)","PURCHASES (NON-CAPEX IT EQUIPMENT)"
"request_type_v6_purchases(non-capex it equipment)","PURCHASES(NON-CAPEX IT EQUIPMENT)"
"request_type_v6_purchases ( not capex)","PURCHASES ( NOT CAPEX)"
"request_type_v6_purchases(office supplies)","PURCHASES(OFFICE SUPPLIES)"
"request_type_v6_purchases that are not capex","PURCHASES THAT ARE NOT CAPEX"
"request_type_v6_purchases ( trade inventory)","PURCHASES ( TRADE INVENTORY)"
"request_type_v6_purchase ( supplies )","PURCHASE ( SUPPLIES )"
"request_type_v6_refund","REFUND"
"request_type_v6_rentals","RENTALS"
"request_type_v6_rentals ( building )","RENTALS ( BUILDING )"
"request_type_v6_rentals ( equipment )","RENTALS ( EQUIPMENT )"
"request_type_v6_repairs and maintenance","REPAIRS AND MAINTENANCE"
"request_type_v6_repairs (capex)","REPAIRS (CAPEX)"
"request_type_v6_repairs & maintenance","REPAIRS & MAINTENANCE"
"request_type_v6_retainer's fee","RETAINER'S FEE"
"request_type_v6_revolving fund replenishment","REVOLVING FUND REPLENISHMENT"
"request_type_v6_salaries and wages","SALARIES AND WAGES"
"request_type_v6_separation pay","SEPARATION PAY"
"request_type_v6_special fund for unit registration","SPECIAL FUND FOR UNIT REGISTRATION"
"request_type_v6_statutory expenses","STATUTORY EXPENSES"
"request_type_v6_supplies","SUPPLIES"
"request_type_v6_trade inventory","TRADE INVENTORY"
"request_type_v6_trade inventory (mc)","TRADE INVENTORY (MC)"
"request_type_v6_trade inventory (sp)","TRADE INVENTORY (SP)"
"request_type_v6_travel and transportation","TRAVEL AND TRANSPORTATION"
"request_type_v6_travel expenses","TRAVEL EXPENSES"
"request_type_v6_travel expenses (thru check)","TRAVEL EXPENSES (THRU CHECK)"
"request_type_v6_travel expenses (thru petty cash fund)","TRAVEL EXPENSES (THRU PETTY CASH FUND)"
"request_type_v6_unit registration","UNIT REGISTRATION"
"request_type_v6_utility bills","UTILITY BILLS"
"request_type_v6_utility bills/rentals","UTILITY BILLS/RENTALS"
